Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-22,USA: AL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-23,USA: AL,0.0,0.0,1.3333333333333333,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,3
2020-04-13,"USA: Alabama, Mobile county",0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-28,USA: AL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2
2020-05-01,USA: AL,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
2020-05-05,"USA: Alabama, Mobile county",0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
2020-05-10,"USA: Alabama, Mobile county",0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-12,"USA: Alabama, Mobile county",0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2
2020-05-27,"USA: Alabama, Mobile county",0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2020-08-19,USA: AL,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1
2020-09-03,USA: AL,0.0,1.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1
2020-10-03,"USA: Alabama, Morgan County",0.1111111111111111,0.16666666666666666,2.3333333333333335,0.0,10.055555555555555,0.0,0.05555555555555555,0.5,0.05555555555555555,1.0,0.2777777777777778,2.7222222222222223,18
2020-10-05,"USA: Alabama, Shelby County",0.0,0.0,3.0,0.5,8.0,0.0,0.5,0.0,0.0,1.0,0.0,2.5,2
2020-10-06,"USA: Alabama, Calhoun County",0.03125,0.125,2.6875,0.09375,9.96875,0.0,0.1875,0.625,0.15625,0.71875,0.21875,2.5625,32
2020-10-07,"USA: Alabama, Jackson County",0.16666666666666666,0.0,2.1666666666666665,0.5,8.5,0.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.3333333333333333,1.6666666666666667,6
2020-10-08,"USA: Alabama, St.Clair County",1.0,0.0,4.0,0.0,8.0,0.0,0.0,0.5,0.0,1.0,0.5,1.5,2
2020-10-09,"USA: Alabama, Tuscaloosa County",0.0,0.0,2.2,0.2,10.2,0.0,0.0,0.8,0.0,0.8,0.6,1.8,5
2020-10-15,"USA: Alabama, Morgan County",0.0,0.0,3.0,0.5,11.0,0.0,0.0,0.5,0.0,0.5,0.0,2.0,2
2020-10-16,"USA: Alabama, Shelby County",0.1,0.1,2.2,0.3,10.6,0.1,0.1,1.1,0.1,0.9,0.0,2.6,10
2020-10-21,"USA: Alabama, Morgan County",0.0,0.3333333333333333,2.0,0.06666666666666667,10.866666666666667,0.06666666666666667,0.2,0.5333333333333333,0.13333333333333333,0.8,0.13333333333333333,2.6,15
2020-10-27,"USA: Alabama, Randolph County",0.07692307692307693,0.10256410256410256,2.5128205128205128,0.02564102564102564,10.384615384615385,0.02564102564102564,0.1282051282051282,0.38461538461538464,0.0,0.8974358974358975,0.1794871794871795,2.58974358974359,39
2020-10-28,"USA: Alabama, Cherokee County",0.038461538461538464,0.0,2.1538461538461537,0.07692307692307693,10.307692307692308,0.07692307692307693,0.11538461538461539,0.6538461538461539,0.0,0.9615384615384616,0.15384615384615385,2.6538461538461537,26
2020-10-29,"USA: Alabama, Jefferson County",0.07407407407407407,0.14814814814814814,2.4814814814814814,0.14814814814814814,10.11111111111111,0.0,0.1111111111111111,0.4444444444444444,0.037037037037037035,0.6666666666666666,0.07407407407407407,2.888888888888889,27
2020-10-30,"USA: Alabama, Madison County",0.03125,0.03125,2.625,0.09375,10.78125,0.03125,0.0625,0.40625,0.0625,1.15625,0.125,2.40625,32
2020-10-31,"USA: Alabama, Madison County",0.0,0.125,2.25,0.0,11.5,0.0,0.0,0.625,0.125,0.75,0.25,3.5,8
2020-11-02,"USA: Alabama, Limestone County",0.0,0.0,2.5714285714285716,0.2857142857142857,11.857142857142858,0.0,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.0,2.5714285714285716,7
2020-11-03,"USA: Alabama, Limestone County",0.08333333333333333,0.1388888888888889,2.5833333333333335,0.08333333333333333,10.61111111111111,0.0,0.2222222222222222,0.5,0.027777777777777776,1.0833333333333333,0.19444444444444445,2.8333333333333335,36
2020-11-04,"USA: Alabama, St.Clair County",0.023809523809523808,0.3333333333333333,2.4761904761904763,0.09523809523809523,10.380952380952381,0.0,0.16666666666666666,0.9047619047619048,0.11904761904761904,1.2857142857142858,0.23809523809523808,2.9047619047619047,42
2020-11-05,"USA: Alabama, Blount County",0.07407407407407407,0.14814814814814814,2.5185185185185186,0.037037037037037035,12.37037037037037,0.037037037037037035,0.2962962962962963,0.7407407407407407,0.14814814814814814,1.037037037037037,0.4074074074074074,3.3703703703703702,27
2020-11-06,"USA: Alabama, Etowah County",0.0,0.12121212121212122,2.6666666666666665,0.12121212121212122,10.393939393939394,0.0,0.21212121212121213,0.7575757575757576,0.06060606060606061,0.9090909090909091,0.5757575757575758,3.393939393939394,33
2020-11-07,"USA: Alabama, Jefferson County",0.0,0.1111111111111111,3.0,0.1111111111111111,11.11111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.1111111111111112,0.0,3.0,9
2020-11-09,"USA: Alabama, Madison County",0.0,0.15384615384615385,2.230769230769231,0.0,11.076923076923077,0.0,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.6923076923076923,0.15384615384615385,2.923076923076923,13
2020-11-10,"USA: Alabama, Shelby County",0.06382978723404255,0.09574468085106383,2.5531914893617023,0.09574468085106383,11.074468085106384,0.02127659574468085,0.19148936170212766,0.6808510638297872,0.06382978723404255,0.7978723404255319,0.26595744680851063,3.0425531914893615,94
2020-11-11,"USA: Alabama, St.Clair County",0.05555555555555555,0.07407407407407407,2.740740740740741,0.037037037037037035,10.925925925925926,0.018518518518518517,0.3148148148148148,0.46296296296296297,0.07407407407407407,0.9259259259259259,0.3333333333333333,2.9444444444444446,54
2020-11-17,"USA: Alabama, Talladega County",0.12195121951219512,0.0975609756097561,2.5609756097560976,0.024390243902439025,11.951219512195122,0.04878048780487805,0.34146341463414637,0.6341463414634146,0.0975609756097561,1.0731707317073171,0.14634146341463414,3.317073170731707,41
2020-11-18,"USA: Alabama, Marshall County",0.07692307692307693,0.07692307692307693,2.4871794871794872,0.15384615384615385,11.512820512820513,0.0,0.3076923076923077,0.5384615384615384,0.02564102564102564,0.8461538461538461,0.2564102564102564,3.5128205128205128,39
2020-11-24,"USA: Alabama, Madison County",0.10256410256410256,0.07692307692307693,2.6153846153846154,0.05128205128205128,12.256410256410257,0.02564102564102564,0.3333333333333333,0.5384615384615384,0.02564102564102564,1.205128205128205,0.23076923076923078,3.5128205128205128,39
2020-11-25,"USA: Alabama, Tallapoosa County",0.14814814814814814,0.1111111111111111,2.8518518518518516,0.07407407407407407,10.296296296296296,0.0,0.2222222222222222,0.5555555555555556,0.0,0.7777777777777778,0.0,2.4444444444444446,27
2020-11-27,"USA: Alabama, Etowah County",0.10666666666666667,0.12,2.7066666666666666,0.08,11.266666666666667,0.013333333333333334,0.32,0.6,0.05333333333333334,1.12,0.14666666666666667,2.8533333333333335,75
2020-11-28,"USA: Alabama, Madison County",0.10256410256410256,0.1794871794871795,2.871794871794872,0.15384615384615385,11.41025641025641,0.02564102564102564,0.15384615384615385,0.5384615384615384,0.05128205128205128,1.3076923076923077,0.07692307692307693,2.7948717948717947,39
2020-11-30,"USA: Alabama, Madison County",0.07692307692307693,0.07692307692307693,2.6538461538461537,0.19230769230769232,13.0,0.038461538461538464,0.15384615384615385,0.6923076923076923,0.11538461538461539,0.8846153846153846,0.3076923076923077,3.3461538461538463,26
2020-12-01,"USA: Alabama, Etowah County",0.1322314049586777,0.04132231404958678,2.7024793388429753,0.09917355371900827,11.37190082644628,0.024793388429752067,0.2644628099173554,0.512396694214876,0.05785123966942149,1.1074380165289257,0.09917355371900827,3.0826446280991737,121
2020-12-02,"USA: Alabama, Madison County",0.1349206349206349,0.1111111111111111,2.7301587301587302,0.0873015873015873,11.817460317460318,0.023809523809523808,0.2777777777777778,0.5476190476190477,0.06349206349206349,1.0714285714285714,0.19047619047619047,3.2222222222222223,126
2020-12-03,"USA: Alabama, Shelby County",0.10909090909090909,0.11818181818181818,2.6636363636363636,0.10909090909090909,11.7,0.01818181818181818,0.34545454545454546,0.37272727272727274,0.02727272727272727,1.1181818181818182,0.19090909090909092,3.5,110
2020-12-04,"USA: Alabama, Coffee County",0.07462686567164178,0.07462686567164178,2.671641791044776,0.05970149253731343,11.522388059701493,0.029850746268656716,0.23880597014925373,0.5373134328358209,0.04477611940298507,0.9850746268656716,0.1791044776119403,3.1194029850746268,67
2020-12-07,"USA: Alabama, Limestone County",0.2,0.17142857142857143,2.7142857142857144,0.14285714285714285,11.914285714285715,0.02857142857142857,0.37142857142857144,0.4857142857142857,0.11428571428571428,1.2857142857142858,0.14285714285714285,3.257142857142857,35
2020-12-08,"USA: Alabama, Madison County",0.06382978723404255,0.0425531914893617,2.74468085106383,0.14893617021276595,12.02127659574468,0.0,0.2978723404255319,0.5531914893617021,0.06382978723404255,1.2127659574468086,0.1276595744680851,2.851063829787234,47
2020-12-24,USA: AL,0.0,0.0,2.0,0.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1
2020-12-27,USA: Alabama,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1
2020-12-28,USA: AL,0.0,0.2,2.8,0.6,14.4,0.4,0.4,0.8,0.2,1.0,0.8,3.6,5
2020-12-29,USA: AL,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1
2021-01-02,USA: Alabama,0.0,0.0,3.0,0.6666666666666666,13.333333333333334,0.0,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,0.0,4.0,3
2021-01-03,USA: AL,0.0,1.0,2.0,0.3333333333333333,12.666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,2.3333333333333335,0.0,3.6666666666666665,3
2021-01-04,USA: Alabama,0.0,0.3333333333333333,3.0,0.0,11.333333333333334,0.0,0.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,0.0,3.0,3
2021-01-05,"USA: Alabama, Morgan County",0.21311475409836064,0.11475409836065574,2.622950819672131,0.11475409836065574,13.081967213114755,0.04918032786885246,0.47540983606557374,0.5081967213114754,0.09836065573770492,1.4426229508196722,0.21311475409836064,3.5737704918032787,61
2021-01-06,"USA: Alabama, Jackson County",0.08333333333333333,0.16666666666666666,2.7777777777777777,0.1111111111111111,12.166666666666666,0.05555555555555555,0.4444444444444444,0.75,0.05555555555555555,1.1388888888888888,0.1388888888888889,3.2222222222222223,36
2021-01-07,USA: Alabama,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1
2021-01-09,USA: Alabama,0.0,0.5,3.5,1.0,13.5,0.0,0.0,0.5,0.0,0.5,0.5,2.0,2
2021-01-11,USA: Alabama,0.0,0.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2021-01-12,USA: Alabama,0.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1
2021-01-13,USA: Alabama,0.0,1.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1
2021-01-14,USA: Alabama,0.0,0.0,2.0,0.0,12.0,0.0,0.5,0.0,0.0,0.5,0.0,4.0,2
2021-01-15,USA: AL,0.5,0.5,3.5,0.5,11.5,0.0,0.0,1.5,0.0,2.5,0.0,1.5,2
2021-01-17,USA: Alabama,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1
2021-01-18,USA: Alabama,0.0,0.0,4.0,0.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1
2021-01-20,USA: Alabama,0.0,0.0,5.0,0.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,1
2021-01-23,USA: Alabama,0.2,0.1,2.9,0.2,12.5,0.0,0.1,1.4,0.2,1.5,0.2,3.2,10
2021-01-24,"USA: Birmingham, AL",0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,1
2021-01-25,"USA: Alabama, Shelby County",0.125,0.75,3.25,0.875,13.75,0.0,0.375,1.125,0.375,1.25,1.375,5.125,8
