Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-01-22,USA: AZ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-03-09,USA: AZ,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-12,USA: AZ,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
2020-03-13,USA: AZ,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-14,USA: AZ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-15,USA: AZ,0.0,0.25,1.0,0.0,4.0,0.0,0.0,0.25,0.0,0.5,0.25,0.5,4
2020-03-16,USA: AZ,0.0,0.0,1.2,0.0,4.2,0.0,0.0,0.2,0.0,0.6,0.2,1.0,5
2020-03-17,USA: AZ,0.13333333333333333,0.06666666666666667,1.4,0.06666666666666667,4.0,0.06666666666666667,0.13333333333333333,0.6,0.0,0.3333333333333333,0.26666666666666666,0.6,15
2020-03-18,USA: AZ,0.06666666666666667,0.13333333333333333,1.2,0.0,4.266666666666667,0.0,0.0,0.06666666666666667,0.0,0.3333333333333333,0.13333333333333333,0.9333333333333333,15
2020-03-19,USA: AZ,0.0,0.25,1.25,0.0,3.25,0.0,0.0,0.75,0.0,0.0,0.0,0.5,4
2020-03-20,USA: AZ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-06-27,"USA: Arizona, Maricopa county",0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-11-02,USA: AZ,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
2020-11-03,USA: AZ,0.0,0.0,3.0,0.0,13.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,1
2020-11-09,USA: AZ,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1
2020-12-04,USA: AZ,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1
2020-12-14,USA: AZ,0.0,1.3333333333333333,2.6666666666666665,0.0,10.0,0.0,0.0,3.0,0.0,0.3333333333333333,0.3333333333333333,5.0,3
2020-12-24,USA: Arizona,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1
2020-12-25,USA: Arizona,0.0,1.0,2.0,2.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,1
2020-12-26,USA: Arizona,0.21428571428571427,0.7857142857142857,3.0714285714285716,0.2857142857142857,10.928571428571429,0.14285714285714285,0.21428571428571427,1.4285714285714286,0.21428571428571427,0.7857142857142857,0.2857142857142857,4.071428571428571,14
2020-12-28,USA: AZ,0.0,0.0,2.142857142857143,0.2857142857142857,11.571428571428571,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,1.2857142857142858,0.0,2.2857142857142856,7
2021-01-01,USA: Arizona,0.0,1.3333333333333333,3.6666666666666665,0.0,11.666666666666666,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,3.3333333333333335,3
2021-01-02,USA: Arizona,0.5,0.0,2.0,1.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,2.5,2
2021-01-03,USA: Arizona,0.14285714285714285,0.14285714285714285,2.5714285714285716,0.0,13.285714285714286,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,1.1428571428571428,0.0,3.4285714285714284,7
2021-01-04,USA: Arizona,0.25,0.75,2.0,0.25,10.0,0.25,0.0,1.25,0.5,1.25,0.75,4.5,4
2021-01-05,USA: Arizona,0.5,0.0,3.0,0.5,10.0,0.0,0.0,2.0,0.0,1.5,0.0,1.5,2
2021-01-06,USA: Arizona,0.0,0.0,2.25,0.5,13.75,0.0,0.0,1.25,0.0,1.25,0.0,4.75,4
2021-01-07,USA: AZ,0.0,0.5555555555555556,3.0,0.4444444444444444,11.222222222222221,0.0,0.0,1.8888888888888888,0.1111111111111111,1.1111111111111112,0.1111111111111111,3.5555555555555554,9
2021-01-08,USA: Arizona,0.3333333333333333,0.3333333333333333,3.6666666666666665,0.3333333333333333,11.0,0.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,3.3333333333333335,3
