Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-01-18,USA: California,0.0,1.0,2.0,1.0,13.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,1
2020-01-22,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-01-23,USA: CA,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1
2020-01-27,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-29,USA: CA,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,3
2020-02-06,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
2020-02-10,USA: CA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-23,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-26,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-02-27,USA: CA,0.3333333333333333,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-02-28,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-02-29,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-02,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-03,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
2020-03-04,USA: CA,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2
2020-03-05,USA: CA,0.0,0.0,2.6,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,5
2020-03-06,"USA: CA, Santa Clara County",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-08,"USA: San Diego, California",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-03-09,"USA: CA, Santa Clara County",0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-10,"USA: San Diego, California",0.0,0.75,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4
2020-03-11,"USA: CA, San Diego County",0.0,0.16666666666666666,0.6666666666666666,0.0,2.5,0.0,0.0,0.5,0.0,0.5,0.16666666666666666,0.5,6
2020-03-12,"USA: San Diego, California",0.2,0.0,0.8,0.2,3.2,0.0,0.0,0.6,0.0,0.2,0.0,1.0,5
2020-03-13,USA: CA,0.038461538461538464,0.07692307692307693,1.1538461538461537,0.15384615384615385,3.923076923076923,0.038461538461538464,0.038461538461538464,0.34615384615384615,0.0,0.5384615384615384,0.23076923076923078,0.8076923076923077,26
2020-03-14,USA: CA,0.041666666666666664,0.0,1.25,0.041666666666666664,3.4583333333333335,0.0,0.0,0.5,0.0,0.25,0.125,0.625,24
2020-03-15,USA: CA,0.1016949152542373,0.11864406779661017,0.9152542372881356,0.15254237288135594,3.288135593220339,0.0,0.01694915254237288,0.7288135593220338,0.0,0.3389830508474576,0.11864406779661017,0.8135593220338984,59
2020-03-16,USA: CA,0.047244094488188976,0.08661417322834646,0.968503937007874,0.1732283464566929,3.7401574803149606,0.015748031496062992,0.03937007874015748,0.49606299212598426,0.0,0.25984251968503935,0.13385826771653545,0.7637795275590551,127
2020-03-17,USA: CA,0.024,0.048,0.912,0.216,3.696,0.008,0.032,0.376,0.0,0.424,0.168,0.832,125
2020-03-18,USA: CA,0.06870229007633588,0.03816793893129771,1.1145038167938932,0.1297709923664122,3.9770992366412212,0.007633587786259542,0.06870229007633588,0.5801526717557252,0.007633587786259542,0.3053435114503817,0.15267175572519084,0.8549618320610687,131
2020-03-19,USA: CA,0.029850746268656716,0.07462686567164178,1.0746268656716418,0.08955223880597014,3.8059701492537314,0.014925373134328358,0.029850746268656716,0.4626865671641791,0.0,0.4925373134328358,0.208955223880597,0.835820895522388,67
2020-03-20,"USA: San Diego, California",0.023809523809523808,0.0,1.1428571428571428,0.07142857142857142,3.8095238095238093,0.0,0.07142857142857142,0.38095238095238093,0.0,0.3333333333333333,0.19047619047619047,0.9047619047619048,42
2020-03-21,USA: CA,0.0,0.07407407407407407,1.1111111111111112,0.07407407407407407,3.962962962962963,0.037037037037037035,0.037037037037037035,0.5555555555555556,0.0,0.18518518518518517,0.1111111111111111,0.7407407407407407,27
2020-03-22,USA: CA,0.09090909090909091,0.0,1.2272727272727273,0.2727272727272727,4.090909090909091,0.0,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.9090909090909091,22
2020-03-23,USA: CA,0.03773584905660377,0.018867924528301886,1.1132075471698113,0.11320754716981132,4.339622641509434,0.018867924528301886,0.018867924528301886,0.3018867924528302,0.0,0.49056603773584906,0.16981132075471697,0.9622641509433962,53
2020-03-24,USA: CA,0.0,0.03571428571428571,1.0714285714285714,0.07142857142857142,3.5714285714285716,0.0,0.03571428571428571,0.25,0.0,0.2857142857142857,0.14285714285714285,0.8571428571428571,28
2020-03-25,USA: CA,0.0,0.03225806451612903,1.096774193548387,0.16129032258064516,3.6129032258064515,0.0,0.03225806451612903,0.3548387096774194,0.0,0.3870967741935484,0.12903225806451613,0.7741935483870968,31
2020-03-26,"USA: San Diego, California",0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,3.4545454545454546,0.0,0.0,0.18181818181818182,0.0,0.45454545454545453,0.0,1.0909090909090908,11
2020-03-27,"USA: San Diego, California",0.0,0.0,1.3333333333333333,0.1111111111111111,3.6666666666666665,0.0,0.0,0.05555555555555555,0.0,0.2777777777777778,0.05555555555555555,1.0,18
2020-03-28,"USA: San Diego, California",0.0,0.0,1.1020408163265305,0.02040816326530612,3.877551020408163,0.0,0.02040816326530612,0.24489795918367346,0.0,0.10204081632653061,0.04081632653061224,1.0,49
