Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-12,USA: CT,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1
2020-03-13,USA: CT,0.0,0.25,0.75,0.0,3.5,0.0,0.0,0.25,0.0,1.0,0.25,0.5,4
2020-03-14,USA: CT,0.0,0.16666666666666666,1.1666666666666667,0.16666666666666666,3.6666666666666665,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,6
2020-03-15,USA: CT,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-16,USA: CT,0.0,0.0,1.2,0.4,4.5,0.0,0.2,0.2,0.0,0.2,0.0,1.0,10
2020-03-17,USA: CT,0.07692307692307693,0.23076923076923078,0.7692307692307693,0.0,3.8461538461538463,0.0,0.0,0.23076923076923078,0.0,0.7692307692307693,0.07692307692307693,0.7692307692307693,13
2020-03-18,USA: CT,0.0,0.1111111111111111,1.3333333333333333,0.0,4.666666666666667,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.5555555555555556,9
2020-03-25,USA: CT,0.0,1.0,1.0,1.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,1
2020-03-27,USA: Connecticut,0.0,0.0,1.0,0.0,5.5,0.0,0.0,0.5,0.0,0.5,0.0,1.0,2
2020-03-28,USA: Connecticut,0.0,0.0,1.0,0.0,5.5,0.0,0.0,0.0,0.0,0.25,0.0,1.0,4
2020-03-30,USA: CT,0.0,0.14285714285714285,1.1428571428571428,0.5714285714285714,5.571428571428571,0.0,0.42857142857142855,0.14285714285714285,0.0,1.2857142857142858,0.14285714285714285,1.0,7
2020-03-31,USA: Connecticut,0.0,0.0,2.5,0.0,6.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,2
2020-04-01,USA: CT,0.0,0.2222222222222222,1.0555555555555556,0.1111111111111111,5.333333333333333,0.0,0.0,0.2777777777777778,0.0,0.4444444444444444,0.0,1.1111111111111112,18
2020-04-02,USA: CT,0.09090909090909091,0.18181818181818182,1.1818181818181819,0.0,5.0,0.09090909090909091,0.0,0.2727272727272727,0.0,0.45454545454545453,0.18181818181818182,1.2727272727272727,11
2020-04-03,USA: CT,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-04,USA: Connecticut,0.0,0.0,1.25,0.25,5.5,0.0,0.25,0.25,0.0,0.25,0.0,1.0,4
2020-04-05,USA: CT,0.0,0.6666666666666666,1.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,3
2020-04-06,USA: CT,0.0,0.6,1.0,0.0,5.2,0.0,0.0,0.2,0.2,0.2,0.0,1.2,5
2020-04-07,USA: Connecticut,0.0,0.25,1.5,0.0,5.25,0.0,0.0,0.75,0.0,0.75,0.25,0.75,4
