Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-02-29,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2
2020-03,USA: GA,0.0,0.0,0.5,0.5,3.5,0.0,0.5,1.5,0.0,0.0,0.5,0.5,2
2020-03-03,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,0.5,1.5,0.5,1.0,1.0,0.0,2
2020-03-04,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-05,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-07,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-08,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1
2020-03-09,USA: Georgia,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-10,USA: Georgia,0.0,0.0,1.6666666666666667,0.0,4.0,0.0,1.0,3.0,0.6666666666666666,0.0,1.6666666666666667,0.0,3
2020-03-13,USA: GA,0.4166666666666667,0.08333333333333333,1.0,0.0,4.333333333333333,0.16666666666666666,0.9166666666666666,2.8333333333333335,0.0,0.4166666666666667,0.9166666666666666,0.0,12
2020-03-14,USA: GA,0.0,0.0,1.1428571428571428,0.0,3.857142857142857,0.14285714285714285,0.8571428571428571,2.5714285714285716,0.0,0.5714285714285714,1.0,0.2857142857142857,7
2020-03-15,USA: Georgia,0.1,0.2,1.0,0.2,4.2,0.2,0.5,1.7,0.1,0.7,0.7,0.3,10
2020-03-16,USA: GA,0.1111111111111111,0.0,1.0,0.05555555555555555,4.722222222222222,0.2777777777777778,0.8333333333333334,2.5,0.0,0.3888888888888889,0.7777777777777778,0.2222222222222222,18
2020-03-17,USA: GA,0.0,0.4,1.0,0.0,4.2,0.4,0.6,2.2,0.0,0.4,0.6,0.4,5
2020-03-18,USA: GA,0.3333333333333333,0.16666666666666666,1.0,0.0,4.5,0.3333333333333333,0.6666666666666666,2.1666666666666665,0.0,0.5,0.6666666666666666,0.5,6
2020-03-27,USA: Georgia,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1
2020-03-30,USA: Georgia,0.0,0.0,1.0,0.0,5.0,0.0,0.75,1.5,0.0,0.0,0.5,0.5,4
2020-04-05,USA: Georgia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-04-06,USA: Georgia,0.0,0.0,1.0,0.0,6.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1
2020-04-23,USA: Georgia,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
