Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-01-28,USA: IL,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1
2020-03-01,USA: IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-07,USA: IL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2
2020-03-13,USA: IL,0.0,0.3333333333333333,1.0,0.0,4.333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.3333333333333333,3
2020-03-14,USA: IL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,4
2020-03-17,USA: IL,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-18,USA: IL,0.16666666666666666,0.0,1.0,0.0,4.666666666666667,0.0,0.16666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.5,0.5,6
2020-03-19,USA: IL,0.16666666666666666,0.0,1.1666666666666667,0.0,4.5,0.0,0.16666666666666666,0.5,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,6
2020-04-07,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,3.3333333333333335,0.0,0.0,1.0,0.0,1.0,0.0,1.6666666666666667,3
2020-04-09,"USA: Illinois, Winnebago county",1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-04-10,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-11,"USA: Illinois, Winnebago county",0.0,0.0,2.0,0.0,4.5,0.5,0.5,2.0,0.0,0.5,0.5,0.5,2
2020-04-12,"USA: Illinois, Winnebago county",1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-04-13,"USA: Illinois, Winnebago County",0.0,0.0,2.5,0.0,3.5,0.5,0.5,2.0,0.0,0.5,0.5,1.0,2
2020-04-14,USA: Illinois,0.5,0.0,1.25,0.0,4.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,4
2020-04-15,USA: Illinois,1.0,0.0,1.3333333333333333,0.0,5.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,3
2020-04-16,USA: Illinois,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-04-17,USA: Illinois,0.5,0.0,1.0,0.0,5.5,0.0,0.0,1.5,0.0,0.0,0.0,1.0,2
2020-04-18,USA: Illinois,0.25,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,4
2020-04-20,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-04-28,USA: IL,0.3333333333333333,0.0,1.3333333333333333,0.0,4.666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333,3
2020-04-29,USA: IL,0.0,0.0,1.0,0.0,7.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2
2020-04-30,USA: IL,0.0,0.0,1.3333333333333333,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,3
2020-05-20,"USA: Illinois, Winnebago county",1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-05-21,"USA: Illinois, Winnebago county",1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-05-22,"USA: Illinois, Winnebago county",1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
2020-05-23,"USA: Illinois, Winnebago county",0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
2020-05-30,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1
2020-06-01,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
2020-06-02,"USA: Illinois, Mchenry county",0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-06-04,"USA: Illinois, Cook county",0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1
2020-06-07,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-06-17,"USA: Illinois, Winnebago county",2.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
2020-06-23,"USA: Illinois, Lake county",1.0,0.0,1.0,0.5,5.5,0.0,0.0,0.5,0.0,0.0,0.0,2.5,2
2020-06-24,"USA: Illinois, Cook county",1.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,5.666666666666667,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.6666666666666667,3
2020-06-25,"USA: Illinois, Cook county",0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
2020-06-26,"USA: Illinois, Kane county",1.3333333333333333,0.0,1.3333333333333333,0.0,6.666666666666667,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,2.3333333333333335,3
2020-06-27,"USA: Illinois, Cook county",1.0,0.5,1.0,0.0,6.5,0.0,0.0,1.0,0.0,0.0,0.0,1.5,2
2020-06-28,"USA: Illinois, Lake county",1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,2
2020-06-29,"USA: Illinois, Dupage county",2.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
2020-06-30,USA: IL,0.0,0.0,2.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1
2020-07-08,USA: IL,0.0,0.0,1.5,0.0,9.5,0.0,0.0,0.5,0.5,1.5,0.5,1.0,2
2020-07-15,USA: IL,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1
2020-07-16,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1
2020-07-19,"USA: Illinois, Winnebago county",0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1
2020-07-20,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.5,2.0,0.5,3.0,2
2020-07-25,"USA: Illinois, Winnebago county",0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-07-26,"USA: Illinois, Winnebago county",0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
2020-07-27,"USA: Illinois, Winnebago county",0.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1
2020-07-30,"USA: Illinois, Jo Daviess county",0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
2020-08-05,"USA: Illinois, Stephenson county",0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
2020-08-11,USA: IL,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
2020-08-25,USA: IL,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1
2020-09-06,"USA: Illinois, Cook county",0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1
2020-09-08,USA: IL,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1
2020-09-09,USA: IL,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2020-09-14,"USA: Illinois, Winnebago county",0.0,0.0,2.6,0.4,11.4,0.0,0.0,0.0,0.0,1.0,0.0,2.2,5
2020-09-15,"USA: Illinois, Winnebago county",0.0,1.0,1.0,0.0,13.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,1
2020-09-16,"USA: Illinois, Winnebago county",0.0,0.0,2.3333333333333335,0.3333333333333333,11.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,2.3333333333333335,3
2020-09-19,"USA: Illinois, Winnebago county",0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2020-09-24,"USA: Illinois, Winnebago county",0.0,0.0,3.0,0.6666666666666666,10.666666666666666,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,2.0,3
2020-09-25,"USA: Illinois, DeKalb County",0.0,0.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-09-27,"USA: Illinois, Winnebago county",0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
2020-09-28,"USA: Illinois, Winnebago county",0.0,0.0,2.5,0.5,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2
2020-09-29,"USA: Illinois, Winnebago county",0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2020-09-30,"USA: Illinois, Winnebago county",0.5,0.0,2.5,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2
2020-10-06,"USA: Illinois, Winnebago County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1
2020-10-07,"USA: Illinois, Winnebago County",0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2020-10-08,"USA: Illinois, Stephenson county",0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1
2020-10-09,"USA: Illinois, Winnebago county",0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.5,1.0,0.5,0.0,2.5,2
2020-10-11,USA: IL,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
2020-11-05,USA: IL,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1
2020-11-10,USA: IL,0.0,0.5,2.5,0.0,13.0,0.0,0.0,0.5,0.0,0.5,0.5,2.5,2
2020-11-11,USA: IL,0.0,0.0,2.0,0.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,1
2020-11-12,"USA: Illinois, Winnebago County",0.0,0.0,2.0,0.0,10.5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2
2020-11-19,"USA: Illinois, Boone County",0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1
2020-12-05,USA: IL,0.5,0.5,3.0,0.0,11.5,0.0,0.0,0.0,0.0,1.5,0.0,2.5,2
2020-12-06,USA: IL,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1
2020-12-24,USA: Illinois,0.0,0.0,4.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1
2020-12-26,USA: Illinois,0.1111111111111111,0.3333333333333333,2.6666666666666665,0.2222222222222222,13.11111111111111,0.0,0.0,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.4444444444444444,4.111111111111111,9
2020-12-27,USA: Illinois,0.09090909090909091,0.18181818181818182,2.272727272727273,0.09090909090909091,10.727272727272727,0.0,0.09090909090909091,0.7272727272727273,0.2727272727272727,1.0,0.18181818181818182,3.5454545454545454,11
