Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020,USA: Massachusetts,0.0,0.0,1.5,0.16666666666666666,5.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.5,6
2020-03-03,USA: Massachusetts,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1
2020-03-04,USA: MA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
2020-03-05,USA: Massachusetts,0.0,0.0,0.7142857142857143,0.0,3.142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,1.2857142857142858,7
2020-03-06,USA: MA,0.0,0.0,1.0,0.0,3.875,0.0,0.0,0.0,0.0,0.0,0.0,1.25,8
2020-03-07,USA: Massachusetts,0.09523809523809523,0.0,1.0,0.0,4.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,1.5238095238095237,21
2020-03-08,USA: Massachusetts,0.0,0.0,1.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2
2020-03-09,USA: Massachusetts,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-10,USA: Massachusetts,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-11,USA: Massachusetts,0.0,0.0,1.0,0.0,4.0,0.0,0.25,0.75,0.0,0.0,0.25,1.25,4
2020-03-12,USA: MA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-13,USA: MA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
2020-03-14,USA: MA,0.07692307692307693,0.07692307692307693,1.2307692307692308,0.07692307692307693,4.3076923076923075,0.0,0.07692307692307693,0.46153846153846156,0.0,0.15384615384615385,0.15384615384615385,0.9230769230769231,13
2020-03-15,USA: MA,0.0,0.0,1.1666666666666667,0.0,4.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,1.3333333333333333,6
2020-03-16,USA: MA,0.0,0.38461538461538464,1.1538461538461537,0.0,3.4615384615384617,0.0,0.07692307692307693,0.6153846153846154,0.0,0.23076923076923078,0.15384615384615385,0.5384615384615384,13
2020-03-17,USA: MA,0.045454545454545456,0.13636363636363635,1.0454545454545454,0.045454545454545456,4.090909090909091,0.0,0.0,0.13636363636363635,0.0,0.2727272727272727,0.045454545454545456,1.1818181818181819,22
2020-03-18,USA: Massachusetts,0.0,0.2,1.2,0.2,3.6,0.0,0.0,0.4,0.0,0.0,0.0,1.6,5
2020-03-19,USA: Massachusetts,0.0,0.0,1.0,0.2,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5
2020-03-20,USA: Massachusetts,0.0,0.25,1.0,0.25,4.25,0.0,0.0,0.5,0.0,0.25,0.0,1.0,4
2020-03-21,USA: Massachusetts,0.0,0.5,1.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
2020-03-22,USA: Massachusetts,0.0,0.0,1.1428571428571428,0.0,4.142857142857143,0.07142857142857142,0.2857142857142857,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.21428571428571427,1.4285714285714286,14
2020-03-23,USA: Massachusetts,0.0,0.2,1.0,0.1,4.5,0.0,0.0,0.4,0.0,0.6,0.3,0.9,10
2020-03-24,USA: Massachusetts,0.0,0.14285714285714285,1.1428571428571428,0.0,3.857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,1.2857142857142858,7
2020-03-25,USA: Massachusetts,0.0,0.1111111111111111,1.1111111111111112,0.037037037037037035,4.37037037037037,0.0,0.0,0.5925925925925926,0.0,0.18518518518518517,0.07407407407407407,1.1851851851851851,27
2020-03-26,USA: Massachusetts,0.0625,0.0,1.15625,0.125,4.625,0.03125,0.09375,0.5,0.0,0.4375,0.25,1.34375,32
2020-03-27,USA: Massachusetts,0.0,0.0,1.1785714285714286,0.10714285714285714,4.428571428571429,0.0,0.0,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.0,1.6071428571428572,28
2020-03-28,USA: Massachusetts,0.0,0.1,1.05,0.0,4.5,0.05,0.05,0.4,0.05,0.3,0.15,1.35,20
2020-03-29,USA: Massachusetts,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-03-30,USA: Massachusetts,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
2020-04-01,USA: Massachusetts,0.0,0.0,1.1162790697674418,0.046511627906976744,4.27906976744186,0.0,0.0,0.09302325581395349,0.0,0.046511627906976744,0.0,1.8837209302325582,43
2020-04-02,USA: Massachusetts,0.0,0.16129032258064516,1.3548387096774193,0.25806451612903225,4.645161290322581,0.0,0.03225806451612903,0.25806451612903225,0.0,0.0967741935483871,0.0,1.4516129032258065,31
2020-04-03,USA: Massachusetts,0.0,0.08235294117647059,1.4,0.3764705882352941,4.658823529411765,0.0,0.011764705882352941,0.09411764705882353,0.011764705882352941,0.011764705882352941,0.011764705882352941,1.576470588235294,85
2020-04-04,USA: Massachusetts,0.0,0.0,1.032258064516129,0.0,4.451612903225806,0.03225806451612903,0.0,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.0,2.0,31
2020-04-05,USA: Massachusetts,0.0,0.0,1.0,0.5,5.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.1666666666666665,6
2020-04-06,USA: Massachusetts,0.0,0.0,1.1372549019607843,0.0784313725490196,4.686274509803922,0.0196078431372549,0.0196078431372549,0.19607843137254902,0.0,0.13725490196078433,0.0392156862745098,1.803921568627451,51
2020-04-07,USA: Massachusetts,0.0,0.0,1.0,0.0,4.625,0.0,0.0,0.125,0.0,0.125,0.0,2.0,8
2020-04-08,USA: Massachusetts,0.0,0.0,1.3,0.2,5.3,0.0,0.0,0.4,0.0,0.2,0.1,1.6,10
2020-04-09,USA: Massachusetts,0.0,0.18181818181818182,1.0909090909090908,0.18181818181818182,4.818181818181818,0.0,0.0,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.0,1.8181818181818181,11
2020-04-10,USA: Massachusetts,0.0,0.0,1.0666666666666667,0.0,4.733333333333333,0.06666666666666667,0.13333333333333333,0.6,0.06666666666666667,0.4,0.06666666666666667,1.8,15
2020-04-11,USA: Massachusetts,0.0,0.25,1.25,0.0,5.25,0.0,0.0,0.25,0.0,0.25,0.0,1.75,4
2020-04-12,USA: Massachusetts,0.0,0.0,1.125,0.0,4.875,0.0,0.0,0.375,0.0,0.0,0.0,1.75,8
2020-04-13,USA: Massachusetts,0.0,0.11428571428571428,1.0571428571428572,0.14285714285714285,4.857142857142857,0.0,0.0,0.37142857142857144,0.0,0.2,0.0,1.8571428571428572,35
2020-04-14,USA: Massachusetts,0.0,0.08333333333333333,1.25,0.08333333333333333,5.416666666666667,0.0,0.16666666666666666,0.16666666666666666,0.0,0.5,0.08333333333333333,1.75,12
2020-04-15,USA: Massachusetts,0.0,0.0,1.2,0.4,4.2,0.0,0.0,0.2,0.0,0.0,0.0,1.8,5
2020-04-16,USA: Massachusetts,0.0,0.0,1.1818181818181819,0.2727272727272727,4.636363636363637,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,1.4545454545454546,11
2020-04-17,USA: Massachusetts,0.0,0.0,1.0476190476190477,0.047619047619047616,5.571428571428571,0.0,0.0,0.7619047619047619,0.0,0.19047619047619047,0.0,1.619047619047619,21
2020-04-18,USA: Massachusetts,0.0,0.0,1.0,0.09090909090909091,5.454545454545454,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,1.6363636363636365,11
2020-04-24,USA: Massachusetts,0.0,0.0,1.3333333333333333,0.0,5.333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.3333333333333333,3
2020-04-28,USA: Massachusetts,0.0,0.2,1.0,0.2,5.2,0.0,0.0,0.2,0.0,0.4,0.0,1.8,5
2020-04-29,USA: Massachusetts,0.0,0.4444444444444444,1.4444444444444444,0.1111111111111111,4.888888888888889,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,1.1111111111111112,9
2020-04-30,USA: Massachusetts,0.0,0.07692307692307693,1.0,0.07692307692307693,4.846153846153846,0.0,0.07692307692307693,0.3076923076923077,0.0,0.15384615384615385,0.0,1.6153846153846154,13
2020-05-01,USA: Massachusetts,0.07407407407407407,0.0,1.1481481481481481,0.07407407407407407,5.185185185185185,0.0,0.0,0.14814814814814814,0.0,0.2222222222222222,0.07407407407407407,1.7407407407407407,27
2020-05-02,USA: Massachusetts,0.0,0.19047619047619047,1.2380952380952381,0.09523809523809523,5.190476190476191,0.0,0.047619047619047616,0.3333333333333333,0.0,0.23809523809523808,0.19047619047619047,1.5714285714285714,21
2020-05-03,USA: Massachusetts,0.0,0.0,1.125,0.25,6.125,0.0,0.0,1.125,0.0,0.75,0.25,1.5,8
2020-05-04,USA: Massachusetts,0.0,0.2727272727272727,1.1818181818181819,0.09090909090909091,5.2727272727272725,0.0,0.0,0.45454545454545453,0.0,0.36363636363636365,0.2727272727272727,1.6363636363636365,11
2020-05-05,USA: Massachusetts,0.0,0.4,1.3333333333333333,0.26666666666666666,5.333333333333333,0.0,0.0,0.6,0.0,0.06666666666666667,0.2,1.5333333333333334,15
2020-05-06,USA: Massachusetts,0.0,0.07142857142857142,1.1428571428571428,0.07142857142857142,5.642857142857143,0.0,0.0,0.5,0.0,0.35714285714285715,0.21428571428571427,1.7857142857142858,14
2020-05-07,USA: Massachusetts,0.0,0.0,1.1111111111111112,0.0,5.666666666666667,0.0,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.2222222222222222,1.5555555555555556,9
2020-05-08,USA: Massachusetts,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
