Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-04,USA: MD,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-03-08,USA: MD,0.0,0.0,1.0,0.0,4.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,2
2020-03-09,USA: MD,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-11,USA: Maryland,0.0,0.0,1.0,0.0,5.4,0.6,0.4,0.8,0.0,0.6,0.2,0.8,5
2020-03-13,USA: MD,0.0,0.0,1.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-14,USA: Maryland,0.0,0.0,1.6666666666666667,0.3333333333333333,4.333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,1.0,0.6666666666666666,0.6666666666666666,3
2020-03-15,USA: Maryland,0.0,0.0,1.0,0.0,4.333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,3
2020-03-16,USA: Maryland,0.0,0.16666666666666666,1.0,0.3333333333333333,4.666666666666667,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,6
2020-03-17,USA: Maryland,0.0,0.0,1.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2020-03-18,USA: Maryland,0.3333333333333333,0.0,1.0,0.0,5.333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,3
2020-03-19,USA: Maryland,0.0,0.2,1.2,0.0,4.2,0.4,0.2,1.0,0.0,0.4,0.2,1.0,5
2020-03-20,USA: Maryland,0.5,0.0,1.0,0.25,4.0,0.25,0.25,1.0,0.0,0.25,0.25,1.0,4
2020-03-21,USA: Maryland,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2
2020-03-23,USA: Maryland,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-03-24,USA: Maryland,0.4,0.0,1.2,0.2,4.0,0.0,0.0,0.2,0.0,0.4,0.2,1.4,5
2020-03-26,USA: Maryland,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2
2020-03-29,USA: Maryland,0.0,0.0,1.0,0.0,4.0,0.5,0.5,2.0,0.0,0.5,0.5,0.5,2
2020-03-30,USA: Maryland,0.0,0.0,1.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-31,USA: MD,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-01,USA: MD,0.0,0.25,1.375,0.125,3.875,0.0,0.25,0.125,0.125,0.125,0.125,1.625,8
2020-04-02,USA: MD,0.0,0.0,1.0,0.0,4.5,0.0,0.5,0.0,0.0,0.5,0.0,1.5,2
2020-04-03,USA: MD,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,5.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0,3
2020-04-04,USA: MD,0.0,0.3333333333333333,1.0,0.0,4.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2.3333333333333335,3
2020-04-06,USA: MD,0.0,0.25,1.25,0.0,6.25,0.0,0.25,0.75,0.0,0.5,0.0,1.0,4
2020-04-07,USA: MD,0.0,0.14285714285714285,1.0,0.42857142857142855,4.428571428571429,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,1.8571428571428572,7
2020-04-08,USA: MD,0.0,0.0,1.5,0.5,6.5,0.0,0.0,0.5,0.0,0.0,0.0,2.0,2
