Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-06,USA: NC,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-07,USA: NC,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04,USA: NC,0.0,0.0,1.0,0.0,4.666666666666667,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.3333333333333333,1.0,3
2020-04-02,USA: North Carolina,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-27,USA: NC,0.0,0.0,1.75,0.25,6.25,0.0,0.0,0.0,0.0,1.0,0.0,1.5,4
2020-04-28,USA: NC,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
2020-04-30,USA: NC,0.0,0.0,1.0,0.0,4.2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5
2020-06-12,USA: North Carolina,0.0,0.0,1.3333333333333333,0.0,6.666666666666667,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,3
2020-07-30,USA: North Carolina,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2
2020-07-31,USA: North Carolina,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,2.5,1.5,1.5,2
2020-08-14,USA: NC,0.0,0.0,2.0,0.0,5.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5,2
2020-08-19,USA: NC,0.0,0.25,2.0,0.25,6.5,0.0,0.25,0.75,0.0,1.5,0.5,1.5,4
2020-08-21,USA: NC,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-08-23,USA: NC,0.0,0.0,3.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
2020-08-26,USA: NC,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
2020-08-28,USA: NC,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1
2020-09-11,USA: North Carolina,0.16666666666666666,0.0,2.3333333333333335,0.16666666666666666,11.0,0.0,0.0,1.1666666666666667,0.0,0.5,0.16666666666666666,2.1666666666666665,6
2020-09-17,USA: NC,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2020-09-18,USA: North Carolina,0.0,0.1,1.9,0.3,8.8,0.0,0.1,1.2,0.0,0.9,0.3,2.2,10
2020-10-05,USA: North Carolina,0.25,0.5,1.75,0.0,7.0,0.25,0.25,1.0,0.0,1.75,0.75,1.25,4
2020-10-28,USA: NC,0.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1
2020-10-30,USA: NC,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
2020-11-02,USA: NC,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
2020-11-03,USA: NC,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
2020-11-04,USA: NC,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1
2020-11-06,USA: NC,0.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1
2020-11-09,USA: NC,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1
2020-11-10,USA: NC,1.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,1
2020-11-12,USA: NC,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
2020-11-14,USA: NC,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,1
2020-11-20,USA: NC,0.0,0.0,2.0,0.0,6.0,0.0,1.0,5.0,0.0,2.0,1.0,3.0,1
2020-11-23,USA: NC,0.0,1.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-11-24,USA: North Carolina,0.0,0.4,2.0,0.2,11.0,0.2,0.2,0.8,0.2,1.6,0.4,2.0,5
2020-12-21,USA: NC,0.0,0.0,2.0,1.0,16.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1
2020-12-26,USA: North Carolina,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,1
2020-12-27,USA: North Carolina,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2020-12-28,USA: North Carolina,0.0,0.4,2.0,0.0,12.2,0.0,0.0,1.6,0.0,0.8,0.0,3.0,5
2020-12-29,USA: NC,0.6,0.4,3.0,0.2,12.2,0.0,0.0,1.2,0.0,2.0,0.4,3.4,5
2020-12-30,USA: NC,0.25,0.5,3.75,0.25,11.0,0.0,0.0,1.75,0.0,1.25,0.25,3.75,4
2020-12-31,USA: North Carolina,1.5,0.0,3.5,0.0,11.5,0.0,0.0,0.5,0.0,1.5,0.5,2.0,2
2021-01-02,USA: North Carolina,0.2857142857142857,0.0,3.142857142857143,0.42857142857142855,11.714285714285714,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.14285714285714285,1.0,0.42857142857142855,3.2857142857142856,7
2021-01-03,USA: NC,0.125,0.375,1.75,0.375,11.5,0.0,0.0,1.0,0.0,1.125,0.0,3.25,8
2021-01-04,USA: North Carolina,0.23076923076923078,0.07692307692307693,2.3076923076923075,0.38461538461538464,11.923076923076923,0.07692307692307693,0.07692307692307693,1.2307692307692308,0.07692307692307693,1.6153846153846154,0.07692307692307693,3.076923076923077,13
2021-01-05,USA: NC,0.2222222222222222,0.3333333333333333,3.0,0.3333333333333333,13.222222222222221,0.0,0.1111111111111111,1.2222222222222223,0.1111111111111111,1.0,0.2222222222222222,3.3333333333333335,9
2021-01-06,USA: North Carolina,0.16666666666666666,0.3333333333333333,3.0,0.3333333333333333,12.5,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.16666666666666666,1.3333333333333333,0.16666666666666666,3.8333333333333335,6
2021-01-07,USA: North Carolina,0.5,0.0,3.5,0.25,12.5,0.0,0.0,0.75,0.25,0.75,0.0,3.75,4
2021-01-08,USA: North Carolina,0.0,0.0,4.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1
2021-01-09,USA: North Carolina,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,1
2021-01-10,USA: North Carolina,0.0,0.0,3.0,0.0,11.0,0.5,0.0,0.0,0.0,1.0,0.5,3.0,2
2021-01-11,USA: North Carolina,0.0,0.0,2.3333333333333335,0.0,12.0,0.0,0.0,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,3.6666666666666665,3
2021-01-12,USA: North Carolina,0.125,0.25,3.625,0.125,12.5,0.25,0.375,1.25,0.125,1.25,0.125,3.625,8
2021-01-13,USA: North Carolina,0.0,0.0,2.75,0.75,11.0,0.0,0.25,2.0,0.0,2.25,0.25,3.0,4
2021-01-14,USA: North Carolina,0.25,0.0,3.25,0.75,13.25,0.0,0.25,1.0,0.0,1.25,0.0,2.75,4
2021-01-15,USA: North Carolina,0.25,0.0,3.25,0.0,12.75,0.25,0.0,0.5,0.0,1.25,0.25,4.0,4
2021-01-16,USA: North Carolina,0.0,0.5,3.25,0.25,13.75,0.25,0.25,0.5,0.25,1.75,0.5,3.25,4
2021-01-17,USA: North Carolina,0.0,0.3333333333333333,3.0,1.0,13.333333333333334,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,2.6666666666666665,3
2021-01-18,USA: North Carolina,0.25,0.5,2.375,0.125,10.375,0.0,0.5,1.375,0.0,1.5,0.125,3.125,8
2021-01-19,USA: NC,0.1,0.3,2.4,0.3,13.1,0.1,0.1,0.8,0.0,1.7,0.1,3.4,10
2021-01-20,USA: North Carolina,0.38095238095238093,0.2857142857142857,3.380952380952381,0.5238095238095238,12.285714285714286,0.09523809523809523,0.09523809523809523,1.0,0.047619047619047616,1.5238095238095237,0.3333333333333333,3.142857142857143,21
2021-01-21,USA: North Carolina,0.4,0.0,3.0,0.2,11.8,0.0,0.2,1.2,0.0,2.0,0.0,2.6,5
2021-01-22,USA: NC,0.08333333333333333,0.0,2.3333333333333335,0.0,15.5,0.25,0.0,0.6666666666666666,0.0,0.9166666666666666,0.4166666666666667,4.25,12
2021-01-23,USA: North Carolina,0.2,0.0,3.2,0.0,10.0,0.0,0.6,1.0,0.0,1.8,0.2,3.6,5
2021-01-24,USA: North Carolina,0.2777777777777778,0.05555555555555555,3.2777777777777777,0.2222222222222222,11.666666666666666,0.16666666666666666,0.1111111111111111,1.0,0.1111111111111111,1.4444444444444444,0.2777777777777778,3.111111111111111,18
2021-01-25,USA: North Carolina,0.2,0.26666666666666666,2.533333333333333,0.2,12.8,0.13333333333333333,0.2,0.7333333333333333,0.13333333333333333,1.6,0.4666666666666667,3.3333333333333335,15
2021-01-26,USA: North Carolina,0.21428571428571427,0.14285714285714285,2.9285714285714284,0.21428571428571427,13.214285714285714,0.0,0.2857142857142857,1.2142857142857142,0.07142857142857142,1.7857142857142858,0.07142857142857142,3.4285714285714284,14
2021-01-27,USA: NC,0.058823529411764705,0.29411764705882354,2.8823529411764706,0.17647058823529413,13.0,0.058823529411764705,0.11764705882352941,0.7058823529411765,0.058823529411764705,1.0,0.29411764705882354,4.411764705882353,17
2021-01-28,USA: North Carolina,0.0,0.3333333333333333,3.6666666666666665,0.0,12.333333333333334,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,4.0,3
2021-01-29,USA: North Carolina,0.0,0.0,2.75,0.0,13.25,0.0,0.25,0.5,0.5,1.25,0.0,3.25,4
2021-01-30,USA: North Carolina,0.5,0.0,3.25,0.25,13.0,0.25,0.25,1.5,0.0,2.5,0.25,3.0,4
2021-01-31,USA: North Carolina,0.0,0.0,2.0,0.0,16.5,0.0,0.0,0.0,0.5,2.5,0.0,3.0,2
2021-02-01,USA: North Carolina,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.5,1.5,6.0,2
2021-02-02,USA: North Carolina,0.14285714285714285,0.0,2.7857142857142856,0.7142857142857143,13.428571428571429,0.6428571428571429,0.07142857142857142,1.2142857142857142,0.0,1.1428571428571428,0.7857142857142857,2.857142857142857,14
2021-02-03,USA: North Carolina,0.125,0.0,2.875,0.0,13.375,0.25,0.25,0.375,0.125,1.875,0.125,3.25,8
