Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-13,USA: NJ,0.0,0.0,1.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-14,USA: NJ,0.0,0.0,1.0769230769230769,0.07692307692307693,4.461538461538462,0.0,0.07692307692307693,0.38461538461538464,0.0,0.38461538461538464,0.07692307692307693,1.3076923076923077,13
2020-03-15,USA: NJ,0.0,0.2,1.2,0.0,5.2,0.0,0.0,0.2,0.0,0.6,0.0,1.2,5
2020-03-16,USA: NJ,0.0,0.0,1.2,0.0,4.5,0.0,0.0,0.1,0.0,0.2,0.0,1.1,10
2020-06-24,USA: NJ,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1
2020-09-10,USA: NJ,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1
2020-10-08,USA: NJ,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1
2020-10-15,USA: NJ,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1
2020-10-17,USA: NJ,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
2020-10-31,USA: NJ,0.0,0.0,3.5,0.0,7.5,0.0,0.0,0.0,0.0,2.5,1.0,3.5,2
2020-11-16,USA: New Jersey,0.0,0.0,1.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,1
2020-12-04,USA: New Jersey,0.0,0.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1
2020-12-22,USA: New Jersey,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1
2020-12-25,USA: New Jersey,0.0,0.0,3.5,0.0,11.0,0.0,0.0,1.0,0.5,1.5,0.5,5.0,2
2020-12-26,USA: New Jersey,0.3333333333333333,0.0,2.6666666666666665,0.0,9.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,3.3333333333333335,3
2020-12-27,USA: New Jersey,0.5555555555555556,0.0,2.4444444444444446,0.5555555555555556,9.0,0.1111111111111111,0.1111111111111111,1.6666666666666667,0.0,1.5555555555555556,0.2222222222222222,2.0,9
2020-12-30,USA: NJ,0.5,0.5,3.5,0.5,12.5,0.0,0.0,2.5,0.0,0.5,0.0,2.0,2
2020-12-31,USA: New Jersey,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1
2021-01-03,USA: New Jersey,0.0,0.5,2.5,0.0,9.5,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2
2021-01-04,USA: New Jersey,0.0,0.5,3.0,1.0,9.5,0.0,0.0,1.0,0.5,2.5,1.5,3.0,2
2021-01-05,USA: New Jersey,1.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1
2021-01-06,USA: New Jersey,1.0,0.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1
2021-01-07,USA: New Jersey,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,1
2021-01-08,USA: New Jersey,0.5,0.0,3.0,0.5,11.5,0.0,0.0,1.0,0.0,2.5,0.5,3.5,2
2021-01-09,USA: New Jersey,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,1
2021-01-10,USA: New Jersey,0.5,1.0,2.0,0.5,7.5,0.0,0.0,1.5,0.0,2.5,0.0,3.0,2
2021-01-11,USA: New Jersey,0.5,0.0,2.5,0.0,14.5,0.0,0.0,1.0,0.0,0.0,0.0,3.5,2
2021-01-12,USA: New Jersey,0.5,0.0,2.5,0.5,13.0,0.0,0.0,2.5,0.0,2.0,0.0,2.5,2
2021-01-14,USA: New Jersey,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2021-01-15,USA: New Jersey,0.0,2.0,3.0,3.0,14.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1
2021-01-16,USA: New Jersey,0.0,0.0,4.0,1.0,11.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1
2021-01-17,USA: New Jersey,0.0,2.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1
2021-01-18,USA: New Jersey,0.6666666666666666,0.0,2.3333333333333335,1.0,13.0,0.0,0.0,1.3333333333333333,0.0,3.0,1.0,3.0,3
2021-01-19,USA: New Jersey,0.4,1.0,2.4,0.8,11.6,0.0,0.2,2.0,0.2,1.6,0.6,1.8,5
2021-01-20,USA: New Jersey,0.3333333333333333,0.0,3.3333333333333335,0.6666666666666666,10.666666666666666,0.0,0.0,1.0,0.0,1.3333333333333333,0.6666666666666666,6.666666666666667,3
2021-01-21,USA: New Jersey,0.6,0.2,2.7,0.7,11.1,0.0,0.0,1.5,0.1,1.4,0.3,2.8,10
2021-01-24,USA: New Jersey,0.0,0.0,3.0,0.0,11.5,0.0,0.5,0.0,0.0,1.0,0.0,4.0,2
2021-01-25,USA: New Jersey,0.25,0.0,2.75,0.75,12.75,0.0,0.0,1.25,0.0,1.75,0.25,1.5,4
2021-01-26,USA: New Jersey,0.25,0.0,2.75,0.5,11.5,0.0,0.0,0.75,0.0,2.75,0.5,3.25,4
2021-01-27,USA: New Jersey,0.8,0.0,2.8,0.6,9.6,0.0,0.0,1.2,0.2,2.0,0.2,1.8,5
2021-01-28,USA: New Jersey,0.0,0.0,2.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1
2021-01-29,USA: New Jersey,0.36363636363636365,0.09090909090909091,2.5454545454545454,0.2727272727272727,10.454545454545455,0.0,0.0,1.5454545454545454,0.0,2.3636363636363638,0.18181818181818182,2.3636363636363638,11
