Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-09,USA: New Mexico,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-13,USA: NM,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-07,USA: New Mexico,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-04-30,USA: NM,0.125,0.0,1.75,0.0,4.75,0.0,0.0,0.25,0.0,0.875,0.5,0.75,8
2020-05-01,USA: NM,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-06-01,USA: NM,0.0,0.0,1.3333333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2020-06-09,USA: New Mexico,0.0,0.0,1.0,1.0,6.0,0.0,0.2,0.0,0.0,0.2,0.0,1.0,5
2020-06-15,USA: NM,0.0,0.42857142857142855,1.4285714285714286,0.0,6.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.0,1.0,7
2020-06-16,USA: New Mexico,0.0,0.0,1.5,0.5,6.5,0.0,0.0,1.5,0.0,0.5,0.0,0.5,2
2020-06-18,USA: NM,0.0,0.7692307692307693,1.7692307692307692,0.07692307692307693,6.769230769230769,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,1.3076923076923077,13
2020-06-25,USA: New Mexico,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
2020-06-26,USA: New Mexico,1.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1
2020-07-01,USA: New Mexico,0.0,0.3333333333333333,1.0,1.0,5.666666666666667,0.0,0.3333333333333333,1.0,0.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,3
2020-07-02,USA: New Mexico,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1
2020-07-07,USA: New Mexico,0.0,0.0,1.0,0.6,5.8,0.0,0.0,0.4,0.0,0.8,0.0,2.8,5
2020-07-14,USA: New Mexico,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1
2020-07-20,USA: NM,0.0,1.0,2.0,0.2,7.6,0.0,0.0,0.0,0.0,0.2,0.0,1.0,5
2020-07-22,USA: NM,0.0,0.5714285714285714,2.0,0.0,5.428571428571429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7
2020-08-10,USA: New Mexico,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-08-20,USA: New Mexico,0.0,1.0,2.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1
2020-08-21,USA: New Mexico,0.8,0.2,2.8,0.8,6.8,0.8,0.0,0.4,0.0,0.2,0.0,1.8,5
2020-08-24,USA: New Mexico,0.03225806451612903,0.22580645161290322,1.6774193548387097,0.8064516129032258,9.838709677419354,0.0,0.03225806451612903,0.8387096774193549,0.22580645161290322,1.2580645161290323,0.06451612903225806,2.2580645161290325,31
2020-08-25,USA: New Mexico,0.0,0.5,1.5,0.16666666666666666,9.5,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,3.0,6
2020-08-26,USA: New Mexico,0.23076923076923078,0.07692307692307693,1.4615384615384615,0.3076923076923077,9.615384615384615,0.0,0.07692307692307693,1.3076923076923077,0.0,1.0,0.07692307692307693,2.3076923076923075,13
2020-08-27,USA: New Mexico,0.0,0.2222222222222222,1.7777777777777777,0.6111111111111112,9.722222222222221,0.0,0.1111111111111111,0.5555555555555556,0.05555555555555555,1.0,0.1111111111111111,2.5,18
2020-08-28,USA: New Mexico,0.0,0.0,2.125,0.875,8.0,0.0,0.125,1.0,0.0,0.625,0.125,2.5,8
2020-08-29,USA: New Mexico,0.0,0.0,2.0,0.5,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2
2020-08-31,USA: New Mexico,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1
