Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-02-29,USA: NY,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1
2020-03-02,USA: NY,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-04,USA: NY,0.0,0.0,1.0,0.0,3.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,3
2020-03-08,USA: NY,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-09,USA: NY,0.0,0.15384615384615385,0.7692307692307693,0.07692307692307693,3.1538461538461537,0.0,0.0,0.38461538461538464,0.0,0.15384615384615385,0.0,1.0769230769230769,13
2020-03-10,USA: NY,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2
2020-03-11,USA: NY,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0,1.5,0.5,0.5,2
2020-03-12,USA: NY,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,4.384615384615385,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,1.2307692307692308,13
2020-03-13,USA: NY,0.125,0.0,1.4375,0.125,4.3125,0.0,0.0,0.3125,0.0,0.1875,0.0,1.125,16
2020-03-14,USA: NY,0.07692307692307693,0.038461538461538464,1.0,0.0,4.615384615384615,0.0,0.0,0.07692307692307693,0.0,1.1153846153846154,0.34615384615384615,0.7307692307692307,26
2020-03-15,USA: NY,0.15584415584415584,0.012987012987012988,1.0,0.012987012987012988,4.883116883116883,0.0,0.012987012987012988,0.19480519480519481,0.0,0.35064935064935066,0.05194805194805195,1.077922077922078,77
2020-03-16,USA: NY,0.039603960396039604,0.009900990099009901,1.0594059405940595,0.019801980198019802,4.544554455445544,0.0,0.0594059405940594,0.26732673267326734,0.0,0.3069306930693069,0.039603960396039604,1.0891089108910892,101
2020-03-17,USA: NY,0.037037037037037035,0.012345679012345678,1.0617283950617284,0.04938271604938271,4.407407407407407,0.012345679012345678,0.024691358024691357,0.19753086419753085,0.012345679012345678,0.25925925925925924,0.04938271604938271,1.1358024691358024,81
2020-03-18,USA: NY,0.05405405405405406,0.0,1.054054054054054,0.0,4.783783783783784,0.0,0.0,0.21621621621621623,0.0,0.32432432432432434,0.02702702702702703,1.135135135135135,37
2020-03-19,USA: NY,0.0,0.03571428571428571,1.2142857142857142,0.0,4.714285714285714,0.0,0.0,0.10714285714285714,0.0,0.4642857142857143,0.07142857142857142,1.0,28
2020-03-20,USA: NY,0.0,0.0,1.0,0.038461538461538464,4.346153846153846,0.0,0.038461538461538464,0.19230769230769232,0.0,0.2692307692307692,0.038461538461538464,1.2692307692307692,26
2020-03-21,USA: NY,0.05263157894736842,0.0,1.105263157894737,0.0,4.526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.3157894736842105,0.0,1.0,19
2020-03-22,USA: NY,0.0,0.0,1.125,0.0,4.75,0.0,0.0,0.25,0.125,0.5,0.125,0.75,8
2020-03-23,USA: NY,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-03-24,USA: NY,0.0,0.5,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2
2020-03-25,USA: New York,0.0,0.0,1.5,0.5,5.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2
2020-04-01,USA: New York,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-04-02,USA: New York,0.0,0.0,1.25,0.0,5.25,0.0,0.0,0.0,0.0,0.25,0.0,1.0,4
2020-04-08,USA: NY,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-06-23,"USA: New York, Westchester county",2.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-06-26,"USA: New York, Rockland county",2.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-06-27,"USA: New York, Onondaga county",0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
2020-06-28,"USA: New York, Westchester county",2.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
2020-08-05,USA: NY,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1
2020-08-23,USA: NY,0.0,0.5,2.0,0.5,5.0,0.0,0.0,1.0,0.5,1.5,0.0,2.5,2
2020-08-30,"USA: New York, Nassau county",0.0,1.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1
2020-09-01,"USA: New York, Nassau county",0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1
2020-09-06,"USA: New York, Putnam county",0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,3
2020-09-08,"USA: New York, Westchester county",0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1
2020-09-09,"USA: New York, New York county",0.0,1.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1
2020-10-01,USA: NY,1.0,0.0,2.0,0.0,7.0,0.0,0.0,0.5,0.0,3.0,1.0,1.5,2
2020-10-03,USA: NY,0.0,0.0,2.0,0.5,9.5,0.0,0.5,0.0,0.0,1.0,0.5,1.5,2
2020-10-18,USA: NY,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2020-10-23,USA: NY,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1
2020-10-28,USA: NY,0.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1
2020-10-29,USA: New York,0.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1
2020-11-03,USA: NY,0.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
2020-11-20,USA: New York,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1
2020-11-23,USA: New York,0.0,1.0,1.0,0.0,10.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,1
2020-12-23,USA: New York,0.0,0.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1
2020-12-24,"USA: New York, Saratoga County",0.0,2.0,3.0,3.0,11.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1
2020-12-26,USA: New York,0.0,0.5,2.5,0.0,14.5,0.0,0.0,1.0,0.0,1.5,0.0,3.0,2
2020-12-27,USA: New York,0.0,0.5,4.0,1.5,12.5,0.0,0.0,2.0,0.0,2.0,0.5,3.0,2
2020-12-30,USA: New York,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1
2020-12-31,USA: New York,1.0,0.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1
2021-01-02,USA: New York,0.0,0.5,2.0,0.0,11.5,0.5,0.0,2.0,0.0,1.0,1.0,2.5,2
2021-01-03,USA: New York,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1
2021-01-04,USA: New York,0.5,0.0,3.0,0.5,10.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2
2021-01-05,USA: New York,0.0,0.0,2.6666666666666665,0.0,10.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.6666666666666665,3
2021-01-06,USA: New York,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2
