Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-01-05,USA: Ohio,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1
2020-03-07,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-08,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-15,USA: OH,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-16,USA: Ohio,0.0,0.0,1.0,0.0,3.6666666666666665,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3
2020-03-17,USA: OH,0.0,0.0,1.3333333333333333,0.0,4.333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,3
2020-03-18,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-20,USA: Ohio,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-23,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-29,USA: Ohio,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-31,USA: Ohio,0.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1
2020-04-01,USA: Ohio,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-03,USA: Ohio,1.0,0.0,0.5,0.5,4.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,2
2020-04-06,USA: Ohio,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
2020-05-07,USA: Ohio,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-10,USA: Ohio,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-15,USA: Ohio,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
2020-05-17,USA: Ohio,0.0,0.0,1.5,0.0,6.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2
2020-05-22,USA: Ohio,0.5,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,2
2020-05-25,USA: Ohio,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1
2020-05-30,USA: Ohio,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-06-14,USA: OH,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1
2020-07-07,USA: OH,1.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1
2020-07-12,"USA: Ohio, Cuyahoga county",2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
2020-08-01,USA: OH,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2
2020-08-11,USA: OH,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2
2020-09-08,USA: OH,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1
2020-11-04,USA: OH,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1
2020-11-09,USA: Ohio,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1
2020-11-10,USA: Ohio,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1
2020-11-11,USA: Ohio,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1
2020-11-18,USA: Ohio,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
2020-11-19,USA: Ohio,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1
2020-12-02,"USA: Ohio, Franklin County",0.0,0.0,4.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1
2020-12-26,USA: Ohio,0.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,1
2020-12-28,USA: OH,0.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,10.666666666666666,0.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,3.6666666666666665,3
2020-12-29,USA: OH,0.0,0.6666666666666666,3.0,1.3333333333333333,10.333333333333334,0.0,1.0,0.6666666666666666,0.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,3
2020-12-30,USA: OH,0.0,0.0,2.5,0.0,11.0,0.0,0.0,1.5,0.5,1.5,0.0,4.5,2
2020-12-31,USA: OH,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
2021-01-02,USA: Ohio,0.3333333333333333,0.6666666666666666,3.6666666666666665,0.3333333333333333,10.666666666666666,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,3.3333333333333335,3
2021-01-03,"USA: Ohio, Cuyahoga County",0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1
2021-01-04,USA: Ohio,0.0,0.0,3.0,0.0,12.333333333333334,0.0,0.0,1.0,0.0,1.3333333333333333,0.0,3.6666666666666665,3
2021-01-05,USA: Ohio,0.0,0.0,4.0,0.0,13.5,0.0,0.0,1.0,0.0,1.0,0.0,3.5,2
2021-01-06,USA: Ohio,1.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,1
2021-01-07,USA: Ohio,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1
2021-01-09,USA: Ohio,0.3333333333333333,0.3333333333333333,3.3333333333333335,0.0,11.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,2.6666666666666665,3
2021-01-10,USA: Ohio,2.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1
2021-01-11,USA: Ohio,0.0,0.0,4.0,1.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1
2021-01-12,USA: Ohio,0.0,0.25,3.0,0.5,11.75,0.0,0.25,0.75,0.0,0.75,0.75,3.25,4
2021-01-13,USA: Ohio,0.0,0.0,2.0,1.0,12.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1
