Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-05,USA: PA,0.0,0.0,1.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2
2020-03-07,USA: PA,0.0,0.0,1.0,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2020-03-08,USA: PA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-09,USA: PA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-12,USA: PA,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1
2020-03-13,USA: PA,0.0,0.3333333333333333,1.0,0.0,4.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,3
2020-03-14,USA: PA,0.0,0.5,1.0,0.0,3.5,0.0,0.0,0.75,0.0,0.25,0.0,0.5,4
2020-03-15,USA: PA,0.0,0.0,1.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-16,USA: PA,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2
2020-03-17,USA: PA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-18,USA: PA,0.0,0.0,1.5,0.0,3.0,0.0,0.0,0.5,0.0,2.0,1.0,0.5,2
2020-03-28,"USA: Pennsylvania, Philadelphia county",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-03-30,"USA: Pennsylvania, Philadelphia county",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
2020-04-08,"USA: Pennsylvania, Philadelphia county",0.0,0.0,1.0,0.0,5.25,0.0,0.0,0.25,0.0,0.75,0.0,2.0,4
2020-04-13,"USA: Pennsylvania, Philadelphia county",0.0,0.3333333333333333,1.0,0.0,7.666666666666667,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,2.3333333333333335,3
2020-04-15,"USA: Pennsylvania, Philadelphia county",0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-04-17,"USA: Pennsylvania, Philadelphia county",0.0,0.0,1.0,0.0,5.666666666666667,0.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.3333333333333333,3
2020-04-20,"USA: Pennsylvania, Philadelphia county",0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-04-22,"USA: Pennsylvania, Philadelphia county",0.6666666666666666,0.0,1.0,0.0,4.333333333333333,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,2.0,3
2020-04-24,"USA: Pennsylvania, Philadelphia county",0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
