Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2021-01-04,USA: RI,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1
2021-01-07,USA: RI,0.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1
2021-01-08,USA: RI,0.25,0.0,4.25,0.25,9.0,0.0,0.25,0.25,0.0,1.75,0.0,3.25,4
2021-01-12,USA: RI,0.0,0.0,3.0,2.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1
2021-01-13,USA: RI,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1
2021-01-14,USA: RI,0.3333333333333333,0.3333333333333333,3.6666666666666665,0.3333333333333333,9.333333333333334,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667,1.0,3.3333333333333335,3
2021-01-15,USA: RI,1.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
2021-01-19,USA: RI,0.0,0.0,3.0,0.0,11.5,0.5,0.0,0.0,0.0,1.0,0.5,3.5,2
2021-01-22,USA: RI,0.25,0.0,3.5,0.0,12.25,0.0,0.0,0.75,0.0,1.0,0.0,5.0,4
2021-01-25,USA: RI,0.75,0.25,3.25,0.25,13.0,0.0,0.0,1.0,0.0,1.25,0.75,4.25,4
2021-01-27,USA: Rhode Island,0.0,0.3333333333333333,3.3333333333333335,0.6666666666666666,9.666666666666666,0.0,0.0,1.3333333333333333,0.0,3.0,1.0,4.0,3
2021-01-28,USA: Rhode Island,0.42857142857142855,0.14285714285714285,3.2857142857142856,0.5714285714285714,12.285714285714286,0.0,0.2857142857142857,1.1428571428571428,0.0,1.7142857142857142,0.0,3.4285714285714284,7
2021-01-29,USA: Rhode Island,0.0,1.0,3.5,0.0,9.5,0.0,0.0,1.0,1.0,1.0,1.5,4.0,2
2021-01-30,USA: Rhode Island,0.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1
2021-02-01,USA: RI,0.0,0.0,2.3333333333333335,0.6666666666666666,12.333333333333334,0.0,0.0,1.0,0.0,1.3333333333333333,0.0,2.6666666666666665,3
2021-02-02,USA: Rhode Island,0.25,0.5,4.25,0.375,10.0,0.0,0.25,1.25,0.0,1.875,1.75,2.875,8
2021-02-03,USA: Rhode Island,0.0,0.5,2.5,1.5,11.5,0.0,0.5,3.0,0.0,1.0,0.0,2.5,2
2021-02-04,USA: RI,0.5,0.25,3.0,0.25,12.25,0.0,0.0,1.25,0.0,2.25,0.75,3.25,4
2021-02-05,USA: Rhode Island,0.0,0.0,3.0,2.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1
2021-02-08,USA: Rhode Island,0.0,0.0,3.0,2.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
2021-02-09,USA: Rhode Island,1.0,0.0,2.0,0.5,13.0,0.0,0.0,1.5,0.0,0.0,0.0,4.0,2
2021-02-10,USA: Rhode Island,0.25,0.5833333333333334,3.25,0.8333333333333334,12.25,0.0,0.08333333333333333,1.75,0.3333333333333333,2.0833333333333335,0.9166666666666666,3.0,12
2021-02-11,USA: Rhode Island,0.0,0.0,2.6666666666666665,0.3333333333333333,11.333333333333334,0.0,0.3333333333333333,2.0,0.3333333333333333,1.0,0.3333333333333333,3.0,3
2021-02-12,USA: Rhode Island,0.42857142857142855,0.14285714285714285,3.7142857142857144,0.0,11.714285714285714,0.0,0.0,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.2857142857142857,4.0,7
2021-02-15,USA: Rhode Island,0.75,0.5,3.25,0.25,10.25,0.0,0.0,0.5,0.25,1.5,0.75,4.0,4
2021-02-16,USA: Rhode Island,0.5,1.25,4.25,1.5,12.75,0.0,0.5,1.75,1.0,2.25,1.5,1.75,4
2021-02-17,USA: Rhode Island,0.18181818181818182,0.36363636363636365,3.0,0.45454545454545453,11.909090909090908,0.0,0.0,0.8181818181818182,0.18181818181818182,1.4545454545454546,0.09090909090909091,4.0,11
2021-02-18,USA: Rhode Island,0.5,0.5,3.25,0.625,12.375,0.125,0.25,1.375,0.75,1.25,0.375,2.875,8
2021-02-19,USA: Rhode Island,0.3333333333333333,0.16666666666666666,3.6666666666666665,0.3333333333333333,12.333333333333334,0.0,0.0,0.8333333333333334,0.0,1.1666666666666667,0.16666666666666666,3.3333333333333335,6
2021-02-20,USA: Rhode Island,0.375,0.5,2.875,0.875,10.625,0.0,0.25,2.375,0.25,1.625,0.5,3.5,8
