Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-05,USA: SC,0.0,0.0,1.5,0.0,3.0,0.0,0.5,1.5,0.0,0.0,0.5,0.5,2
2020-03-06,"USA: South Carolina, Berkeley",0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2
2020-03-07,USA: SC,0.0,0.0,1.0,0.0,3.3333333333333335,0.0,1.0,3.3333333333333335,0.0,0.0,1.0,0.0,3
2020-03-10,"USA: South Carolina, Berkeley",0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-11,"USA: SC, Beaufort",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-14,USA: SC,0.0,0.0,1.0,0.0,5.5,0.0,0.5,2.0,0.0,0.5,0.5,0.5,2
2020-03-20,"USA: South Carolina, Kershaw",0.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-25,"USA: South Carolina, Berkeley",0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-26,"USA: South Carolina, Berkeley",0.0,0.0,0.5,0.0,4.5,0.5,0.5,1.5,0.0,0.5,0.5,0.5,2
2020-03-27,"USA: South Carolina, Berkeley",0.0,0.0,0.6666666666666666,0.0,4.666666666666667,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,1.0,3
2020-03-30,"USA: South Carolina, Kershaw",0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1
2020-04-01,"USA: South Carolina, Richland",0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-03,USA: SC,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
2020-04-04,USA: SC,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
2020-04-17,"USA: South Carolina, Richland",0.0,0.0,3.0,1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-04-23,"USA: South Carolina, Richland",0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-05,USA: South Carolina,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-01,"USA: South Carolina, Ridgeway",0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2020-05-04,USA: SC,0.0,0.0,2.0,0.4,6.0,0.0,0.0,0.2,0.0,0.2,0.0,1.0,5
2020-05-05,"USA: South Carolina, Ridgeway",0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-06,"USA: South Carolina, Ridgeway",0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-07,USA: SC,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-08,USA: SC,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-13,USA: SC,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-14,USA: SC,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-18,"USA: South Carolina, Ridgeway",0.0,0.0,1.3333333333333333,0.0,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
2020-05-21,USA: SC,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-05-27,"USA: SC, HORRY",0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-05-28,"USA: South Carolina, Ridgeway",0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-29,"USA: South Carolina, Ridgeway",0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-05-30,USA: SC,1.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-06-04,"USA: SC, GEORGETOWN",0.0,0.0,1.0,0.0,5.75,0.0,0.0,0.5,0.0,1.5,0.5,1.25,4
2020-06-08,USA: SC,1.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
