Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03-13,USA: TN,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-03-14,USA: TN,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-03-17,USA: TN,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2020-03-19,USA: TN,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-04-28,USA: TN,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
2020-08-05,USA: TN,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1
2020-08-17,USA: TN,2.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1
2020-10-07,USA: TN,0.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1
2020-10-20,USA: TN,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1
2020-10-21,USA: TN,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-10-22,USA: TN,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1
2020-10-23,USA: TN,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1
2020-10-28,USA: TN,1.0,1.0,2.0,0.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1
2020-10-30,USA: TN,0.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1
2020-11-06,USA: TN,0.3333333333333333,0.0,1.6666666666666667,0.0,12.666666666666666,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,4.0,3
2020-11-14,USA: Tennessee,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
2020-11-15,USA: Tennessee,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1
2020-11-16,USA: Tennessee,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1
2020-11-18,USA: Tennessee,0.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1
2020-11-25,USA: TN,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1
2020-11-27,USA: Tennessee,0.5,0.0,2.5,0.0,13.5,0.0,0.5,0.0,0.0,0.0,1.0,4.5,2
2020-12-09,USA: Tennessee,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1
2020-12-27,USA: Tennessee,0.0,0.0,3.5,0.5,13.0,0.0,1.0,0.0,0.0,1.5,1.0,4.5,2
2020-12-30,USA: Tennessee,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
2020-12-31,USA: Tennessee,0.0,0.0,4.0,0.5,9.5,0.0,0.5,0.0,0.0,1.0,0.0,2.0,2
2021-01-02,USA: Tennessee,0.0,0.0,3.0,1.0,15.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,1
2021-01-03,USA: Tennessee,0.0,0.0,2.5,0.0,10.5,0.0,0.0,1.5,0.5,1.0,0.0,3.0,2
2021-01-04,USA: Tennessee,0.5,0.0,3.0,0.5,13.0,0.0,0.5,0.0,0.0,1.0,0.0,4.5,2
2021-01-05,USA: Tennessee,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.3333333333333333,11.666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,3.0,3
2021-01-06,USA: Tennessee,1.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
2021-01-07,USA: Tennessee,0.3333333333333333,0.0,3.0,0.0,10.666666666666666,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0,2.3333333333333335,3
2021-01-10,USA: Tennessee,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,1
2021-01-11,USA: TN,0.16666666666666666,0.0,2.8333333333333335,0.16666666666666666,12.166666666666666,0.0,0.3333333333333333,1.3333333333333333,0.0,1.1666666666666667,0.0,2.8333333333333335,6
2021-01-12,USA: Tennessee,0.0,0.0,2.5,0.5,12.0,0.0,0.0,0.5,0.0,0.5,0.5,3.0,2
2021-01-17,USA: Tennessee,0.0,1.0,2.0,0.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,1
2021-01-18,USA: Tennessee,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1
2021-01-20,USA: Tennessee,0.0,1.0,3.0,0.0,15.0,0.0,0.0,0.5,0.0,0.5,0.0,3.0,2
2021-01-21,USA: Tennessee,0.0,0.0,5.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1
2021-01-22,USA: Tennessee,0.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1
2021-01-23,USA: Tennessee,0.0,0.0,3.5,0.5,14.5,0.0,0.5,0.5,0.5,1.5,0.0,4.0,2
2021-01-24,USA: Tennessee,0.0,0.0,3.0,0.25,13.25,0.0,0.5,1.0,0.0,0.75,0.0,4.0,4
2021-01-25,USA: Tennessee,1.0,0.0,4.0,2.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1
2021-01-26,USA: TN,0.6363636363636364,0.09090909090909091,2.090909090909091,0.36363636363636365,12.0,0.0,0.45454545454545453,1.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,3.090909090909091,11
2021-01-27,USA: Tennessee,0.0,0.0,6.0,2.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1
2021-01-28,USA: Tennessee,0.16666666666666666,0.3333333333333333,2.1666666666666665,0.16666666666666666,13.666666666666666,0.0,0.0,1.5,0.3333333333333333,1.1666666666666667,0.16666666666666666,3.1666666666666665,6
2021-01-30,USA: Tennessee,0.0,0.0,6.0,2.0,10.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1
2021-02-01,USA: Tennessee,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,1.0,8.0,1
2021-02-04,USA: TN,0.4,0.2,2.6,0.0,13.2,0.0,0.4,0.8,0.2,0.6,0.4,4.2,5
2021-02-06,USA: Tennessee,1.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1
2021-02-08,USA: Tennessee,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1
