Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-01-05,USA: Ohio,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1
2020-01-18,USA: California,0.0,1.0,2.0,1.0,13.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,1
2020-01-19,USA: WA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-01-22,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-01-22,USA: AZ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-01-23,USA: CA,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1
2020-01-25,USA: WA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-01-27,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-29,USA: CA,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,3
2020-01-31,USA: WI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-06,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
2020-02-10,USA: CA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-11,USA: TX,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1
2020-02-20,"USA: King County,WA",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-02-21,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-02-21,"USA: Washington,King County",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-02-22,"USA: Washington,King County",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-02-23,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-24,USA: WA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
2020-02-25,"USA: Washington,King County",0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
2020-02-26,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-02-26,"USA: Washington,King County",0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-02-27,USA: Washington,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,2.0,3
2020-02-27,USA: CA,0.3333333333333333,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-02-28,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-02-28,USA: Washington,0.0,0.0,1.0,0.1111111111111111,3.111111111111111,0.0,0.1111111111111111,1.0,0.0,0.1111111111111111,0.0,0.0,9
2020-02-28,USA: FL,0.0,0.0,1.5,0.0,4.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,2
2020-02-29,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-02-29,USA: NY,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1
2020-02-29,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2
2020-02-29,"USA: Washington,King County",0.0,0.0,1.0,0.0,3.176470588235294,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17
2020-03-01,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2020-03-01,"USA: Washington,King County",0.125,0.0,1.0,0.0,3.5,0.0,0.0,1.25,0.0,0.0,0.0,0.0,8
2020-03-02,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-02,USA: NY,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-02,"USA: Washington,King County",0.0,0.0,1.0,0.0,3.0588235294117645,0.0,0.0,1.1764705882352942,0.0588235294117647,0.0588235294117647,0.0,0.1176470588235294,17
2020-03-02,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-03,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
2020-03-03,USA: Massachusetts,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1
2020-03-03,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,0.5,1.5,0.5,1.0,1.0,0.0,2
2020-03-03,"USA: Washington,Snohomish County",0.0,0.0,1.0769230769230769,0.0769230769230769,3.230769230769231,0.0,0.0,1.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0,13
2020-03-04,USA: CA,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2
2020-03-04,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-04,USA: NY,0.0,0.0,1.0,0.0,3.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,3
2020-03-04,USA: MA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
2020-03-04,USA: MD,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-03-04,USA: FL,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-04,"USA: Washington,King County",0.0,0.125,1.0,0.0,3.375,0.0,0.0,1.0,0.125,0.0,0.0,0.0,8
2020-03-05,USA: Massachusetts,0.0,0.0,0.7142857142857143,0.0,3.142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,1.2857142857142858,7
2020-03-05,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-05,"USA: Washington,King County",0.0,0.0,1.0,0.0666666666666666,3.2,0.0,0.0666666666666666,1.1333333333333333,0.0666666666666666,0.2,0.0,0.0666666666666666,15
2020-03-05,USA: SC,0.0,0.0,1.5,0.0,3.0,0.0,0.5,1.5,0.0,0.0,0.5,0.5,2
2020-03-05,USA: PA,0.0,0.0,1.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2
2020-03-05,USA: CA,0.0,0.0,2.6,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,5
2020-03-05,USA: FL,0.5,0.0,0.5,0.0,2.5,0.0,0.5,2.0,0.0,0.0,0.5,1.5,2
2020-03-05,USA: MN,0.5,0.0,4.5,0.5,4.5,0.0,0.0,1.5,1.0,0.5,0.0,0.0,2
2020-03-06,"USA: CA, Santa Clara County",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-06,USA: VA,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1
2020-03-06,USA: NC,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-06,"USA: South Carolina, Berkeley",0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2
2020-03-06,USA: MA,0.0,0.0,1.0,0.0,3.875,0.0,0.0,0.0,0.0,0.0,0.0,1.25,8
2020-03-06,"USA: Washington,Snohomish County",0.0,0.0,1.0,0.1111111111111111,3.4444444444444446,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,9
2020-03-06,USA: FL,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-03-07,USA: MN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-03-07,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1
2020-03-07,USA: SC,0.0,0.0,1.0,0.0,3.333333333333333,0.0,1.0,3.333333333333333,0.0,0.0,1.0,0.0,3
2020-03-07,USA: WA,0.0,0.0,1.0,0.0,3.5,0.0,0.0,1.25,0.0,0.0,0.0,0.25,4
2020-03-07,USA: NC,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-03-07,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
