Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020-03,USA: VA,0.0,0.07446808510638298,1.074468085106383,0.32978723404255317,4.457446808510638,0.0425531914893617,0.0425531914893617,0.4787234042553192,0.02127659574468085,0.39361702127659576,0.11702127659574468,0.9468085106382979,94
2020-03-06,USA: VA,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1
2020-03-08,USA: VA,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2020-03-15,USA: VA,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
2020-04,USA: Virginia,0.03587443946188341,0.053811659192825115,1.1928251121076232,0.3004484304932735,5.349775784753363,0.017937219730941704,0.013452914798206279,0.16591928251121077,0.0,0.37668161434977576,0.16143497757847533,1.2242152466367713,223
2020-05,USA: Virginia,0.03076923076923077,0.06923076923076923,1.2769230769230768,0.5923076923076923,5.576923076923077,0.015384615384615385,0.03076923076923077,0.13076923076923078,0.06923076923076923,0.7846153846153846,0.38461538461538464,1.6307692307692307,130
2020-06,USA: Virginia,0.25555555555555554,0.044444444444444446,1.3333333333333333,0.7222222222222222,6.144444444444445,0.022222222222222223,0.022222222222222223,0.5888888888888889,0.05555555555555555,1.0,0.25555555555555554,1.5222222222222221,90
2020-06-08,USA: Virginia,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-06-17,USA: Virginia,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2020-07,USA: Virginia,0.11023622047244094,0.13385826771653545,1.5590551181102361,0.7874015748031497,7.078740157480315,0.0,0.031496062992125984,0.6456692913385826,0.0,1.1968503937007875,0.3700787401574803,2.0236220472440944,127
2020-07-08,USA: Virginia,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
2020-07-13,USA: Virginia,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2020-08,USA: Virginia,0.04895104895104895,0.17482517482517482,1.7832167832167831,0.6503496503496503,7.776223776223776,0.006993006993006993,0.15384615384615385,0.46853146853146854,0.04195804195804196,0.972027972027972,0.22377622377622378,2.076923076923077,143
2020-08-24,USA: Virginia,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
2020-08-25,USA: Virginia,0.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1
2020-08-27,USA: VA,1.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,1
2020-08-30,USA: Virginia,1.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
2020-09,USA: Virginia,0.05,0.13,2.24,0.69,8.72,0.0,0.11,0.92,0.02,0.85,0.21,2.27,100
2020-09-01,USA: Virginia,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1
2020-09-03,USA: Virginia,0.0,0.0,2.25,0.0,10.0,0.0,0.25,1.0,0.0,0.75,0.0,2.25,4
2020-09-08,USA: Virginia,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1
2020-09-14,USA: Virginia,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
2020-09-21,USA: Virginia,1.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
2020-09-23,USA: Virginia,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1
