Dates,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2020,USA: WA,0.03571428571428571,0.10714285714285714,1.0357142857142858,0.0,3.642857142857143,0.0,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.5714285714285714,0.10714285714285714,0.6428571428571429,28
2020-01-19,USA: WA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-01-25,USA: WA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-02-20,"USA: King County,WA",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-02-21,"USA: Washington,King County",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2020-02-22,"USA: Washington,King County",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-02-24,USA: WA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
2020-02-25,"USA: Washington,King County",0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
2020-02-26,"USA: Washington,King County",0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2020-02-27,USA: Washington,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,2.0,3
2020-02-28,USA: Washington,0.0,0.0,1.0,0.1111111111111111,3.111111111111111,0.0,0.1111111111111111,1.0,0.0,0.1111111111111111,0.0,0.0,9
2020-02-29,"USA: Washington,King County",0.0,0.0,1.0,0.0,3.176470588235294,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17
2020-03,USA: WA,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2020-03-01,"USA: Washington,King County",0.125,0.0,1.0,0.0,3.5,0.0,0.0,1.25,0.0,0.0,0.0,0.0,8
2020-03-02,"USA: Washington,King County",0.0,0.0,1.0,0.0,3.0588235294117645,0.0,0.0,1.1764705882352942,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,17
2020-03-03,"USA: Washington,Snohomish County",0.0,0.0,1.0769230769230769,0.07692307692307693,3.230769230769231,0.0,0.0,1.0769230769230769,0.07692307692307693,0.07692307692307693,0.0,0.0,13
2020-03-04,"USA: Washington,King County",0.0,0.125,1.0,0.0,3.375,0.0,0.0,1.0,0.125,0.0,0.0,0.0,8
2020-03-05,"USA: Washington,King County",0.0,0.0,1.0,0.06666666666666667,3.2,0.0,0.06666666666666667,1.1333333333333333,0.06666666666666667,0.2,0.0,0.06666666666666667,15
2020-03-06,"USA: Washington,Snohomish County",0.0,0.0,1.0,0.1111111111111111,3.4444444444444446,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,9
2020-03-07,USA: WA,0.0,0.0,1.0,0.0,3.5,0.0,0.0,1.25,0.0,0.0,0.0,0.25,4
2020-03-08,"USA: Washington,King County",0.0,0.3,1.3,0.1,3.9,0.0,0.1,0.9,0.1,0.4,0.1,0.3,10
2020-03-09,USA: WA,0.0,0.0,1.1428571428571428,0.14285714285714285,3.142857142857143,0.0,0.14285714285714285,1.7142857142857142,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,7
2020-03-10,USA: WA,0.07407407407407407,0.07407407407407407,1.1111111111111112,0.0,3.8518518518518516,0.0,0.0,0.9629629629629629,0.07407407407407407,0.3333333333333333,0.037037037037037035,0.37037037037037035,27
2020-03-11,USA: WA,0.08333333333333333,0.0,1.125,0.08333333333333333,3.5,0.0,0.041666666666666664,0.8333333333333334,0.041666666666666664,0.375,0.0,0.5,24
2020-03-12,USA: WA,0.0,0.1111111111111111,1.0277777777777777,0.05555555555555555,3.9166666666666665,0.0,0.0,1.0555555555555556,0.027777777777777776,0.2777777777777778,0.0,0.4722222222222222,36
2020-03-13,USA: Washington,0.010416666666666666,0.0625,1.125,0.03125,3.5625,0.0,0.020833333333333332,0.9895833333333334,0.010416666666666666,0.2708333333333333,0.03125,0.3958333333333333,96
2020-03-14,USA: WA,0.018867924528301886,0.22641509433962265,1.0754716981132075,0.11320754716981132,3.7547169811320753,0.0,0.03773584905660377,1.0754716981132075,0.05660377358490566,0.4716981132075472,0.07547169811320754,0.5849056603773585,53
2020-03-15,USA: WA,0.05555555555555555,0.1388888888888889,1.1944444444444444,0.08333333333333333,3.7222222222222223,0.0,0.08333333333333333,1.0277777777777777,0.05555555555555555,0.3611111111111111,0.0,0.4444444444444444,36
2020-03-16,USA: WA,0.013888888888888888,0.125,1.1944444444444444,0.05555555555555555,4.013888888888889,0.027777777777777776,0.06944444444444445,0.9166666666666666,0.041666666666666664,0.4305555555555556,0.1111111111111111,0.5416666666666666,72
2020-03-17,USA: WA,0.0,0.02631578947368421,1.0789473684210527,0.0,3.736842105263158,0.02631578947368421,0.02631578947368421,0.9473684210526315,0.0,0.42105263157894735,0.02631578947368421,0.6052631578947368,38
2020-03-18,USA: WA,0.024390243902439025,0.07317073170731707,1.2682926829268293,0.12195121951219512,3.8292682926829267,0.0,0.0,0.7317073170731707,0.024390243902439025,0.4146341463414634,0.14634146341463414,0.8292682926829268,41
2020-03-19,USA: WA,0.0,0.13846153846153847,1.0769230769230769,0.06153846153846154,3.7846153846153845,0.0,0.0,1.2615384615384615,0.015384615384615385,0.27692307692307694,0.03076923076923077,0.3230769230769231,65
2020-03-20,USA: WA,0.0,0.0,1.0196078431372548,0.43137254901960786,4.0,0.0,0.0,1.0784313725490196,0.0,0.27450980392156865,0.0196078431372549,0.7254901960784313,51
2020-03-21,USA: Washington,0.0,0.0,1.1666666666666667,0.08333333333333333,3.75,0.0,0.0,0.8333333333333334,0.0,0.5,0.16666666666666666,0.8333333333333334,12
2020-03-22,USA: Washington,0.0,0.125,1.125,0.125,4.625,0.0,0.0,0.625,0.0,0.375,0.0,0.875,8
2020-03-23,USA: WA,0.02631578947368421,0.05263157894736842,1.0526315789473684,0.15789473684210525,4.2105263157894735,0.02631578947368421,0.05263157894736842,0.9210526315789473,0.0,0.2631578947368421,0.10526315789473684,0.7368421052631579,38
2020-03-24,"USA: Washington,King County",0.023255813953488372,0.09302325581395349,1.1395348837209303,0.06976744186046512,4.058139534883721,0.0,0.023255813953488372,0.5465116279069767,0.023255813953488372,0.5,0.046511627906976744,1.0,86
2020-03-25,USA: Washington,0.01098901098901099,0.0989010989010989,1.10989010989011,0.0989010989010989,4.263736263736264,0.0,0.02197802197802198,0.6043956043956044,0.02197802197802198,0.3956043956043956,0.03296703296703297,0.8681318681318682,91
2020-03-26,USA: WA,0.0,0.08823529411764706,1.1470588235294117,0.11764705882352941,4.073529411764706,0.014705882352941176,0.08823529411764706,0.8382352941176471,0.029411764705882353,0.4852941176470588,0.058823529411764705,0.8088235294117647,68
2020-03-27,USA: Washington,0.03076923076923077,0.03076923076923077,1.3076923076923077,0.18461538461538463,4.3538461538461535,0.0,0.046153846153846156,0.5230769230769231,0.0,0.6153846153846154,0.015384615384615385,1.0153846153846153,65
2020-03-28,"USA: Washington,Yakima County",0.0,0.04081632653061224,1.2040816326530612,0.10204081632653061,3.9183673469387754,0.04081632653061224,0.0,0.6938775510204082,0.02040816326530612,0.3877551020408163,0.04081632653061224,0.4897959183673469,49
2020-03-29,"USA: Washington,Pierce County",0.05555555555555555,0.19444444444444445,1.1111111111111112,0.027777777777777776,4.166666666666667,0.0,0.3055555555555556,0.5833333333333334,0.05555555555555555,0.5,0.0,0.75,36
2020-03-30,USA: Washington,0.01818181818181818,0.14545454545454545,1.1454545454545455,0.05454545454545454,4.545454545454546,0.0,0.03636363636363636,0.6181818181818182,0.03636363636363636,0.4,0.01818181818181818,0.9818181818181818,55
2020-03-31,"USA: Washington,King County",0.0,0.43529411764705883,1.2470588235294118,0.12941176470588237,4.564705882352941,0.0,0.11764705882352941,0.5411764705882353,0.03529411764705882,0.6588235294117647,0.047058823529411764,0.6235294117647059,85
2020-04-01,USA: WA,0.03614457831325301,0.1566265060240964,1.0963855421686748,0.10843373493975904,4.024096385542169,0.03614457831325301,0.060240963855421686,0.6385542168674698,0.060240963855421686,0.3614457831325301,0.03614457831325301,0.8192771084337349,83
2020-04-02,"USA: Washington,Pierce County",0.037037037037037035,0.14814814814814814,1.2592592592592593,0.037037037037037035,4.925925925925926,0.018518518518518517,0.018518518518518517,0.6296296296296297,0.0,0.5740740740740741,0.05555555555555555,1.037037037037037,54
2020-04-03,USA: Washington,0.05263157894736842,0.15789473684210525,1.105263157894737,0.05263157894736842,4.421052631578948,0.0,0.0,0.3684210526315789,0.0,0.6842105263157895,0.0,1.0526315789473684,19
2020-04-04,USA: WA,0.037037037037037035,0.14814814814814814,1.037037037037037,0.3333333333333333,4.37037037037037,0.0,0.037037037037037035,0.5185185185185185,0.0,0.5925925925925926,0.0,1.1111111111111112,27
2020-04-05,USA: Washington,0.06896551724137931,0.2413793103448276,1.0689655172413792,0.13793103448275862,4.137931034482759,0.0,0.06896551724137931,0.5517241379310345,0.034482758620689655,0.7586206896551724,0.034482758620689655,0.8275862068965517,29
2020-04-06,USA: Washington,0.0,0.0,1.3,0.15,5.4,0.0,0.0,0.5,0.0,0.65,0.0,1.25,20
2020-04-07,"USA: Washington,Adams County",0.03333333333333333,0.2,1.1333333333333333,0.1,4.7,0.0,0.1,0.3,0.0,0.7333333333333333,0.03333333333333333,1.1333333333333333,30
2020-04-08,USA: Washington,0.025,0.05,1.1,0.05,4.65,0.0,0.0,0.6,0.0,0.65,0.05,0.95,40
2020-04-09,"USA: Washington,King County",0.05,0.05,1.1,0.05,4.4,0.0,0.0,0.45,0.0,0.6,0.05,1.1,20
2020-04-10,USA: Washington,0.0,0.058823529411764705,1.2352941176470589,0.11764705882352941,4.352941176470588,0.0,0.0,0.47058823529411764,0.058823529411764705,0.47058823529411764,0.0,1.2352941176470589,17
2020-04-11,USA: Washington,0.0,0.058823529411764705,1.0,0.17647058823529413,4.647058823529412,0.0,0.0,0.5294117647058824,0.0,0.29411764705882354,0.0,0.8823529411764706,17
2020-04-12,"USA: Washington,Whatcom County",0.13333333333333333,0.0,1.0,0.13333333333333333,4.533333333333333,0.0,0.0,1.0666666666666667,0.0,0.6666666666666666,0.06666666666666667,0.6,15
