Dates,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2021-02-10,0.3333333333333333,0.6190476190476191,2.857142857142857,0.7142857142857143,12.19047619047619,0.0,0.2857142857142857,1.2857142857142858,0.23809523809523808,1.4761904761904763,0.8095238095238095,3.5714285714285716,21
2021-02-11,0.3047619047619048,0.3238095238095238,3.1333333333333333,0.6,12.457142857142857,0.047619047619047616,0.17142857142857143,1.0380952380952382,0.18095238095238095,1.3428571428571427,0.4095238095238095,3.4952380952380953,105
2021-02-12,0.4444444444444444,0.2222222222222222,3.388888888888889,0.6666666666666666,11.88888888888889,0.05555555555555555,0.2777777777777778,1.4444444444444444,0.16666666666666666,1.7777777777777777,0.6666666666666666,3.388888888888889,18
2021-02-13,0.42857142857142855,0.2857142857142857,2.5714285714285716,0.35714285714285715,11.428571428571429,0.07142857142857142,0.21428571428571427,1.2142857142857142,0.21428571428571427,1.4285714285714286,0.42857142857142855,4.285714285714286,14
2021-02-14,0.35,0.7,2.95,0.95,13.4,0.0,0.55,1.9,0.4,1.45,1.0,3.7,20
2021-02-15,0.3380281690140845,0.4507042253521127,3.23943661971831,0.7183098591549296,11.56338028169014,0.0,0.2112676056338028,1.267605633802817,0.2535211267605634,1.295774647887324,0.6056338028169014,3.1690140845070425,71
2021-02-16,0.4,0.275,3.1,0.8,12.175,0.0,0.125,1.475,0.3,1.65,0.6,2.75,40
2021-02-17,0.34,0.46,3.3,0.76,12.14,0.02,0.16,1.36,0.3,2.14,0.58,3.38,50
2021-02-18,0.3125,0.5625,3.21875,0.8125,12.5,0.03125,0.28125,1.46875,0.375,1.65625,0.8125,3.53125,32
2021-02-19,0.4444444444444444,0.8148148148148148,2.888888888888889,1.1481481481481481,13.703703703703704,0.0,0.4074074074074074,1.962962962962963,0.48148148148148145,1.4814814814814814,1.037037037037037,3.2222222222222223,27
