Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-14,MW995154.1,USA: New Jersey,0.0,1.0,3.0,1.0,17.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0
2021-03-15,MW995137.1,USA: New Jersey,1.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-03-15,MW995174.1,USA: New Jersey,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-16,MW994901.1,USA: New Jersey,0.0,0.0,4.0,1.0,14.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0
2021-03-16,MW995160.1,USA: New Jersey,0.0,2.0,3.0,4.0,13.0,0.0,1.0,3.0,1.0,4.0,3.0,2.0
2021-03-17,MW994889.1,USA: New Jersey,0.0,3.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-03-18,MW994921.1,USA: New Jersey,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-03-18,MW994922.1,USA: New Jersey,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-18,MW994929.1,USA: New Jersey,0.0,0.0,5.0,2.0,13.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0
2021-03-18,MW994930.1,USA: New Jersey,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-18,MW994932.1,USA: New Jersey,0.0,2.0,3.0,3.0,13.0,0.0,2.0,4.0,1.0,2.0,3.0,2.0
2021-03-18,MW995015.1,USA: New Jersey,0.0,2.0,4.0,3.0,17.0,0.0,1.0,4.0,1.0,3.0,3.0,2.0
2021-03-18,MW995029.1,USA: New Jersey,0.0,2.0,4.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-18,MW995035.1,USA: New Jersey,1.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-03-18,MW995065.1,USA: New Jersey,1.0,0.0,5.0,0.0,12.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
2021-03-18,MW995066.1,USA: New Jersey,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2021-03-18,MW995067.1,USA: New Jersey,0.0,2.0,4.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-18,MW995089.1,USA: New Jersey,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-03-23,MZ001007.1,USA: New Jersey,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-23,MZ001011.1,USA: New Jersey,1.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2021-03-23,MZ001037.1,USA: New Jersey,1.0,0.0,3.0,0.0,16.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
