Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-09-08,MZ147822.1,USA: OH,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
2021-03-05,MZ169593.1,USA: Ohio,0.0,2.0,5.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-07,MZ169592.1,USA: Ohio,0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-08,MZ147827.1,USA: OH,0.0,3.0,3.0,3.0,14.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0
2021-03-09,MZ147828.1,USA: OH,0.0,3.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-12,MZ147825.1,USA: OH,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-14,MZ169613.1,USA: Ohio,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2021-03-14,MZ147826.1,USA: OH,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-15,MZ169615.1,USA: Ohio,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2021-03-25,MZ167010.1,USA: Ohio,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
2021-03-26,MZ169614.1,USA: Ohio,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
2021-03-27,MZ159151.1,USA: Ohio,0.0,3.0,4.0,3.0,13.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0
2021-03-27,MZ159169.1,USA: Ohio,0.0,3.0,4.0,3.0,13.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0
2021-03-27,MZ159236.1,USA: Ohio,0.0,2.0,5.0,4.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-28,MZ158971.1,USA: Ohio,0.0,0.0,3.0,0.0,13.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0
2021-03-28,MZ159059.1,USA: Ohio,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-03-29,MZ158973.1,USA: Ohio,0.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-30,MZ158779.1,USA: Ohio,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-03-31,MZ083307.1,USA: Ohio,0.0,0.0,4.0,0.0,16.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0
2021-04-05,MZ083015.1,USA: Ohio,1.0,0.0,4.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
2021-04-05,MZ083264.1,USA: Ohio,0.0,0.0,4.0,2.0,14.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
2021-04-06,MZ169595.1,USA: Ohio,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-04-07,MZ082768.1,USA: OH,0.0,2.0,6.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-10,MZ166417.1,USA: Ohio,1.0,0.0,5.0,0.0,8.0,0.0,1.0,2.0,1.0,3.0,1.0,5.0
2021-04-10,MZ131156.1,USA: Ohio,0.0,3.0,3.0,3.0,19.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0
2021-04-11,MZ131159.1,USA: Ohio,0.0,3.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-11,MZ131160.1,USA: Ohio,0.0,3.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-11,MZ143682.1,USA: OH,0.0,2.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-12,MZ143689.1,USA: OH,0.0,2.0,4.0,3.0,15.0,0.0,1.0,2.0,1.0,4.0,5.0,2.0
2021-04-12,MZ143691.1,USA: OH,0.0,2.0,6.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-12,MZ143693.1,USA: OH,0.0,2.0,6.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-13,MZ100329.1,USA: Ohio,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-13,MZ100892.1,USA: Ohio,0.0,2.0,5.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-04-14,MZ166538.1,USA: Ohio,0.0,3.0,3.0,3.0,19.0,0.0,1.0,2.0,1.0,3.0,3.0,6.0
2021-04-14,MZ167817.1,USA: Ohio,0.0,2.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-14,MZ168044.1,USA: Ohio,0.0,0.0,3.0,1.0,13.0,0.0,0.0,5.0,1.0,2.0,1.0,3.0
2021-04-14,MZ131269.1,USA: Ohio,0.0,2.0,4.0,3.0,13.0,0.0,1.0,3.0,1.0,4.0,5.0,2.0
2021-04-14,MZ131271.1,USA: Ohio,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,3.0,3.0,4.0
2021-04-14,MZ131284.1,USA: Ohio,1.0,0.0,6.0,0.0,15.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
2021-04-14,MZ131285.1,USA: Ohio,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ131300.1,USA: Ohio,0.0,3.0,2.0,3.0,12.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-14,MZ131301.1,USA: Ohio,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ131329.1,USA: Ohio,0.0,4.0,3.0,3.0,12.0,0.0,1.0,4.0,1.0,3.0,3.0,2.0
2021-04-14,MZ131334.1,USA: Ohio,0.0,3.0,3.0,3.0,17.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-14,MZ131365.1,USA: Ohio,0.0,2.0,6.0,3.0,20.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ131371.1,USA: Ohio,0.0,3.0,3.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-14,MZ131384.1,USA: Ohio,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ100389.1,USA: Ohio,0.0,3.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ126791.1,USA: Ohio,0.0,2.0,3.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
