Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-05,MW561235.1,USA: Virginia,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-05,MW561236.1,USA: Virginia,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05,MW561237.1,USA: Virginia,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020-05,MW561238.1,USA: Virginia,0.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-05,MW561239.1,USA: Virginia,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-05,MW561240.1,USA: Virginia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW561241.1,USA: Virginia,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW561242.1,USA: Virginia,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2020-05,MW561243.1,USA: Virginia,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-05,MW561244.1,USA: Virginia,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
2020-05,MW561245.1,USA: Virginia,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05,MW561246.1,USA: Virginia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW561247.1,USA: Virginia,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW561248.1,USA: Virginia,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
2020-05,MW561249.1,USA: Virginia,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW561250.1,USA: Virginia,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW561251.1,USA: Virginia,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW561252.1,USA: Virginia,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-05,MW561254.1,USA: Virginia,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05,MW561255.1,USA: Virginia,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-05,MW561256.1,USA: Virginia,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW561257.1,USA: Virginia,1.0,0.0,1.0,1.0,6.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0
2020-08-27,MW566566.1,USA: VA,1.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0
2020-11,MW590383.1,USA: Virginia,0.0,0.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2020-11,MW590384.1,USA: Virginia,1.0,0.0,4.0,0.0,14.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0
2020-11,MW590385.1,USA: Virginia,0.0,1.0,2.0,2.0,8.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0
2020-11,MW590386.1,USA: Virginia,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2020-11,MW590387.1,USA: Virginia,0.0,0.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2020-11,MW590388.1,USA: Virginia,0.0,0.0,2.0,2.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-11,MW590389.1,USA: Virginia,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-11,MW590390.1,USA: Virginia,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
2020-11,MW590391.1,USA: Virginia,0.0,0.0,3.0,1.0,12.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0
2020-11,MW590399.1,USA: Virginia,0.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-11,MW581617.1,USA: Virginia,1.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-11,MW581618.1,USA: Virginia,0.0,1.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0
2020-11,MW581619.1,USA: Virginia,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-11,MW581620.1,USA: Virginia,0.0,0.0,3.0,1.0,8.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0
2020-11,MW581621.1,USA: Virginia,0.0,0.0,5.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0
2020-11,MW581623.1,USA: Virginia,0.0,0.0,2.0,3.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2020-11,MW581624.1,USA: Virginia,0.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-11,MW581625.1,USA: Virginia,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0
2020-11,MW581626.1,USA: Virginia,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-11,MW581628.1,USA: Virginia,0.0,1.0,1.0,2.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
2020-11,MW581629.1,USA: Virginia,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-11,MW581630.1,USA: Virginia,0.0,0.0,1.0,1.0,10.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-11,MW581631.1,USA: Virginia,0.0,0.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2020-11,MW581632.1,USA: Virginia,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
2020-11,MW581633.1,USA: Virginia,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2020-11,MW581635.1,USA: Virginia,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0
2020-11,MW581636.1,USA: Virginia,1.0,0.0,2.0,1.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2020-11,MW581637.1,USA: Virginia,0.0,0.0,3.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-11,MW581638.1,USA: Virginia,0.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
2020-11,MW581639.1,USA: Virginia,0.0,0.0,2.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0
2020-11,MW581640.1,USA: Virginia,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
2020-11,MW581641.1,USA: Virginia,1.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-11,MW581642.1,USA: Virginia,0.0,0.0,3.0,0.0,12.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
2020-11,MW581643.1,USA: Virginia,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-11,MW581644.1,USA: Virginia,0.0,0.0,1.0,1.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-11,MW581645.1,USA: Virginia,0.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-12,MW592848.1,USA: Virginia,1.0,0.0,2.0,1.0,5.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
2020-12,MW592849.1,USA: Virginia,0.0,0.0,3.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2020-12,MW592850.1,USA: Virginia,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2020-12,MW592852.1,USA: Virginia,0.0,0.0,3.0,1.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-12,MW592853.1,USA: Virginia,1.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
2020-12,MW592854.1,USA: Virginia,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
2020-12,MW592855.1,USA: Virginia,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-12,MW592856.1,USA: Virginia,0.0,0.0,4.0,1.0,6.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0
2020-12,MW592857.1,USA: Virginia,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
2020-12,MW592858.1,USA: Virginia,1.0,0.0,1.0,0.0,11.0,0.0,0.0,3.0,0.0,4.0,1.0,2.0
2020-12,MW592859.1,USA: Virginia,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
2020-12,MW592860.1,USA: Virginia,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-12,MW592861.1,USA: Virginia,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0
2020-12,MW592862.1,USA: Virginia,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
2020-12,MW592877.1,USA: Virginia,0.0,1.0,1.0,0.0,14.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0
2020-12,MW592878.1,USA: Virginia,0.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-12,MW592880.1,USA: Virginia,0.0,0.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-12,MW592881.1,USA: Virginia,0.0,0.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-12,MW592882.1,USA: Virginia,0.0,0.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-12,MW592884.1,USA: Virginia,0.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-12,MW592885.1,USA: Virginia,0.0,0.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2020-12,MW592886.1,USA: Virginia,0.0,0.0,4.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2020-12,MW592888.1,USA: Virginia,0.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-12,MW592889.1,USA: Virginia,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-12,MW592890.1,USA: Virginia,0.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-12,MW592891.1,USA: Virginia,0.0,0.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-12,MW592892.1,USA: Virginia,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2020-12,MW592893.1,USA: Virginia,0.0,0.0,2.0,1.0,16.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0
2020-12,MW592895.1,USA: Virginia,0.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
2020-12,MW592896.1,USA: Virginia,0.0,0.0,3.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
2020-12,MW592897.1,USA: Virginia,0.0,1.0,5.0,0.0,8.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0
2020-12,MW590349.1,USA: Virginia,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
2020-12,MW590350.1,USA: Virginia,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2020-12,MW590352.1,USA: Virginia,0.0,0.0,2.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
2020-12,MW590353.1,USA: Virginia,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
