Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-04-07,MW493669.1,USA: New Mexico,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-15,MW493670.1,USA: New Mexico,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-06-16,MW493671.1,USA: New Mexico,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-26,MW493672.1,USA: New Mexico,1.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-07-14,MW493674.1,USA: New Mexico,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
2020-08-10,MW493675.1,USA: New Mexico,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-26,MW420896.1,USA: New Mexico,0.0,0.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2020-08-26,MW420901.1,USA: New Mexico,0.0,0.0,1.0,1.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
2020-08-27,MW420874.1,USA: New Mexico,0.0,0.0,1.0,1.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0
2020-08-27,MW420875.1,USA: New Mexico,0.0,0.0,3.0,1.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2020-08-27,MW420876.1,USA: New Mexico,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-08-27,MW420877.1,USA: New Mexico,0.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2020-08-27,MW420878.1,USA: New Mexico,0.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2020-08-27,MW420880.1,USA: New Mexico,0.0,1.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-08-27,MW420881.1,USA: New Mexico,0.0,1.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-08-27,MW420882.1,USA: New Mexico,0.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2020-08-27,MW420884.1,USA: New Mexico,0.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2020-08-27,MW420886.1,USA: New Mexico,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2020-08-27,MW420890.1,USA: New Mexico,0.0,0.0,3.0,1.0,11.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0
2020-08-27,MW420891.1,USA: New Mexico,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-08-27,MW420893.1,USA: New Mexico,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-08-27,MW420902.1,USA: New Mexico,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-08-27,MW420910.1,USA: New Mexico,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-08-28,MW420894.1,USA: New Mexico,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-08-28,MW420895.1,USA: New Mexico,0.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
2020-08-28,MW420898.1,USA: New Mexico,0.0,0.0,3.0,1.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
2020-08-28,MW420899.1,USA: New Mexico,0.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2020-08-28,MW420900.1,USA: New Mexico,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-08-28,MW420906.1,USA: New Mexico,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-08-28,MW420907.1,USA: New Mexico,0.0,0.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-08-28,MW420909.1,USA: New Mexico,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2020-08-29,MW420903.1,USA: New Mexico,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-08-29,MW420905.1,USA: New Mexico,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-10-01,MW485255.1,USA: New Mexico,1.0,0.0,3.0,2.0,13.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0
