Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03,MW211010.1,USA: Virginia,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2020-03-15,MW191056.1,USA: VA,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-04,MW210990.1,USA: Virginia,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04,MW210991.1,USA: Virginia,1.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-04,MW210992.1,USA: Virginia,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04,MW210993.1,USA: Virginia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04,MW210994.1,USA: Virginia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-04,MW210996.1,USA: Virginia,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04,MW210997.1,USA: Virginia,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-05,MW210975.1,USA: Virginia,0.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0
2020-05,MW210976.1,USA: Virginia,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
2020-05,MW210978.1,USA: Virginia,0.0,0.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0
2020-05,MW210979.1,USA: Virginia,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-05,MW210980.1,USA: Virginia,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-05,MW210983.1,USA: Virginia,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05,MW210984.1,USA: Virginia,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-05,MW210986.1,USA: Virginia,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-05,MW210987.1,USA: Virginia,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-05,MW210988.1,USA: Virginia,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-05,MW210989.1,USA: Virginia,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-06,MW067682.1,USA: Virginia,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06,MW067684.1,USA: Virginia,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-06,MW067685.1,USA: Virginia,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2020-06,MW067686.1,USA: Virginia,0.0,0.0,2.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06,MW067687.1,USA: Virginia,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-06,MW067688.1,USA: Virginia,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06,MW067689.1,USA: Virginia,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0
2020-06,MW067758.1,USA: Virginia,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2020-06,MW067759.1,USA: Virginia,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
2020-06,MW067760.1,USA: Virginia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-06,MW067761.1,USA: Virginia,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2020-06,MW067762.1,USA: Virginia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
2020-06,MW067763.1,USA: Virginia,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
2020-06,MW067765.1,USA: Virginia,0.0,1.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-06,MW067766.1,USA: Virginia,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06,MW067768.1,USA: Virginia,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-06,MW067769.1,USA: Virginia,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-06,MW067770.1,USA: Virginia,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
2020-07,MW205968.1,USA: Virginia,0.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-07,MW205969.1,USA: Virginia,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
2020-07,MW205970.1,USA: Virginia,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-07,MW205971.1,USA: Virginia,0.0,1.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-07,MW205972.1,USA: Virginia,0.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-07,MW205973.1,USA: Virginia,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-07,MW205974.1,USA: Virginia,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-07,MW205975.1,USA: Virginia,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
2020-07,MW205976.1,USA: Virginia,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-07,MW205977.1,USA: Virginia,0.0,0.0,1.0,1.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
2020-07,MW205978.1,USA: Virginia,0.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2020-07,MW205979.1,USA: Virginia,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-07,MW205981.1,USA: Virginia,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-07,MW205982.1,USA: Virginia,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-07,MW205983.1,USA: Virginia,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-07,MW205984.1,USA: Virginia,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-07,MW205985.1,USA: Virginia,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-07,MW205986.1,USA: Virginia,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-07,MW205987.1,USA: Virginia,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
2020-07,MW205988.1,USA: Virginia,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2020-07,MW205989.1,USA: Virginia,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-07,MW205990.1,USA: Virginia,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-07,MW205991.1,USA: Virginia,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
2020-07,MW205992.1,USA: Virginia,0.0,0.0,2.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2020-07,MW205993.1,USA: Virginia,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-07,MW205994.1,USA: Virginia,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
2020-07,MW205995.1,USA: Virginia,0.0,0.0,3.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-07,MW205996.1,USA: Virginia,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-07,MW205997.1,USA: Virginia,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-07,MW208015.1,USA: Virginia,0.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-07,MW208016.1,USA: Virginia,0.0,0.0,2.0,1.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0
2020-07,MW197470.1,USA: Virginia,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-07,MW197471.1,USA: Virginia,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-07,MW197472.1,USA: Virginia,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
2020-07,MW197473.1,USA: Virginia,0.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-07,MW197474.1,USA: Virginia,0.0,1.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0
2020-07,MW197475.1,USA: Virginia,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2020-07,MW197476.1,USA: Virginia,0.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-07,MW197477.1,USA: Virginia,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-07,MW067675.1,USA: Virginia,1.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
2020-07,MW067676.1,USA: Virginia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
2020-07,MW067677.1,USA: Virginia,0.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2020-07,MW067678.1,USA: Virginia,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-07,MW067679.1,USA: Virginia,0.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-07,MW067680.1,USA: Virginia,0.0,1.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-07,MW067691.1,USA: Virginia,0.0,1.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-07,MW067692.1,USA: Virginia,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2020-07,MW067723.1,USA: Virginia,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
2020-07,MW067724.1,USA: Virginia,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2020-07,MW067725.1,USA: Virginia,0.0,0.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
2020-07,MW067726.1,USA: Virginia,0.0,0.0,1.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2020-07,MW067727.1,USA: Virginia,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
2020-07,MW067729.1,USA: Virginia,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
2020-07,MW067730.1,USA: Virginia,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
