Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-13,MW190668.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MW190666.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW191226.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW191225.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-03-14,MW191224.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-14,MW191222.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW190999.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW190995.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW190994.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-14,MW190993.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-14,MW190992.1,USA: NJ,0.0,0.0,1.0,1.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0
2020-03-14,MW190991.1,USA: NJ,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-14,MW190990.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW190663.1,USA: NJ,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-14,MW191223.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2020-03-15,MW190665.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-15,MW190669.1,USA: NJ,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2020-03-15,MW190988.1,USA: NJ,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,MW190989.1,USA: NJ,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190667.1,USA: NJ,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-03-16,MW190996.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW191138.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-16,MW191139.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW191221.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-16,MW191227.1,USA: NJ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-16,MW064940.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW064943.1,USA: NJ,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW064944.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW064941.1,USA: NJ,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW064942.1,USA: NJ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-24,MW578263.1,USA: NJ,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0
2020-09-10,MW566542.1,USA: NJ,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-10-08,MW566543.1,USA: NJ,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
2020-10-15,MW522443.1,USA: NJ,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2020-10-17,MW522442.1,USA: NJ,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-31,MW406559.1,USA: NJ,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
2020-10-31,MW406560.1,USA: NJ,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
2020-11-16,MW495982.1,USA: New Jersey,0.0,0.0,1.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0
2020-12-04,MW495985.1,USA: New Jersey,0.0,0.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2020-12-22,MW634028.1,USA: New Jersey,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2020-12-25,MW634636.1,USA: New Jersey,0.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0
2020-12-25,MW634414.1,USA: New Jersey,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0
2020-12-26,MW634433.1,USA: New Jersey,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
2020-12-26,MW634432.1,USA: New Jersey,0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2020-12-26,MW634274.1,USA: New Jersey,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2020-12-27,MW634629.1,USA: New Jersey,0.0,0.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2020-12-27,MW634605.1,USA: New Jersey,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-12-27,MW634604.1,USA: New Jersey,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
2020-12-27,MW634603.1,USA: New Jersey,1.0,0.0,3.0,1.0,5.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0
2020-12-27,MW634263.1,USA: New Jersey,1.0,0.0,3.0,1.0,8.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2020-12-27,MW634262.1,USA: New Jersey,0.0,0.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-12-27,MW634634.1,USA: New Jersey,1.0,0.0,2.0,2.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2020-12-27,MW634272.1,USA: New Jersey,1.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0
2020-12-27,MW634608.1,USA: New Jersey,1.0,0.0,2.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-12-30,MZ028777.1,USA: NJ,0.0,1.0,4.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2020-12-30,MZ005052.1,USA: NJ,1.0,0.0,3.0,1.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2020-12-31,MW518851.1,USA: New Jersey,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-03,MW519838.1,USA: New Jersey,0.0,1.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-01-03,MW519823.1,USA: New Jersey,0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-01-04,MW638608.1,USA: New Jersey,0.0,1.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0
2021-01-04,MW519786.1,USA: New Jersey,0.0,0.0,3.0,1.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-01-05,MW523868.1,USA: New Jersey,1.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-06,MW519669.1,USA: New Jersey,1.0,0.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2021-01-07,MW596131.1,USA: New Jersey,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0
2021-01-08,MW638934.1,USA: New Jersey,1.0,0.0,4.0,1.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-01-08,MW596087.1,USA: New Jersey,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0
2021-01-09,MW596180.1,USA: New Jersey,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0
2021-01-10,MW525093.1,USA: New Jersey,1.0,0.0,2.0,1.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0
2021-01-10,MW525098.1,USA: New Jersey,0.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-01-11,MW638256.1,USA: New Jersey,1.0,0.0,1.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
2021-01-11,MW638255.1,USA: New Jersey,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-12,MW524954.1,USA: New Jersey,0.0,0.0,3.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-12,MW525012.1,USA: New Jersey,1.0,0.0,2.0,1.0,8.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0
2021-01-14,MW524901.1,USA: New Jersey,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-01-15,MW586623.1,USA: New Jersey,0.0,2.0,3.0,3.0,14.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0
2021-01-16,MW583177.1,USA: New Jersey,0.0,0.0,4.0,1.0,11.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0
2021-01-17,MW583125.1,USA: New Jersey,0.0,2.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
2021-01-18,MW636855.1,USA: New Jersey,1.0,0.0,4.0,3.0,12.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0
2021-01-18,MW636819.1,USA: New Jersey,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,5.0,1.0,5.0
2021-01-18,MW636445.1,USA: New Jersey,1.0,0.0,2.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-01-19,MW636762.1,USA: New Jersey,0.0,1.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-01-19,MW636716.1,USA: New Jersey,0.0,1.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-01-19,MW636703.1,USA: New Jersey,1.0,0.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2021-01-19,MW664360.1,USA: New Jersey,0.0,3.0,2.0,3.0,12.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-01-19,MW984892.1,USA: New Jersey,1.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-01-20,MW640010.1,USA: New Jersey,1.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0
2021-01-20,MW586520.1,USA: New Jersey,0.0,0.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
2021-01-20,MW640142.1,USA: New Jersey,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0
2021-01-21,MW640198.1,USA: New Jersey,0.0,0.0,4.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2021-01-21,MW640083.1,USA: New Jersey,0.0,0.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-01-21,MW640160.1,USA: New Jersey,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2021-01-21,MW984985.1,USA: New Jersey,2.0,0.0,4.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-01-21,MW640208.1,USA: New Jersey,1.0,0.0,2.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0
2021-01-21,MW640206.1,USA: New Jersey,0.0,0.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-01-21,MW640217.1,USA: New Jersey,1.0,0.0,2.0,1.0,8.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
2021-01-21,MW640209.1,USA: New Jersey,1.0,0.0,3.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-01-21,MW984977.1,USA: New Jersey,0.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-01-21,MW984976.1,USA: New Jersey,1.0,0.0,1.0,1.0,15.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0
2021-01-24,MW640553.1,USA: New Jersey,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-01-24,MW640551.1,USA: New Jersey,0.0,0.0,3.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
2021-01-25,MW640509.1,USA: New Jersey,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-01-25,MW985015.1,USA: New Jersey,1.0,0.0,2.0,1.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2021-01-25,MW640532.1,USA: New Jersey,0.0,0.0,3.0,2.0,12.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
2021-01-25,MW586319.1,USA: New Jersey,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2021-01-26,MW974952.1,USA: New Jersey,1.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-01-26,MW586271.1,USA: New Jersey,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-01-26,MW667040.1,USA: New Jersey,0.0,0.0,4.0,1.0,9.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0
2021-01-26,MW666970.1,USA: New Jersey,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-01-27,MW974928.1,USA: New Jersey,1.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-01-27,MW667258.1,USA: New Jersey,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-01-27,MW667322.1,USA: New Jersey,1.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0
2021-01-27,MW667335.1,USA: New Jersey,1.0,0.0,2.0,1.0,8.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2021-01-27,MW974973.1,USA: New Jersey,1.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-01-28,MW586154.1,USA: New Jersey,0.0,0.0,2.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
2021-01-29,MW673243.1,USA: New Jersey,0.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0
2021-01-29,MW665726.1,USA: New Jersey,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0
2021-01-29,MW665722.1,USA: New Jersey,0.0,0.0,2.0,1.0,10.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
2021-01-29,MW665839.1,USA: New Jersey,1.0,0.0,2.0,1.0,8.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
