Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-01-05,MW585340.1,USA: Ohio,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-03-07,MT344956.1,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-08,MT344955.1,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-08,MT325598.1,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW191394.1,USA: OH,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW590344.1,USA: Ohio,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-16,MW191153.1,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW065330.1,USA: OH,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-17,MW190278.1,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-17,MW190527.1,USA: OH,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-03-17,MW065481.1,USA: OH,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,MW190807.1,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-20,MW587789.1,USA: Ohio,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-23,MW064984.1,USA: OH,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-29,MW590345.1,USA: Ohio,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-31,MW584977.1,USA: Ohio,0.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
2020-04-01,MW590336.1,USA: Ohio,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-03,MW590346.1,USA: Ohio,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-03,MW584978.1,USA: Ohio,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-04-06,MW590337.1,USA: Ohio,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2020-05-07,MW584912.1,USA: Ohio,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-10,MW590341.1,USA: Ohio,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-15,MW592368.1,USA: Ohio,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-05-17,MW589189.1,USA: Ohio,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-17,MW590340.1,USA: Ohio,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-05-22,MW590339.1,USA: Ohio,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-22,MW590342.1,USA: Ohio,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2020-05-25,MW590343.1,USA: Ohio,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-05-30,MW592369.1,USA: Ohio,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-14,MW521760.1,USA: OH,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
2020-07-07,MW521761.1,USA: OH,1.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
2020-07-12,MT846608.1,"USA: Ohio, Cuyahoga county",2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-08-01,MW522460.1,USA: OH,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-08-01,MW522461.1,USA: OH,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-08-11,MW521762.1,USA: OH,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-08-11,MW566547.1,USA: OH,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-09-08,MZ147822.1,USA: OH,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
2020-11-04,MW406581.1,USA: OH,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2020-11-09,MW496005.1,USA: Ohio,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2020-11-10,MW496006.1,USA: Ohio,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-11-11,MW496007.1,USA: Ohio,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2020-11-18,MW496009.1,USA: Ohio,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-11-19,MW496011.1,USA: Ohio,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2020-12-02,MW486183.1,"USA: Ohio, Franklin County",0.0,0.0,4.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2020-12-26,MW635019.1,USA: Ohio,0.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0
2020-12-28,MW708651.1,USA: OH,0.0,0.0,3.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0
