Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-02-21,MT476384.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-28,MT276330.2,USA: FL,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-28,MT276329.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-02,MT325565.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-04,MW286656.1,USA: FL,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-05,MW286655.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0
2020-03-05,MT325566.1,USA: FL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-03-06,MT325568.1,USA: FL,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-07,MW286661.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-09,MT703958.1,USA: FL,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-10,MW286665.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-03-11,MT834609.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-11,MT966108.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,MW286670.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-11,MW286671.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-11,MT834608.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-12,MW286676.1,USA: FL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020-03-12,MT703963.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-12,MT834607.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-12,MW286668.1,USA: FL,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,MW286669.1,USA: FL,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,MW286678.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-13,MW286677.1,USA: FL,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,MT846429.1,USA: FL,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,MT846420.1,USA: FL,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-13,MT846428.1,USA: FL,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,MT846432.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT956813.1,USA: FL,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT834614.1,USA: FL,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020-03-13,MT834611.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,MT846431.1,USA: FL,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-13,MT846422.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,MT614527.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
