Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-11-24,MW653462.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
2020-11-24,MW653463.1,"USA: CA, San Francisco County",0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
2020-11-24,MW653571.1,"USA: CA, San Francisco County",0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-11-24,MW653572.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2020-11-24,MW653578.1,"USA: CA, San Francisco County",0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-11-25,MW703127.1,"USA: CA, Humboldt County",1.0,1.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-11-29,MW653529.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0
2020-11-29,MW653531.1,"USA: CA, San Francisco County",0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-11-29,MW653533.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,11.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0
2020-11-29,MW653536.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,12.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0
2020-11-29,MW653537.1,"USA: CA, San Francisco County",0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2020-11-29,MW653539.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-11-29,MW653541.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
2020-11-29,MW653542.1,"USA: CA, San Francisco County",0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-11-29,MW653543.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2020-11-29,MW653549.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-11-29,MW653550.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0
2020-11-29,MW653551.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
2020-11-29,MW653553.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
2020-11-29,MW653556.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-11-29,MW653560.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2020-11-29,MW653564.1,"USA: CA, San Francisco County",0.0,0.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0
2020-11-29,MW653565.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0
2020-11-30,MW702588.1,"USA: CA, Alameda County",0.0,0.0,3.0,1.0,13.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0
2020-11-30,MW703122.1,"USA: CA, Humboldt County",2.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-11-30,MW653495.1,"USA: CA, San Francisco County",2.0,1.0,2.0,0.0,14.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
2020-11-30,MW653497.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
2020-11-30,MW653503.1,"USA: CA, San Francisco County",0.0,0.0,3.0,0.0,17.0,0.0,0.0,5.0,0.0,2.0,0.0,7.0
2020-11-30,MW653508.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0
2020-11-30,MW653509.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0
2020-11-30,MW653511.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-11-30,MW653517.1,"USA: CA, San Francisco County",0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2020-11-30,MW653518.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
2020-11-30,MW653523.1,"USA: CA, San Francisco County",0.0,0.0,1.0,0.0,11.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0
2020-11-30,MW653525.1,"USA: CA, San Francisco County",0.0,1.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2020-12-01,MW703123.1,"USA: CA, Humboldt County",1.0,1.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-12-01,MW653464.1,"USA: CA, San Francisco County",0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-12-01,MW653470.1,"USA: CA, San Francisco County",1.0,1.0,3.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2020-12-01,MW653471.1,"USA: CA, San Francisco County",0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2020-12-01,MW653472.1,"USA: CA, San Francisco County",0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-12-01,MW653474.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,11.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
2020-12-01,MW653478.1,"USA: CA, San Francisco County",2.0,1.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2020-12-01,MW653482.1,"USA: CA, San Francisco County",0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2020-12-01,MW653483.1,"USA: CA, San Francisco County",0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
2020-12-01,MW653484.1,"USA: CA, San Francisco County",1.0,1.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-12-01,MW653486.1,"USA: CA, San Francisco County",0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-12-01,MW653487.1,"USA: CA, San Francisco County",0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2020-12-06,MW702978.1,"USA: CA, Santa Clara County",0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
