Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-12-30,MW938053.1,USA: IN,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
2021-01-23,MW974941.1,USA: Indiana,1.0,1.0,5.0,0.0,11.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
2021-02-16,MW963531.1,USA: Indiana,0.0,2.0,3.0,3.0,12.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-02-22,MW963622.1,USA: Indiana,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-22,MW963632.1,USA: Indiana,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-27,MW963762.1,USA: Indiana,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,4.0,3.0,2.0
2021-03-04,MW963851.1,USA: Indiana,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-05,MW986636.1,USA: Indiana,1.0,0.0,4.0,0.0,10.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0
2021-03-06,MW963842.1,USA: Indiana,0.0,4.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-03-06,MW963948.1,USA: Indiana,0.0,4.0,2.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-03-07,MW964032.1,USA: Indiana,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-09,MW964054.1,USA: Indiana,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-09,MW964085.1,USA: Indiana,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-09,MW964087.1,USA: Indiana,1.0,2.0,2.0,3.0,13.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0
2021-03-09,MW904935.1,USA: Indiana,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-10,MW964120.1,USA: Indiana,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
