Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-11,MT966108.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,MW023404.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-24,MT966110.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0
2020-03-30,MW023498.1,USA: FL,0.0,0.0,2.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0
2020-04-03,MT966113.1,USA: FL,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-06,MW023500.1,USA: FL,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-07,MW040659.1,USA: FL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-07,MW040660.1,USA: FL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-07,MW040665.1,USA: FL,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-08,MW040664.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
2020-04-08,MW040666.1,USA: FL,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-08,MW040667.1,USA: FL,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-08,MW040668.1,USA: FL,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-09,MW040669.1,USA: FL,1.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0
2020-04-10,MW023501.1,USA: FL,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-04-13,MW023409.1,USA: FL,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-04-13,MW023502.1,USA: FL,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-20,MW023415.1,USA: FL,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-04-21,MT956686.1,USA: FL,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-04-22,MW023416.1,USA: FL,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0
2020-04-22,MT956687.1,USA: FL,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0
2020-04-22,MT956688.1,USA: FL,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-04-24,MW040673.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-26,MT956693.1,USA: FL,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-04,MT956695.1,USA: FL,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0
2020-05-06,MT966126.1,USA: FL,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-05-07,MW040675.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-05-07,MT966129.1,USA: FL,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
2020-05-08,MW040678.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-05-09,MW040679.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-05-12,MW040681.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-05-12,MW040683.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-05-18,MT956698.1,USA: FL,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-18,MT956699.1,USA: FL,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0
2020-05-21,MT956700.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-05-22,MT956701.1,USA: FL,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-05-22,MT956702.1,USA: FL,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
2020-05-23,MT956703.1,USA: FL,0.0,1.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-05-25,MT956704.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-05-28,MW023418.1,USA: FL,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
2020-06-01,MW023424.1,USA: FL,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-06-02,MW023428.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-06-04,MW023429.1,USA: FL,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-06-04,MT966133.1,USA: FL,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-06-08,MT966138.1,USA: FL,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-06-08,MT956706.1,USA: FL,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-06-11,MT966140.1,USA: FL,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-11,MT966141.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-06-11,MT966142.1,USA: FL,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-06-12,MT966144.1,USA: FL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-06-12,MT966145.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
2020-06-17,MW023435.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
2020-06-23,MT966146.1,USA: FL,1.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2020-06-23,MT966148.1,USA: FL,0.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-23,MT966149.1,USA: FL,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-06-25,MW040686.1,USA: FL,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2020-06-25,MW040687.1,USA: FL,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-27,MW040690.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2020-06-28,MW040693.1,USA: FL,0.0,0.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-06-28,MW040694.1,USA: FL,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-28,MW040695.1,USA: FL,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-29,MW040696.1,USA: FL,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-30,MW040697.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-06-30,MT966154.1,USA: FL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-06-30,MT966155.1,USA: FL,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-06-30,MT966156.1,USA: FL,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0
2020-06-30,MT966157.1,USA: FL,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
