Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-11,MW777086.1,USA: Arizona,0.0,0.0,6.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-02-12,MW777263.1,USA: Arizona,0.0,1.0,3.0,1.0,12.0,0.0,1.0,2.0,1.0,3.0,1.0,4.0
2021-02-12,MW767252.1,USA: Arizona,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2021-02-12,MW767261.1,USA: Arizona,0.0,1.0,2.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0
2021-02-12,MW767271.1,USA: Arizona,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-12,MW767280.1,USA: Arizona,1.0,2.0,2.0,0.0,9.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0
2021-02-13,MW777207.1,USA: Arizona,1.0,0.0,3.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0
2021-02-13,MW767291.1,USA: Arizona,0.0,1.0,2.0,0.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0
2021-02-13,MW767292.1,USA: Arizona,0.0,0.0,2.0,0.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-02-13,MW767293.1,USA: Arizona,0.0,0.0,3.0,0.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2021-02-13,MW767322.1,USA: Arizona,0.0,1.0,3.0,0.0,13.0,0.0,0.0,3.0,1.0,1.0,0.0,6.0
2021-02-14,MW825838.1,USA: Arizona,0.0,2.0,3.0,1.0,8.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0
2021-02-14,MW825860.1,USA: Arizona,0.0,1.0,2.0,1.0,17.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0
2021-02-14,MW825875.1,USA: Arizona,0.0,1.0,1.0,0.0,14.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0
2021-02-14,MW776945.1,USA: Arizona,0.0,0.0,3.0,1.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
2021-02-14,MW776967.1,USA: Arizona,0.0,1.0,4.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-02-14,MW776992.1,USA: Arizona,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-14,MW777081.1,USA: Arizona,0.0,1.0,2.0,0.0,11.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0
2021-02-14,MW777098.1,USA: Arizona,1.0,0.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2021-02-14,MW777516.1,USA: Arizona,1.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0
2021-02-14,MW777542.1,USA: Arizona,0.0,1.0,2.0,0.0,17.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
2021-02-14,MW777558.1,USA: Arizona,0.0,0.0,5.0,0.0,12.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0
2021-02-15,MW777038.1,USA: Arizona,0.0,0.0,2.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-02-15,MW777048.1,USA: Arizona,0.0,0.0,2.0,1.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
