Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-15,MW808013.1,USA: Florida,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-15,MW808014.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-02-15,MW808016.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-15,MW808017.1,USA: Florida,0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-15,MW808019.1,USA: Florida,0.0,2.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-02-16,MW808015.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-16,MW808018.1,USA: Florida,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-16,MW808028.1,USA: Florida,0.0,2.0,6.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-02-17,MW808024.1,USA: Florida,0.0,2.0,5.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,3.0
2021-02-17,MW808026.1,USA: Florida,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-02-17,MW808060.1,USA: Florida,0.0,2.0,7.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-17,MW808066.1,USA: Florida,0.0,2.0,5.0,4.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-18,MW808021.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-18,MW808059.1,USA: Florida,0.0,2.0,5.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,5.0,2.0
2021-02-18,MW808064.1,USA: Florida,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-18,MW808186.1,USA: Florida,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-02-18,MW808195.1,USA: Florida,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-02-19,MW808011.1,USA: Florida,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-02-19,MW808020.1,USA: Florida,0.0,2.0,5.0,3.0,15.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-02-19,MW808022.1,USA: Florida,0.0,3.0,2.0,3.0,14.0,0.0,1.0,5.0,1.0,2.0,3.0,3.0
2021-02-19,MW808023.1,USA: Florida,0.0,3.0,2.0,4.0,11.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-19,MW808029.1,USA: Florida,0.0,3.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-02-19,MW808052.1,USA: Florida,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-02-19,MW808053.1,USA: Florida,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-19,MW808054.1,USA: Florida,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-19,MW808055.1,USA: Florida,0.0,3.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-19,MW808056.1,USA: Florida,0.0,4.0,2.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-02-19,MW808061.1,USA: Florida,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-02-19,MW808062.1,USA: Florida,0.0,2.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-02-19,MW808063.1,USA: Florida,0.0,2.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,4.0,3.0,5.0
2021-02-19,MW808065.1,USA: Florida,1.0,3.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-19,MW808067.1,USA: Florida,0.0,3.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-02-19,MW808068.1,USA: Florida,0.0,3.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-20,MW808003.1,USA: Florida,0.0,3.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-20,MW808006.1,USA: Florida,2.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-20,MW808007.1,USA: Florida,0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-20,MW808008.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0
2021-02-20,MW808012.1,USA: Florida,0.0,2.0,4.0,3.0,12.0,0.0,1.0,2.0,1.0,4.0,5.0,2.0
2021-02-20,MW808034.1,USA: Florida,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-02-20,MW808046.1,USA: Florida,0.0,2.0,7.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-20,MW808048.1,USA: Florida,0.0,2.0,5.0,3.0,17.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0
2021-02-20,MW808049.1,USA: Florida,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-20,MW808050.1,USA: Florida,0.0,2.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
