Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-08-20,MZ147823.1,USA: IN,0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2021-03-27,MZ158875.1,USA: Indiana,0.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-03-27,MZ159090.1,USA: Indiana,0.0,0.0,2.0,0.0,17.0,0.0,0.0,2.0,0.0,1.0,1.0,6.0
2021-03-29,MZ158999.1,USA: Indiana,0.0,4.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-03-29,MZ159123.1,USA: Indiana,0.0,2.0,6.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-03,MZ140690.1,USA: Indiana,0.0,0.0,2.0,0.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0
2021-04-09,MZ166415.1,USA: Indiana,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-12,MZ100195.1,USA: Indiana,0.0,3.0,4.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-12,MZ100220.1,USA: Indiana,1.0,1.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2021-04-12,MZ100253.1,USA: Indiana,0.0,2.0,4.0,4.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-04-12,MZ100259.1,USA: Indiana,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-12,MZ100264.1,USA: Indiana,0.0,3.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0
2021-04-12,MZ100266.1,USA: Indiana,0.0,3.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-12,MZ100274.1,USA: Indiana,0.0,2.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-13,MZ131089.1,USA: Indiana,1.0,0.0,4.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2021-04-13,MZ143876.1,USA: IN,0.0,1.0,3.0,0.0,13.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0
2021-04-13,MZ100089.1,USA: Indiana,1.0,2.0,3.0,3.0,17.0,0.0,1.0,4.0,1.0,5.0,3.0,1.0
2021-04-13,MZ100096.1,USA: Indiana,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-04-13,MZ100100.1,USA: Indiana,0.0,2.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-13,MZ100108.1,USA: Indiana,0.0,3.0,4.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-13,MZ100134.1,USA: Indiana,0.0,3.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-13,MZ100142.1,USA: Indiana,0.0,3.0,2.0,3.0,16.0,0.0,2.0,3.0,1.0,2.0,3.0,2.0
2021-04-13,MZ100157.1,USA: Indiana,0.0,2.0,4.0,3.0,16.0,0.0,1.0,4.0,1.0,3.0,3.0,2.0
2021-04-13,MZ100326.1,USA: Indiana,0.0,2.0,6.0,4.0,16.0,0.0,2.0,3.0,1.0,4.0,3.0,3.0
2021-04-13,MZ100349.1,USA: Indiana,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,5.0
2021-04-13,MZ100358.1,USA: Indiana,0.0,3.0,4.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-13,MZ100392.1,USA: Indiana,0.0,4.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-04-13,MZ100760.1,USA: Indiana,1.0,1.0,6.0,0.0,14.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0
2021-04-13,MZ100771.1,USA: Indiana,0.0,2.0,4.0,4.0,13.0,0.0,1.0,3.0,1.0,3.0,4.0,2.0
2021-04-13,MZ100772.1,USA: Indiana,0.0,4.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,3.0,4.0,2.0
2021-04-13,MZ100794.1,USA: Indiana,0.0,3.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-13,MZ100834.1,USA: Indiana,0.0,3.0,4.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-13,MZ100839.1,USA: Indiana,0.0,4.0,4.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,3.0
2021-04-13,MZ100847.1,USA: Indiana,0.0,2.0,3.0,3.0,17.0,0.0,1.0,3.0,1.0,4.0,3.0,4.0
2021-04-13,MZ100889.1,USA: Indiana,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,4.0,3.0,1.0
2021-04-13,MZ100903.1,USA: Indiana,0.0,4.0,2.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-04-14,MZ131070.1,USA: Indiana,1.0,2.0,3.0,4.0,12.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ132909.1,USA: Indiana,0.0,3.0,3.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-14,MZ132923.1,USA: Indiana,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,4.0,3.0,2.0
2021-04-14,MZ100672.1,USA: Indiana,0.0,2.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,2.0,3.0,4.0
2021-04-14,MZ100684.1,USA: Indiana,0.0,2.0,4.0,3.0,14.0,0.0,1.0,3.0,1.0,4.0,5.0,2.0
2021-04-14,MZ100685.1,USA: Indiana,2.0,2.0,3.0,4.0,12.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ100687.1,USA: Indiana,0.0,3.0,2.0,3.0,18.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-14,MZ100692.1,USA: Indiana,0.0,1.0,2.0,0.0,18.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0
2021-04-14,MZ100695.1,USA: Indiana,1.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-14,MZ100919.1,USA: Indiana,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0
2021-04-14,MZ100929.1,USA: Indiana,0.0,4.0,2.0,3.0,12.0,0.0,1.0,3.0,1.0,3.0,4.0,1.0
2021-04-14,MZ100938.1,USA: Indiana,0.0,3.0,2.0,3.0,18.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-14,MZ100939.1,USA: Indiana,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-14,MZ100940.1,USA: Indiana,0.0,2.0,5.0,3.0,12.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-14,MZ100950.1,USA: Indiana,1.0,0.0,7.0,0.0,15.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
2021-04-14,MZ100961.1,USA: Indiana,1.0,0.0,7.0,0.0,15.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
2021-04-14,MZ100983.1,USA: Indiana,0.0,3.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0
2021-04-14,MZ101177.1,USA: Indiana,0.0,4.0,2.0,3.0,12.0,0.0,1.0,3.0,1.0,3.0,4.0,1.0
2021-04-14,MZ101187.1,USA: Indiana,0.0,4.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-04-14,MZ101245.1,USA: Indiana,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,5.0
2021-04-14,MZ101280.1,USA: Indiana,0.0,2.0,4.0,0.0,13.0,1.0,0.0,3.0,4.0,2.0,1.0,7.0
2021-04-14,MZ101314.1,USA: Indiana,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
