Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-06-03,MW736089.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-03,MW736092.1,USA: TX,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-06-05,MW736093.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-06-05,MW736094.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-05,MW736095.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-05,MW736097.1,USA: TX,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
2020-06-05,MW736098.1,USA: TX,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-09,MW736105.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-13,MW736106.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-06-13,MW736107.1,USA: TX,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-13,MW736108.1,USA: TX,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-06-13,MW736109.1,USA: TX,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-13,MW736110.1,USA: TX,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-13,MW435642.1,USA: TX,0.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-14,MW738841.1,USA: TX,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-06-18,MW738817.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-18,MW738825.1,USA: TX,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-06-18,MW738828.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-06-18,MW738829.1,USA: TX,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2020-06-18,MW738832.1,USA: TX,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-06-18,MW738839.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-18,MW738852.1,USA: TX,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-18,MW738856.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-06-18,MW738860.1,USA: TX,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-18,MW435630.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-06-18,MW435638.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-19,MW736062.1,USA: TX,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-19,MW736063.1,USA: TX,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
