Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-25,MW844517.1,USA: Ohio,0.0,4.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-03-02,MW850912.1,USA: Ohio,0.0,1.0,5.0,0.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2021-03-02,MW851023.1,USA: Ohio,0.0,2.0,2.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0
2021-03-02,MW851074.1,USA: Ohio,0.0,0.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
2021-03-03,MW869678.1,USA: Ohio,0.0,2.0,4.0,3.0,13.0,0.0,1.0,2.0,1.0,4.0,5.0,2.0
2021-03-03,MW851088.1,USA: Ohio,0.0,0.0,3.0,2.0,17.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2021-03-04,MW851105.1,USA: Ohio,0.0,1.0,2.0,0.0,19.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0
2021-03-07,MW869752.1,USA: Ohio,0.0,2.0,7.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-07,MW864933.1,USA: Ohio,0.0,3.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,3.0,3.0,3.0
2021-03-07,MW864980.1,USA: Ohio,0.0,2.0,5.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-03-07,MW851501.1,USA: Ohio,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-03-08,MW897678.1,USA: OH,1.0,0.0,3.0,0.0,17.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-03-08,MW864656.1,USA: Ohio,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-08,MW865259.1,USA: Ohio,0.0,2.0,6.0,3.0,20.0,0.0,1.0,3.0,1.0,2.0,3.0,5.0
2021-03-08,MW851707.1,USA: Ohio,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-03-08,MW851718.1,USA: Ohio,0.0,0.0,3.0,1.0,17.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0
2021-03-08,MW851753.1,USA: Ohio,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0
