Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-28,MZ158800.1,USA: North Carolina,0.0,0.0,3.0,0.0,16.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0
2021-03-28,MZ159139.1,USA: North Carolina,0.0,0.0,5.0,1.0,13.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0
2021-03-29,MZ158784.1,USA: North Carolina,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2021-03-29,MZ158792.1,USA: North Carolina,0.0,3.0,3.0,3.0,17.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-29,MZ158794.1,USA: North Carolina,0.0,3.0,3.0,3.0,17.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-29,MZ158834.1,USA: North Carolina,0.0,3.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-29,MZ158837.1,USA: North Carolina,0.0,0.0,5.0,1.0,11.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0
2021-03-29,MZ158864.1,USA: North Carolina,0.0,1.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0
2021-03-29,MZ158865.1,USA: North Carolina,0.0,2.0,8.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-29,MZ159183.1,USA: North Carolina,1.0,0.0,3.0,2.0,16.0,0.0,1.0,5.0,1.0,3.0,1.0,1.0
2021-03-29,MZ159193.1,USA: North Carolina,0.0,2.0,2.0,3.0,15.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-03-29,MZ159194.1,USA: North Carolina,1.0,0.0,3.0,2.0,17.0,0.0,1.0,6.0,1.0,3.0,1.0,1.0
2021-04-12,MZ100090.1,USA: North Carolina,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0
2021-04-12,MZ100149.1,USA: North Carolina,1.0,1.0,3.0,0.0,16.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0
2021-04-12,MZ100186.1,USA: North Carolina,0.0,2.0,4.0,3.0,15.0,0.0,1.0,4.0,1.0,3.0,3.0,2.0
2021-04-12,MZ100242.1,USA: North Carolina,0.0,2.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-12,MZ100260.1,USA: North Carolina,0.0,3.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0
2021-04-12,MZ100269.1,USA: North Carolina,0.0,2.0,5.0,4.0,15.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-04-13,MZ166533.1,USA: North Carolina,1.0,0.0,4.0,0.0,13.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0
2021-04-13,MZ131095.1,USA: North Carolina,0.0,2.0,5.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-13,MZ100092.1,USA: North Carolina,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0
2021-04-13,MZ100328.1,USA: North Carolina,1.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-04-13,MZ100370.1,USA: North Carolina,0.0,3.0,5.0,4.0,19.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-13,MZ100371.1,USA: North Carolina,1.0,0.0,4.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-04-13,MZ100382.1,USA: North Carolina,1.0,3.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-13,MZ100384.1,USA: North Carolina,0.0,3.0,3.0,3.0,16.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0
2021-04-13,MZ100395.1,USA: North Carolina,1.0,0.0,3.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-04-13,MZ100404.1,USA: North Carolina,0.0,2.0,5.0,3.0,13.0,0.0,2.0,4.0,1.0,3.0,5.0,2.0
2021-04-13,MZ100494.1,USA: North Carolina,0.0,4.0,2.0,3.0,13.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0
2021-04-13,MZ100526.1,USA: North Carolina,1.0,0.0,5.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-04-13,MZ100538.1,USA: North Carolina,1.0,0.0,4.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-04-13,MZ100549.1,USA: North Carolina,1.0,2.0,4.0,4.0,12.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-04-14,MZ166476.1,USA: North Carolina,1.0,2.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
