Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-23,MZ056167.1,USA: CA,0.0,1.0,3.0,0.0,14.0,0.0,1.0,2.0,1.0,0.0,1.0,8.0
2021-03-27,MZ058154.1,USA: California,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-03-27,MZ058384.1,USA: California,0.0,0.0,4.0,2.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
2021-03-28,MZ056195.1,USA: CA,0.0,1.0,2.0,1.0,18.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0
2021-03-31,MZ038984.1,USA: California,0.0,0.0,7.0,1.0,16.0,0.0,0.0,4.0,1.0,2.0,1.0,3.0
2021-04-01,MZ038977.1,USA: California,0.0,1.0,2.0,0.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0
2021-04-01,MZ039000.1,USA: California,0.0,1.0,2.0,0.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0
2021-04-01,MZ039007.1,USA: California,0.0,1.0,1.0,0.0,10.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0
2021-04-01,MZ039014.1,USA: California,0.0,2.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-03,MZ035057.1,USA: California,0.0,3.0,2.0,4.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-04-03,MZ035068.1,USA: California,0.0,2.0,3.0,0.0,12.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0
2021-04-03,MZ035078.1,USA: California,0.0,1.0,2.0,0.0,16.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
2021-04-03,MZ035090.1,USA: California,0.0,2.0,3.0,0.0,12.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0
2021-04-03,MZ035107.1,USA: California,1.0,1.0,3.0,0.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0
2021-04-03,MZ035111.1,USA: California,0.0,2.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-03,MZ039085.1,USA: California,0.0,4.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-04-04,MZ033070.1,USA: California,2.0,2.0,3.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,5.0
2021-04-04,MZ035370.1,USA: California,0.0,2.0,6.0,3.0,18.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-04,MZ039088.1,USA: California,0.0,1.0,2.0,0.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0
2021-04-05,MZ056193.1,USA: CA,1.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0
2021-04-05,MZ046436.1,USA: California,2.0,2.0,4.0,1.0,13.0,1.0,1.0,3.0,0.0,5.0,2.0,6.0
2021-04-05,MZ046446.1,USA: California,2.0,2.0,4.0,1.0,12.0,1.0,1.0,3.0,0.0,5.0,2.0,6.0
2021-04-05,MZ033081.1,USA: California,2.0,2.0,3.0,1.0,16.0,1.0,1.0,3.0,0.0,4.0,2.0,4.0
2021-04-05,MZ034906.1,USA: California,0.0,2.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,4.0,1.0
2021-04-05,MZ034928.1,USA: California,0.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2021-04-05,MZ035009.1,USA: California,0.0,2.0,6.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-05,MZ035211.1,USA: California,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0
2021-04-05,MZ035214.1,USA: California,0.0,4.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-04-05,MZ035800.1,USA: California,0.0,3.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-05,MZ039130.1,USA: California,0.0,0.0,5.0,2.0,13.0,0.0,0.0,4.0,0.0,2.0,1.0,3.0
2021-04-06,MZ060120.1,USA: California,0.0,3.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-06,MZ046440.1,USA: California,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-06,MZ033204.1,USA: California,0.0,1.0,2.0,0.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0
