Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-12,MW908386.1,USA: Florida,0.0,2.0,5.0,3.0,12.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-12,MW908399.1,USA: Florida,0.0,2.0,8.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-13,MW908369.1,USA: Florida,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-03-13,MW908370.1,USA: Florida,0.0,4.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-03-13,MW908378.1,USA: Florida,0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-13,MW908379.1,USA: Florida,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0
2021-03-13,MW908384.1,USA: Florida,0.0,4.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-13,MW908385.1,USA: Florida,0.0,2.0,6.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-13,MW908387.1,USA: Florida,0.0,2.0,2.0,3.0,22.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-13,MW908394.1,USA: Florida,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-13,MW908397.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-13,MW908400.1,USA: Florida,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-13,MW908443.1,USA: Florida,0.0,3.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,3.0
2021-03-13,MW908450.1,USA: Florida,0.0,4.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-03-13,MW908451.1,USA: Florida,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,4.0,3.0,3.0
2021-03-13,MW908452.1,USA: Florida,0.0,4.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-13,MW908453.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-13,MW908455.1,USA: Florida,0.0,3.0,3.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,4.0,1.0
2021-03-13,MW908456.1,USA: Florida,0.0,2.0,5.0,3.0,12.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-13,MW908457.1,USA: Florida,0.0,2.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-13,MW908458.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-13,MW908460.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-13,MW908462.1,USA: Florida,0.0,2.0,6.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-13,MW908463.1,USA: Florida,0.0,2.0,5.0,4.0,14.0,0.0,1.0,4.0,1.0,3.0,3.0,2.0
2021-03-13,MW908465.1,USA: Florida,0.0,2.0,6.0,3.0,14.0,0.0,1.0,3.0,1.0,4.0,3.0,2.0
2021-03-13,MW908470.1,USA: Florida,2.0,2.0,4.0,1.0,15.0,1.0,1.0,4.0,0.0,4.0,2.0,4.0
2021-03-13,MW908473.1,USA: Florida,0.0,3.0,2.0,3.0,19.0,0.0,1.0,3.0,1.0,2.0,4.0,3.0
2021-03-13,MW908474.1,USA: Florida,0.0,2.0,2.0,3.0,19.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-03-14,MW908420.1,USA: Florida,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0
2021-03-14,MW908423.1,USA: Florida,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-14,MW908433.1,USA: Florida,0.0,2.0,5.0,4.0,13.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
