Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-12-30,MZ028777.1,USA: NJ,0.0,1.0,4.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-03-25,MZ023368.1,USA: New Jersey,1.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-03-26,MZ022739.1,USA: New Jersey,1.0,0.0,3.0,0.0,11.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0
2021-03-26,MZ022836.1,USA: New Jersey,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-03-26,MZ022864.1,USA: New Jersey,1.0,0.0,5.0,0.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-03-26,MZ022885.1,USA: New Jersey,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-26,MZ022887.1,USA: New Jersey,0.0,3.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-03-26,MZ022892.1,USA: New Jersey,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-26,MZ022978.1,USA: New Jersey,0.0,2.0,6.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-26,MZ022983.1,USA: New Jersey,1.0,0.0,7.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
2021-03-26,MZ022988.1,USA: New Jersey,1.0,0.0,5.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-03-26,MZ023051.1,USA: New Jersey,0.0,0.0,3.0,1.0,12.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0
2021-03-26,MZ023052.1,USA: New Jersey,0.0,0.0,3.0,1.0,12.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0
2021-03-26,MZ023160.1,USA: New Jersey,1.0,0.0,3.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-03-26,MZ023161.1,USA: New Jersey,0.0,0.0,4.0,2.0,15.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2021-03-26,MZ023367.1,USA: New Jersey,1.0,0.0,6.0,0.0,13.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
2021-03-26,MZ023373.1,USA: New Jersey,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-27,MZ022126.1,USA: New Jersey,0.0,2.0,3.0,1.0,19.0,0.0,1.0,3.0,1.0,1.0,0.0,4.0
