Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-01-18,MW591579.1,USA: California,0.0,1.0,2.0,1.0,13.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0
2020-01-22,MN994468.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-01-23,MN994467.1,USA: CA,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
2020-01-27,MT044258.1,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,MT027062.1,USA: CA,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-29,MT027063.1,USA: CA,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-29,MT027064.1,USA: CA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,MT106052.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
2020-02-10,MT106053.1,USA: CA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,MT118835.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,MT276324.1,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-27,MT419832.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,MT419830.1,USA: CA,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,MT419831.1,USA: CA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,MT419829.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-29,MT419841.1,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-02,MT419854.1,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-03,MT419847.1,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2020-03-04,MT419842.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-04,MT419846.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-05,MT419834.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-05,MT419835.1,USA: CA,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-05,MT419836.1,USA: CA,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-05,MT419837.1,USA: CA,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-05,MT419839.1,USA: CA,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-06,MW483187.1,"USA: CA, Santa Clara County",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-08,MT810552.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-08,MT810580.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-09,MW483194.1,"USA: CA, Santa Clara County",0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-10,MT810573.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-10,MT810553.1,"USA: San Diego, California",0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-10,MT810556.1,"USA: San Diego, California",0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-10,MT810560.1,"USA: San Diego, California",0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-11,MT192765.1,"USA: CA, San Diego County",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,MW483192.1,"USA: CA, Santa Clara County",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-11,MT444148.1,USA: CA,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-11,MT810561.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-11,MT671822.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2020-03-11,MW483186.1,"USA: CA, Santa Clara County",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-12,MT810574.1,"USA: San Diego, California",0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-12,MT810479.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-12,MT811175.1,"USA: San Diego, California",1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-03-12,MT810481.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,MT810565.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-13,MT628124.1,USA: CA,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-13,MW191096.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-03-13,MW191193.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
2020-03-13,MW190869.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT419851.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MW134167.1,"USA: CA, Ventura County",0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-13,MW191197.1,USA: CA,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-03-13,MT627417.1,USA: CA,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,MT627414.1,USA: CA,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,MT627415.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-13,MT627413.1,USA: CA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,MT627412.1,USA: CA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,MT627411.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-13,MT627410.1,USA: CA,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-13,MT627409.1,USA: CA,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT627408.1,USA: CA,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,MT627407.1,USA: CA,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT671821.1,USA: CA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-03-13,MT452576.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-13,MT614471.1,USA: CA,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT614464.1,USA: CA,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT627416.1,USA: CA,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-13,MW190852.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-13,MW190947.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-13,MT810562.1,"USA: San Diego, California",0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT811164.1,"USA: San Diego, California",0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020-03-14,MW190634.1,USA: CA,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020-03-14,MW191206.1,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-14,MW191186.1,USA: CA,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-14,MW191081.1,USA: CA,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,MW190628.1,USA: CA,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW065219.1,USA: CA,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MT419853.1,USA: CA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-03-14,MW190829.1,USA: CA,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-14,MW190828.1,USA: CA,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2020-03-14,MW190643.1,USA: CA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-14,MW190943.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-14,MW190948.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW190654.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MT811165.1,"USA: San Diego, California",0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MT811166.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MT810508.1,"USA: San Diego, California",0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-14,MT811183.1,"USA: San Diego, California",0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW190622.1,USA: CA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,MT671818.1,USA: CA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-14,MW190626.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-14,MW190625.1,USA: CA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,MW191076.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-14,MW190624.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-14,MT671825.1,USA: CA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190627.1,USA: CA,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190620.1,USA: CA,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190621.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190455.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190453.1,USA: CA,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0
2020-03-15,MW190452.1,USA: CA,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0
2020-03-15,MW190631.1,USA: CA,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,MW190623.1,USA: CA,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190633.1,USA: CA,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,MW191346.1,USA: CA,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190639.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,MT810483.1,"USA: San Diego, California",0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2020-03-15,MT533232.1,USA: CA,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MT671817.1,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,MT811169.1,"USA: San Diego, California",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MT614524.1,USA: CA,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-15,MT614475.1,USA: CA,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-15,MT614470.1,USA: CA,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-15,MT614469.1,USA: CA,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-03-15,MT614468.1,USA: CA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,MT614466.1,USA: CA,0.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020-03-15,MT614462.1,USA: CA,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MT614461.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-15,MT614460.1,USA: CA,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-03-15,MT614459.1,USA: CA,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MT614458.1,USA: CA,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW190652.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0
2020-03-15,MW190649.1,USA: CA,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-15,MW190646.1,USA: CA,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,MW191342.1,USA: CA,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-03-15,MW190636.1,USA: CA,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,MT614457.1,USA: CA,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-15,MW190642.1,USA: CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,MW191198.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-15,MW191205.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,MW191202.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW191200.1,USA: CA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,MW191195.1,USA: CA,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-15,MW191191.1,USA: CA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-15,MW191189.1,USA: CA,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0
2020-03-15,MW191179.1,USA: CA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-15,MW191118.1,USA: CA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
