Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-11,MW984809.1,USA: Connecticut,1.0,0.0,3.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2021-01-31,MW974997.1,USA: Connecticut,1.0,0.0,2.0,1.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-01-31,MW974998.1,USA: Connecticut,1.0,0.0,5.0,1.0,16.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
2021-01-31,MW975003.1,USA: Connecticut,0.0,0.0,4.0,1.0,12.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0
2021-01-31,MW975022.1,USA: Connecticut,1.0,0.0,4.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-08,MW975083.1,USA: Connecticut,0.0,1.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-08,MW975087.1,USA: Connecticut,0.0,1.0,1.0,1.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-08,MW975092.1,USA: Connecticut,0.0,0.0,5.0,1.0,11.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0
2021-02-08,MW975094.1,USA: Connecticut,1.0,0.0,2.0,1.0,16.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
2021-02-08,MW975095.1,USA: Connecticut,0.0,1.0,3.0,1.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0
2021-02-10,MW975189.1,USA: Connecticut,0.0,0.0,4.0,1.0,11.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0
2021-02-10,MW975194.1,USA: Connecticut,1.0,0.0,2.0,1.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2021-02-11,MW975142.1,USA: Connecticut,1.0,0.0,3.0,1.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-11,MW975156.1,USA: Connecticut,1.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-11,MW975193.1,USA: Connecticut,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-11,MW975201.1,USA: Connecticut,1.0,0.0,3.0,1.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2021-02-13,MW975397.1,USA: Connecticut,1.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-13,MW975400.1,USA: Connecticut,1.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-13,MW975413.1,USA: Connecticut,1.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-13,MW975419.1,USA: Connecticut,1.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-14,MW975247.1,USA: Connecticut,1.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-02-14,MW975391.1,USA: Connecticut,1.0,0.0,6.0,0.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-15,MW975229.1,USA: Connecticut,1.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
2021-02-15,MW975234.1,USA: Connecticut,1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-15,MW975235.1,USA: Connecticut,1.0,0.0,6.0,0.0,12.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0
2021-02-15,MW975244.1,USA: Connecticut,1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-15,MW975264.1,USA: Connecticut,1.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-15,MW975308.1,USA: Connecticut,1.0,0.0,1.0,1.0,18.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2021-02-15,MW975322.1,USA: Connecticut,1.0,0.0,1.0,1.0,18.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2021-02-16,MW975304.1,USA: Connecticut,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-16,MW975306.1,USA: Connecticut,1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-16,MW975313.1,USA: Connecticut,0.0,0.0,5.0,1.0,12.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0
2021-02-16,MW975315.1,USA: Connecticut,1.0,0.0,2.0,1.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2021-02-17,MW975332.1,USA: Connecticut,1.0,0.0,2.0,1.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
2021-02-17,MW975345.1,USA: Connecticut,0.0,1.0,4.0,1.0,14.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0
2021-02-17,MW975409.1,USA: Connecticut,1.0,0.0,7.0,0.0,12.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
2021-02-17,MW975417.1,USA: Connecticut,1.0,0.0,5.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-18,MW975342.1,USA: Connecticut,1.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-19,MW975362.1,USA: Connecticut,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-19,MW975378.1,USA: Connecticut,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-20,MW975365.1,USA: Connecticut,0.0,0.0,3.0,1.0,13.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0
2021-02-20,MW975392.1,USA: Connecticut,1.0,0.0,4.0,0.0,13.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-02-20,MW975393.1,USA: Connecticut,1.0,0.0,5.0,0.0,16.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
2021-02-20,MW975404.1,USA: Connecticut,1.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-02-20,MW975465.1,USA: Connecticut,1.0,0.0,5.0,0.0,16.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
2021-02-22,MW975449.1,USA: Connecticut,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
2021-02-22,MW975463.1,USA: Connecticut,1.0,0.0,3.0,1.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2021-02-22,MW975574.1,USA: Connecticut,1.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
2021-02-22,MW975599.1,USA: Connecticut,1.0,0.0,6.0,0.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-23,MW975462.1,USA: Connecticut,1.0,0.0,2.0,1.0,20.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
2021-02-23,MW975464.1,USA: Connecticut,1.0,0.0,6.0,1.0,12.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
2021-02-23,MW975515.1,USA: Connecticut,1.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-23,MW975522.1,USA: Connecticut,1.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
2021-02-23,MW975573.1,USA: Connecticut,1.0,0.0,4.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-02-23,MW975592.1,USA: Connecticut,1.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-23,MW975593.1,USA: Connecticut,1.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-24,MW975508.1,USA: Connecticut,1.0,0.0,5.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
