Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-28,MW974960.1,USA: Rhode Island,1.0,0.0,3.0,1.0,13.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0
2021-02-03,MW975041.1,USA: Rhode Island,0.0,1.0,3.0,2.0,10.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0
2021-02-09,MW985204.1,USA: Rhode Island,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2021-02-11,MW975165.1,USA: Rhode Island,0.0,0.0,5.0,1.0,12.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0
2021-02-16,MW975307.1,USA: Rhode Island,1.0,0.0,6.0,0.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-23,MW975595.1,USA: Rhode Island,1.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-02-23,MW938127.1,USA: RI,1.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-24,MW938128.1,USA: RI,1.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-25,MW975513.1,USA: Rhode Island,1.0,0.0,6.0,0.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-25,MW938125.1,USA: RI,0.0,0.0,5.0,1.0,13.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0
2021-03-01,MW975809.1,USA: Rhode Island,1.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-03-04,MZ005011.1,USA: RI,0.0,0.0,5.0,1.0,13.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0
2021-03-05,MW986259.1,USA: Rhode Island,1.0,0.0,3.0,0.0,14.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-03-06,MZ005009.1,USA: RI,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
2021-03-09,MW976185.1,USA: Rhode Island,1.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-03-09,MW888150.1,USA: RI,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2021-03-09,MW888154.1,USA: RI,1.0,0.0,2.0,1.0,16.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
2021-03-10,MW976262.1,USA: Rhode Island,1.0,0.0,2.0,1.0,14.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
2021-03-10,MW976293.1,USA: Rhode Island,1.0,0.0,2.0,1.0,14.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
2021-03-10,MW888148.1,USA: RI,1.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-03-11,MW993008.1,USA: Rhode Island,1.0,0.0,4.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-03-11,MW905169.1,USA: Rhode Island,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-11,MW905272.1,USA: Rhode Island,0.0,2.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-11,MW888144.1,USA: RI,0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
2021-03-11,MW888145.1,USA: RI,1.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-03-11,MW888146.1,USA: RI,1.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
2021-03-11,MW888149.1,USA: RI,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-03-12,MW994019.1,USA: Rhode Island,0.0,2.0,3.0,3.0,12.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0
2021-03-12,MW976323.1,USA: Rhode Island,1.0,0.0,5.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-03-12,MW976334.1,USA: Rhode Island,1.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-03-12,MW905139.1,USA: Rhode Island,0.0,2.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-03-12,MW908917.1,USA: Rhode Island,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-12,MW908935.1,USA: Rhode Island,0.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-03-12,MW888153.1,USA: RI,0.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0
2021-03-13,MW993140.1,USA: Rhode Island,0.0,2.0,3.0,3.0,13.0,0.0,2.0,4.0,1.0,2.0,3.0,2.0
2021-03-13,MW993675.1,USA: Rhode Island,0.0,0.0,4.0,1.0,15.0,0.0,2.0,3.0,0.0,1.0,1.0,6.0
2021-03-13,MW993704.1,USA: Rhode Island,0.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-13,MW994075.1,USA: Rhode Island,1.0,0.0,6.0,0.0,13.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0
2021-03-13,MW987163.1,USA: Rhode Island,1.0,0.0,6.0,1.0,15.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0
2021-03-13,MW966061.1,USA: Rhode Island,1.0,0.0,6.0,1.0,15.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0
2021-03-13,MW966408.1,USA: Rhode Island,1.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-03-13,MW888151.1,USA: RI,0.0,0.0,5.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
2021-03-14,MW987234.1,USA: Rhode Island,1.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
2021-03-15,MW994343.1,USA: Rhode Island,0.0,2.0,1.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0
2021-03-15,MW994599.1,USA: Rhode Island,1.0,0.0,3.0,0.0,10.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0
2021-03-15,MW966889.1,USA: Rhode Island,1.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-03-15,MW892295.1,USA: Rhode Island,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
2021-03-16,MW993968.1,USA: Rhode Island,0.0,2.0,3.0,3.0,13.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-03-16,MW993969.1,USA: Rhode Island,0.0,0.0,2.0,1.0,16.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
2021-03-16,MW994306.1,USA: Rhode Island,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-03-16,MW967209.1,USA: Rhode Island,0.0,1.0,4.0,1.0,17.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0
2021-03-16,MW967370.1,USA: Rhode Island,1.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
2021-03-16,MW976493.1,USA: Rhode Island,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2021-03-16,MW905025.1,USA: Rhode Island,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-17,MW976613.1,USA: Rhode Island,1.0,0.0,4.0,1.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0
2021-03-17,MW976618.1,USA: Rhode Island,1.0,0.0,4.0,1.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0
2021-03-17,MW976634.1,USA: Rhode Island,1.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-03-17,MW905910.1,USA: Rhode Island,0.0,2.0,3.0,3.0,13.0,0.0,1.0,4.0,1.0,3.0,3.0,2.0
2021-03-17,MW892282.1,USA: Rhode Island,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0
2021-03-17,MW892283.1,USA: Rhode Island,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-17,MW892284.1,USA: Rhode Island,0.0,1.0,3.0,0.0,15.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0
2021-03-17,MW892285.1,USA: Rhode Island,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0
2021-03-17,MW892299.1,USA: Rhode Island,0.0,5.0,2.0,3.0,14.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0
2021-03-17,MW892300.1,USA: Rhode Island,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
2021-03-17,MW892301.1,USA: Rhode Island,0.0,0.0,3.0,1.0,8.0,0.0,0.0,2.0,0.0,6.0,1.0,4.0
2021-03-17,MW892302.1,USA: Rhode Island,0.0,1.0,2.0,1.0,9.0,0.0,0.0,1.0,0.0,6.0,2.0,4.0
2021-03-17,MW892303.1,USA: Rhode Island,0.0,1.0,3.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,2.0,6.0
2021-03-17,MW892304.1,USA: Rhode Island,0.0,2.0,5.0,3.0,13.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-17,MW892305.1,USA: Rhode Island,0.0,2.0,5.0,3.0,13.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-17,MW892306.1,USA: Rhode Island,0.0,2.0,3.0,3.0,14.0,0.0,1.0,4.0,1.0,2.0,3.0,3.0
2021-03-17,MW892309.1,USA: Rhode Island,1.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
2021-03-17,MW892310.1,USA: Rhode Island,1.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0
2021-03-17,MW892311.1,USA: Rhode Island,0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
2021-03-17,MW892313.1,USA: Rhode Island,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
2021-03-17,MW892316.1,USA: Rhode Island,2.0,0.0,5.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-03-17,MW892341.1,USA: Rhode Island,0.0,2.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-17,MW897653.1,USA: RI,1.0,0.0,4.0,0.0,13.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0
2021-03-18,MW904287.1,USA: Rhode Island,0.0,0.0,6.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
2021-03-18,MW892287.1,USA: Rhode Island,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-03-18,MW892288.1,USA: Rhode Island,1.0,0.0,6.0,0.0,13.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0
2021-03-18,MW892290.1,USA: Rhode Island,0.0,0.0,4.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
