Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-22,MW064453.1,USA: AL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-23,MW064870.1,USA: AL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-23,MW064315.1,USA: AL,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-23,MW064314.1,USA: AL,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-13,MT820129.1,"USA: Alabama, Mobile county",0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-28,MT806756.1,USA: AL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-04-28,MT806757.1,USA: AL,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-05-01,MT786798.1,USA: AL,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-05-05,MT820130.1,"USA: Alabama, Mobile county",0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-05-10,MT820131.1,"USA: Alabama, Mobile county",0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-12,MT820128.1,"USA: Alabama, Mobile county",0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-05-12,MT820127.1,"USA: Alabama, Mobile county",0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-05-27,MT820132.1,"USA: Alabama, Mobile county",0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-08-19,MW566471.1,USA: AL,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-09-03,MW521655.1,USA: AL,0.0,1.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
2020-10-03,MW861547.1,"USA: Alabama, Morgan County",0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-10-03,MW861548.1,"USA: Alabama, Butler County",0.0,0.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2020-10-03,MW861550.1,"USA: Alabama, St.Clair County",0.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
2020-10-03,MW861551.1,"USA: Alabama, Limestone County",0.0,1.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0
2020-10-03,MW861552.1,"USA: Alabama, Butler County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-10-03,MW861553.1,"USA: Alabama, Shelby County",0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-10-03,MW861554.1,"USA: Alabama, Shelby County",0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-10-03,MW861555.1,"USA: Alabama, Morgan County",0.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-10-03,MW861556.1,"USA: Alabama, Madison County",0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
2020-10-03,MW861557.1,"USA: Alabama, Jefferson County",2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-10-03,MW861558.1,"USA: Alabama, St.Clair County",0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2020-10-03,MW861559.1,"USA: Alabama, Jefferson County",0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2020-10-03,MW861560.1,"USA: Alabama, Cleburne County",0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-10-03,MW861561.1,"USA: Alabama, Randolph County",0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-10-03,MW861562.1,"USA: Alabama, DeKalb County",0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
2020-10-03,MW861563.1,"USA: Alabama, Etowah County",0.0,1.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-10-03,MW861564.1,"USA: Alabama, Cherokee County",0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-03,MW861549.1,"USA: Alabama, Cullman County",0.0,1.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0
2020-10-05,MW861566.1,"USA: Alabama, Shelby County",0.0,0.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2020-10-05,MW861565.1,"USA: Alabama, Morgan County",0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-06,MW861594.1,"USA: Alabama, Calhoun County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-10-06,MW861599.1,"USA: Alabama, Limestone County",0.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0
2020-10-06,MW861598.1,"USA: Alabama, Jackson County",0.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0
2020-10-06,MW861597.1,"USA: Alabama, Madison County",0.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0
2020-10-06,MW861596.1,"USA: Alabama, Morgan County",0.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-10-06,MW861595.1,"USA: Alabama, Lawrence County",0.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-10-06,MW861593.1,"USA: Alabama, Cleburne County",0.0,1.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2020-10-06,MW861592.1,"USA: Alabama, Shelby County",1.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-10-06,MW861590.1,"USA: Alabama, Morgan County",0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0
2020-10-06,MW861589.1,"USA: Alabama, Jefferson County",0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-10-06,MW861588.1,"USA: Alabama, Madison County",0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-10-06,MW861587.1,"USA: Alabama, Shelby County",0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2020-10-06,MW861585.1,"USA: Alabama, Morgan County",0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
2020-10-06,MW861584.1,"USA: Alabama, Cullman County",0.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-10-06,MW861583.1,"USA: Alabama, Calhoun County",0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2020-10-06,MW861582.1,"USA: Alabama, Madison County",0.0,0.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-10-06,MW861591.1,"USA: Alabama, Calhoun County",0.0,1.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-10-06,MW861567.1,"USA: Alabama, Cullman County",0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-10-06,MW861581.1,"USA: Alabama, Madison County",0.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-10-06,MW861568.1,"USA: Alabama, Cullman County",0.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-10-06,MW861570.1,"USA: Alabama, Jefferson County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-10-06,MW861571.1,"USA: Alabama, Lauderdale County",0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-10-06,MW861572.1,"USA: Alabama, Shelby County",0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-10-06,MW861573.1,"USA: Alabama, Madison County",0.0,0.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2020-10-06,MW861569.1,"USA: Alabama, Madison County",0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-06,MW861580.1,"USA: Alabama, St.Clair County",0.0,0.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0
2020-10-06,MW861575.1,"USA: Alabama, Houston County",0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-10-06,MW861576.1,"USA: Alabama, Lawrence County",0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
