Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-10-27,MW923871.1,"USA: Alabama, Madison County",0.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-10-27,MW923872.1,"USA: Alabama, Madison County",0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2020-10-27,MW923873.1,"USA: Alabama, Lauderdale County",0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-10-27,MW923874.1,"USA: Alabama, Limestone County",0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-10-27,MW923875.1,"USA: Alabama, Coffee County",1.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-10-27,MW923876.1,"USA: Alabama, Madison County",0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-10-27,MW923877.1,"USA: Alabama, Morgan County",0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2020-10-27,MW923878.1,"USA: Alabama, Shelby County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
2020-10-27,MW923879.1,"USA: Alabama, Shelby County",0.0,0.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2020-10-27,MW923880.1,"USA: Alabama, Madison County",0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-10-27,MW923881.1,"USA: Alabama, Shelby County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-10-27,MW923882.1,"USA: Alabama, Limestone County",0.0,0.0,4.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2020-10-27,MW923883.1,"USA: Alabama, Shelby County",0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-10-27,MW923884.1,"USA: Alabama, Calhoun County",0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-10-27,MW923885.1,"USA: Alabama, Madison County",0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
2020-10-27,MW923886.1,"USA: Alabama, Winston County",0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-27,MW923887.1,"USA: Alabama, Madison County",0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
2020-10-27,MW923888.1,"USA: Alabama, Morgan County",0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-10-27,MW923889.1,"USA: Alabama, Escambia County",0.0,1.0,3.0,1.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
2020-10-27,MW923890.1,"USA: Alabama, Etowah County",0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2020-10-27,MW923891.1,"USA: Alabama, Shelby County",1.0,0.0,5.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2020-10-27,MW923892.1,"USA: Alabama, Jefferson County",0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-27,MW923893.1,"USA: Alabama, Jefferson County",0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-10-27,MW923895.1,"USA: Alabama, Montgomery County",0.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-10-27,MW923896.1,"USA: Alabama, Madison County",0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-27,MW923897.1,"USA: Alabama, Cherokee County",0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-27,MW923898.1,"USA: Alabama, Montgomery County",0.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-10-27,MW923899.1,"USA: Alabama, Blount County",0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2020-10-27,MW923900.1,"USA: Alabama, Chilton County",0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-27,MW923901.1,"USA: Alabama, Cherokee County",0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-27,MW923903.1,"USA: Alabama, Etowah County",0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0
2020-10-27,MW923904.1,"USA: Alabama, Cherokee County",0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-27,MW923905.1,"USA: Alabama, Randolph County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-10-27,MW923906.1,"USA: Alabama, Morgan County",0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2020-10-27,MW923907.1,"USA: Alabama, Morgan County",0.0,0.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2020-10-27,MW923908.1,"USA: Alabama, Randolph County",1.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2020-10-27,MW923909.1,"USA: Alabama, Randolph County",0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-10-27,MW923910.1,"USA: Alabama, Morgan County",0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-10-28,MW923911.1,"USA: Alabama, Madison County",0.0,0.0,2.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2020-10-28,MW923912.1,"USA: Alabama, Lawrence County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-10-28,MW923913.1,"USA: Alabama, Limestone County",0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
2020-10-28,MW923914.1,"USA: Alabama, Jefferson County",0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-11-03,MW923392.1,"USA: Alabama, Houston County",0.0,0.0,2.0,1.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2020-11-03,MW923393.1,"USA: Alabama, Jefferson County",0.0,0.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2020-11-03,MW923394.1,"USA: Alabama, Talladega County",0.0,0.0,2.0,1.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2020-11-03,MW923395.1,"USA: Alabama, Jefferson County",0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-11-03,MW923396.1,"USA: Alabama, Talladega County",0.0,1.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-11-03,MW923397.1,"USA: Alabama, Calhoun County",0.0,1.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
