Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-04-02,MZ046506.1,USA: Pennsylvania,1.0,0.0,3.0,1.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-04-02,MZ035096.1,USA: Pennsylvania,0.0,3.0,2.0,3.0,15.0,0.0,1.0,5.0,1.0,2.0,3.0,2.0
2021-04-02,MZ035112.1,USA: Pennsylvania,2.0,2.0,3.0,1.0,13.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-03,MZ034868.1,USA: Pennsylvania,0.0,2.0,5.0,3.0,11.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-03,MZ035019.1,USA: Pennsylvania,1.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-04-03,MZ035029.1,USA: Pennsylvania,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-03,MZ035045.1,USA: Pennsylvania,0.0,3.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-03,MZ035077.1,USA: Pennsylvania,0.0,0.0,2.0,1.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0
2021-04-03,MZ035417.1,USA: Pennsylvania,0.0,2.0,3.0,3.0,15.0,0.0,1.0,4.0,1.0,3.0,3.0,3.0
2021-04-03,MZ035473.1,USA: Pennsylvania,1.0,0.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-04-03,MZ035483.1,USA: Pennsylvania,1.0,1.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
2021-04-03,MZ035502.1,USA: Pennsylvania,0.0,3.0,2.0,3.0,13.0,0.0,1.0,4.0,1.0,3.0,3.0,2.0
2021-04-03,MZ035503.1,USA: Pennsylvania,1.0,0.0,6.0,0.0,12.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
2021-04-04,MZ035198.1,USA: Pennsylvania,0.0,3.0,2.0,4.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-04,MZ035291.1,USA: Pennsylvania,1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-04-04,MZ035293.1,USA: Pennsylvania,0.0,2.0,3.0,3.0,12.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0
2021-04-04,MZ035294.1,USA: Pennsylvania,0.0,3.0,2.0,4.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,5.0
2021-04-04,MZ035299.1,USA: Pennsylvania,0.0,2.0,4.0,4.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-04,MZ035301.1,USA: Pennsylvania,1.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-04-04,MZ035308.1,USA: Pennsylvania,1.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-04-04,MZ035326.1,USA: Pennsylvania,1.0,0.0,4.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-04-04,MZ035333.1,USA: Pennsylvania,0.0,3.0,2.0,3.0,16.0,0.0,1.0,6.0,1.0,2.0,3.0,2.0
2021-04-04,MZ035342.1,USA: Pennsylvania,0.0,3.0,3.0,3.0,13.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0
