Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-11-02,MW735947.1,USA: GA,2.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2020-12-01,MW735948.1,USA: GA,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-12-02,MW735949.1,USA: GA,0.0,1.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0
2020-12-07,MW735950.1,USA: GA,1.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2020-12-07,MW735951.1,USA: GA,0.0,1.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0
2020-12-30,MW735952.1,USA: GA,1.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-01-04,MW735953.1,USA: GA,0.0,0.0,5.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-01-04,MW735954.1,USA: GA,0.0,0.0,5.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-01-04,MW735955.1,USA: GA,0.0,0.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-01-05,MW755786.1,USA: GA,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-01-08,MW735959.1,USA: GA,0.0,0.0,3.0,0.0,13.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0
2021-01-12,MW755792.1,USA: GA,0.0,0.0,3.0,0.0,11.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0
2021-01-12,MW755793.1,USA: GA,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-01-12,MW755794.1,USA: GA,1.0,0.0,3.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
2021-01-12,MW755795.1,USA: GA,0.0,0.0,4.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,2.0,9.0
2021-01-12,MW755796.1,USA: GA,0.0,0.0,5.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-01-12,MW735956.1,USA: GA,0.0,0.0,1.0,1.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
2021-01-12,MW728299.1,USA: GA,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-01-12,MW728300.1,USA: GA,1.0,0.0,2.0,1.0,7.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0
2021-01-12,MW728301.1,USA: GA,0.0,2.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-01-12,MW728302.1,USA: GA,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2021-01-12,MW728303.1,USA: GA,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0
2021-01-12,MW728304.1,USA: GA,0.0,1.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2021-01-12,MW728312.1,USA: GA,0.0,0.0,3.0,2.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2021-01-13,MW763102.1,USA: GA,1.0,0.0,4.0,0.0,13.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0
2021-01-13,MW755775.1,USA: GA,1.0,0.0,3.0,0.0,13.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0
2021-01-13,MW735945.1,USA: GA,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
2021-01-13,MW735960.1,USA: GA,0.0,0.0,4.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
2021-01-13,MW735961.1,USA: GA,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
2021-01-13,MW728311.1,USA: GA,0.0,0.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0
2021-01-14,MW728298.1,USA: GA,1.0,0.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-01-16,MW728305.1,USA: GA,0.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-16,MW728306.1,USA: GA,1.0,0.0,3.0,1.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0
2021-01-16,MW728307.1,USA: GA,0.0,0.0,2.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
2021-01-16,MW728308.1,USA: GA,1.0,0.0,3.0,1.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0
2021-01-16,MW728309.1,USA: GA,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-01-16,MW728310.1,USA: GA,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2021-01-19,MW755776.1,USA: GA,0.0,0.0,2.0,1.0,15.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
2021-01-20,MW755777.1,USA: GA,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
2021-01-20,MW755797.1,USA: GA,0.0,0.0,4.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
2021-01-20,MW755799.1,USA: GA,0.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0
2021-01-20,MW755809.1,USA: GA,0.0,1.0,2.0,1.0,10.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0
2021-01-20,MW755810.1,USA: GA,0.0,2.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-01-26,MW735957.1,USA: GA,1.0,1.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2021-01-27,MW763103.1,USA: GA,0.0,0.0,3.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-01-27,MW763104.1,USA: GA,1.0,0.0,3.0,1.0,10.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0
2021-01-27,MW735958.1,USA: GA,0.0,1.0,2.0,0.0,14.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0
2021-01-28,MW763113.1,USA: GA,0.0,1.0,2.0,0.0,18.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0
2021-01-28,MW763114.1,USA: GA,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
2021-01-28,MW763121.1,USA: GA,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
2021-01-28,MW763122.1,USA: GA,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-01-28,MW735962.1,USA: GA,0.0,1.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-29,MW763105.1,USA: GA,1.0,0.0,5.0,3.0,11.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
