Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-02-11,MT106054.1,USA: TX,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-03-01,MT304490.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-14,MW190920.1,USA: TX,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW190922.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MW191278.1,USA: TX,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-14,MW065482.1,USA: TX,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-03-14,MT614509.1,USA: TX,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-03-15,MW065335.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW065338.1,USA: TX,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-15,MT614507.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MT614508.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-16,MW191155.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-16,MW191156.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW064985.1,USA: TX,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-16,MW064986.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW064987.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW065098.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW065333.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW065334.1,USA: TX,0.0,0.0,1.0,0.0,6.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-16,MW065336.1,USA: TX,0.0,0.0,1.0,0.0,6.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-17,MW190811.1,USA: TX,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-17,MW190812.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-17,MW190923.1,USA: TX,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-17,MW065337.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-18,MW064447.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-18,MW064448.1,USA: TX,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,MW064553.1,USA: TX,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-18,MW064554.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-18,MW064776.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-18,MW064777.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-03-18,MW064778.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-18,MW064779.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-18,MW064780.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-19,MW190528.1,USA: TX,0.0,0.0,1.0,0.0,7.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0
2020-03-19,MW064555.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-19,MW064856.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-19,MW064857.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-03-19,MW064858.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-19,MW047307.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-19,MW047308.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-20,MW190921.1,USA: TX,0.0,0.0,1.0,0.0,6.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
