Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-20,MW975374.1,USA: Massachusetts,0.0,0.0,5.0,1.0,11.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0
2021-02-20,MW975553.1,USA: Massachusetts,0.0,0.0,5.0,2.0,11.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0
2021-02-20,MW803403.1,USA: Massachusetts,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-02-20,MW803438.1,USA: Massachusetts,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-20,MW777947.1,USA: Massachusetts,0.0,2.0,2.0,1.0,15.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0
2021-02-20,MW778014.1,USA: Massachusetts,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-02-20,MW778015.1,USA: Massachusetts,1.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-20,MW778259.1,USA: Massachusetts,0.0,1.0,4.0,0.0,9.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0
2021-02-20,MW778728.1,USA: Massachusetts,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-02-20,MW773714.1,USA: Massachusetts,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-20,MW749995.1,USA: Massachusetts,1.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-20,MW733327.1,USA: Massachusetts,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2021-02-20,MW733342.1,USA: Massachusetts,0.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0
2021-02-20,MW733346.1,USA: Massachusetts,0.0,0.0,2.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0
2021-02-20,MW733349.1,USA: Massachusetts,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-02-20,MW733355.1,USA: Massachusetts,0.0,0.0,4.0,2.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
2021-02-20,MW733379.1,USA: Massachusetts,1.0,2.0,3.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0
2021-02-20,MW733383.1,USA: Massachusetts,1.0,2.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-02-20,MW733386.1,USA: Massachusetts,1.0,0.0,3.0,0.0,9.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0
2021-02-20,MW728522.1,USA: Massachusetts,0.0,0.0,3.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
2021-02-20,MW728626.1,USA: Massachusetts,0.0,1.0,4.0,1.0,13.0,0.0,0.0,3.0,1.0,5.0,0.0,3.0
2021-02-20,MW728670.1,USA: Massachusetts,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2021-02-20,MW728674.1,USA: Massachusetts,0.0,1.0,3.0,0.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
2021-02-20,MW728705.1,USA: Massachusetts,1.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-02-20,MW728708.1,USA: Massachusetts,1.0,0.0,3.0,1.0,12.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0
2021-02-20,MW719893.1,USA: Massachusetts,0.0,1.0,4.0,1.0,11.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0
2021-02-20,MW719914.1,USA: Massachusetts,1.0,1.0,3.0,0.0,7.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0
2021-02-20,MW719926.1,USA: Massachusetts,0.0,0.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
2021-02-20,MW719949.1,USA: Massachusetts,0.0,1.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0
2021-02-20,MW719994.1,USA: Massachusetts,0.0,1.0,4.0,1.0,12.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0
2021-02-20,MW720075.1,USA: Massachusetts,0.0,1.0,5.0,0.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0
2021-02-20,MW720481.1,USA: Massachusetts,1.0,0.0,3.0,1.0,9.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
2021-02-21,MW975458.1,USA: Massachusetts,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-21,MW975466.1,USA: Massachusetts,1.0,0.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-21,MW975470.1,USA: Massachusetts,1.0,0.0,6.0,1.0,14.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0
2021-02-21,MW975485.1,USA: Massachusetts,1.0,0.0,6.0,1.0,14.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0
2021-02-21,MW975496.1,USA: Massachusetts,0.0,0.0,5.0,1.0,12.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0
2021-02-21,MW975545.1,USA: Massachusetts,1.0,0.0,2.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-21,MW963579.1,USA: Massachusetts,0.0,3.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-21,MW807998.1,USA: Massachusetts,0.0,2.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
