Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-05-03,MT846528.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-04,MT846529.1,"USA: Wisconsin, Racine county",0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-06,MT846531.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-05-07,MT846533.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-05-07,MT846534.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2020-05-07,MT846535.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2020-05-12,MT846520.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
2020-05-12,MT846521.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-05-13,MT846518.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-13,MT846519.1,"USA: Wisconsin, Washington county",0.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-05-14,MT846522.1,"USA: Wisconsin, Washington county",0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2020-05-18,MT846523.1,"USA: Wisconsin, Ozaukee county",0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2020-05-19,MT846500.1,"USA: Wisconsin, Ozaukee county",0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-05-21,MT846525.1,"USA: Wisconsin, Ozaukee county",0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-05-22,MT846526.1,"USA: Wisconsin, Washington county",0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2020-05-23,MT846527.1,"USA: Wisconsin, Milwaukee county",0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
