Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-27,MZ159137.1,USA: Illinois,0.0,0.0,4.0,1.0,12.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0
2021-03-27,MZ159157.1,USA: Illinois,1.0,2.0,3.0,4.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-27,MZ159160.1,USA: Illinois,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
2021-03-27,MZ159164.1,USA: Illinois,0.0,1.0,3.0,1.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0
2021-03-27,MZ159166.1,USA: Illinois,1.0,2.0,3.0,4.0,12.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-27,MZ159168.1,USA: Illinois,1.0,2.0,3.0,4.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-03-28,MZ158845.1,USA: Illinois,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0
2021-03-28,MZ158869.1,USA: Illinois,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0
2021-03-28,MZ159058.1,USA: Illinois,0.0,2.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-29,MZ158855.1,USA: Illinois,0.0,2.0,6.0,3.0,15.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-29,MZ158862.1,USA: Illinois,1.0,0.0,4.0,0.0,18.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-03-29,MZ158868.1,USA: Illinois,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-03-29,MZ158872.1,USA: Illinois,0.0,2.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,4.0
2021-03-29,MZ158945.1,USA: Illinois,0.0,0.0,2.0,1.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-03-29,MZ158970.1,USA: Illinois,1.0,2.0,3.0,4.0,12.0,0.0,1.0,2.0,1.0,2.0,3.0,6.0
2021-03-29,MZ159175.1,USA: Illinois,0.0,0.0,5.0,2.0,14.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0
2021-03-29,MZ159203.1,USA: Illinois,1.0,2.0,4.0,4.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-29,MZ159210.1,USA: Illinois,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-29,MZ159220.1,USA: Illinois,0.0,3.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-03-30,MZ158775.1,USA: Illinois,1.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0
2021-03-30,MZ158776.1,USA: Illinois,0.0,1.0,4.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0
2021-03-30,MZ158777.1,USA: Illinois,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,4.0,3.0,3.0
2021-03-30,MZ158780.1,USA: Illinois,1.0,0.0,4.0,1.0,11.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
2021-04-05,MZ166832.1,USA: Illinois,0.0,3.0,3.0,3.0,15.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-05,MZ166833.1,USA: Illinois,0.0,4.0,3.0,3.0,14.0,0.0,1.0,2.0,2.0,4.0,3.0,3.0
2021-04-08,MZ166453.1,USA: Illinois,0.0,3.0,2.0,3.0,20.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-11,MZ166416.1,USA: Illinois,0.0,2.0,2.0,3.0,16.0,0.0,2.0,3.0,1.0,4.0,3.0,1.0
2021-04-11,MZ166425.1,USA: Illinois,0.0,2.0,5.0,3.0,15.0,0.0,1.0,4.0,1.0,3.0,4.0,2.0
2021-04-11,MZ166426.1,USA: Illinois,0.0,0.0,3.0,1.0,14.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0
2021-04-11,MZ166515.1,USA: Illinois,0.0,1.0,4.0,1.0,16.0,0.0,1.0,2.0,2.0,0.0,1.0,8.0
2021-04-12,MZ166401.1,USA: Illinois,0.0,1.0,3.0,0.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0
2021-04-12,MZ167710.1,USA: Illinois,1.0,0.0,6.0,0.0,12.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0
2021-04-12,MZ131171.1,USA: Illinois,1.0,2.0,3.0,4.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-12,MZ131172.1,USA: Illinois,0.0,2.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-04-12,MZ131190.1,USA: Illinois,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-04-12,MZ131203.1,USA: Illinois,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
2021-04-12,MZ131205.1,USA: Illinois,0.0,2.0,5.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,4.0,2.0
2021-04-13,MZ166504.1,USA: Illinois,0.0,2.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,3.0
2021-04-13,MZ130973.1,USA: Illinois,2.0,2.0,3.0,1.0,17.0,1.0,1.0,4.0,0.0,4.0,2.0,4.0
2021-04-13,MZ130989.1,USA: Illinois,0.0,2.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-13,MZ130990.1,USA: Illinois,0.0,2.0,6.0,3.0,18.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-13,MZ130991.1,USA: Illinois,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-13,MZ131021.1,USA: Illinois,2.0,2.0,3.0,1.0,17.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-13,MZ131031.1,USA: Illinois,1.0,2.0,4.0,4.0,12.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-13,MZ131048.1,USA: Illinois,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,5.0
2021-04-13,MZ131049.1,USA: Illinois,1.0,0.0,4.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-04-13,MZ131060.1,USA: Illinois,0.0,2.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0
2021-04-13,MZ131061.1,USA: Illinois,0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-13,MZ131123.1,USA: Illinois,1.0,0.0,4.0,0.0,17.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0
2021-04-13,MZ131204.1,USA: Illinois,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-13,MZ131207.1,USA: Illinois,0.0,3.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-13,MZ131211.1,USA: Illinois,0.0,2.0,5.0,3.0,18.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ166557.1,USA: Illinois,0.0,2.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-14,MZ132879.1,USA: Illinois,2.0,2.0,3.0,1.0,20.0,1.0,1.0,3.0,0.0,4.0,2.0,4.0
2021-04-14,MZ132921.1,USA: Illinois,2.0,2.0,4.0,1.0,16.0,1.0,1.0,2.0,0.0,5.0,2.0,4.0
2021-04-15,MZ144385.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,2.0,2.0,0.0,4.0,2.0,4.0
2021-04-15,MZ131682.1,USA: Illinois,0.0,2.0,3.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-15,MZ131983.1,USA: Illinois,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,5.0
2021-04-15,MZ132798.1,USA: Illinois,0.0,3.0,2.0,3.0,20.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-15,MZ132820.1,USA: Illinois,2.0,2.0,4.0,1.0,18.0,1.0,1.0,2.0,0.0,4.0,3.0,4.0
2021-04-15,MZ132828.1,USA: Illinois,0.0,2.0,4.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-15,MZ133131.1,USA: Illinois,0.0,2.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0
2021-04-15,MZ142912.1,USA: Illinois,0.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0
2021-04-16,MZ154071.1,USA: Illinois,0.0,3.0,2.0,3.0,18.0,0.0,2.0,3.0,1.0,2.0,3.0,1.0
2021-04-16,MZ144314.1,USA: Illinois,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-16,MZ144316.1,USA: Illinois,2.0,2.0,3.0,1.0,17.0,1.0,1.0,3.0,0.0,4.0,2.0,4.0
2021-04-16,MZ144318.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,5.0,2.0,4.0
2021-04-16,MZ144320.1,USA: Illinois,2.0,2.0,4.0,1.0,16.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-16,MZ144323.1,USA: Illinois,2.0,2.0,5.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-16,MZ144324.1,USA: Illinois,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,5.0
2021-04-16,MZ144325.1,USA: Illinois,2.0,2.0,3.0,1.0,16.0,1.0,1.0,3.0,0.0,4.0,2.0,4.0
2021-04-16,MZ131405.1,USA: Illinois,0.0,4.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-16,MZ131420.1,USA: Illinois,1.0,2.0,3.0,4.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-16,MZ131421.1,USA: Illinois,0.0,3.0,2.0,3.0,18.0,0.0,1.0,3.0,1.0,4.0,3.0,1.0
2021-04-16,MZ131430.1,USA: Illinois,0.0,2.0,4.0,2.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-16,MZ131447.1,USA: Illinois,1.0,4.0,2.0,4.0,14.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0
2021-04-16,MZ131454.1,USA: Illinois,0.0,4.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0
2021-04-16,MZ131464.1,USA: Illinois,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-04-16,MZ131484.1,USA: Illinois,0.0,2.0,3.0,5.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-16,MZ131492.1,USA: Illinois,0.0,2.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-16,MZ131498.1,USA: Illinois,0.0,2.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,4.0,1.0
2021-04-16,MZ131516.1,USA: Illinois,0.0,2.0,5.0,3.0,18.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-16,MZ131523.1,USA: Illinois,1.0,2.0,3.0,4.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-16,MZ131538.1,USA: Illinois,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,4.0,3.0,3.0
2021-04-16,MZ131715.1,USA: Illinois,0.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-04-16,MZ131945.1,USA: Illinois,1.0,1.0,5.0,0.0,18.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-04-16,MZ131946.1,USA: Illinois,0.0,2.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-04-16,MZ131966.1,USA: Illinois,0.0,2.0,4.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-16,MZ131972.1,USA: Illinois,0.0,2.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-16,MZ132004.1,USA: Illinois,1.0,2.0,3.0,4.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0
2021-04-16,MZ132028.1,USA: Illinois,0.0,3.0,4.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-16,MZ132064.1,USA: Illinois,0.0,3.0,6.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-04-16,MZ132073.1,USA: Illinois,0.0,3.0,3.0,3.0,16.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0
2021-04-16,MZ132425.1,USA: Illinois,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
