Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-10,MW975196.1,USA: Massachusetts,1.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-10,MW834704.1,USA: Massachusetts,0.0,0.0,5.0,1.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-02-10,MW750030.1,USA: Massachusetts,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-10,MW750031.1,USA: Massachusetts,0.0,3.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-10,MW750034.1,USA: Massachusetts,0.0,0.0,4.0,1.0,10.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0
2021-02-10,MW750035.1,USA: Massachusetts,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0
2021-02-10,MW750037.1,USA: Massachusetts,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-10,MW750051.1,USA: Massachusetts,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-02-10,MW750092.1,USA: Massachusetts,1.0,0.0,2.0,1.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-10,MW750093.1,USA: Massachusetts,0.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0
2021-02-10,MW720573.1,USA: Massachusetts,0.0,3.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-10,MW705592.1,USA: Massachusetts,1.0,0.0,2.0,1.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-02-10,MW705978.1,USA: Massachusetts,0.0,0.0,3.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
2021-02-10,MW707191.1,USA: Massachusetts,0.0,0.0,3.0,0.0,14.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0
2021-02-10,MW707192.1,USA: Massachusetts,1.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-02-10,MW693721.1,USA: Massachusetts,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-10,MW693722.1,USA: Massachusetts,1.0,2.0,2.0,0.0,17.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0
2021-02-10,MW693746.1,USA: Massachusetts,0.0,1.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0
2021-02-10,MW693786.1,USA: Massachusetts,1.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
2021-02-10,MW696978.1,USA: Massachusetts,0.0,0.0,3.0,1.0,13.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0
