Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-09,MW993009.1,USA: Maryland,0.0,1.0,2.0,0.0,19.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0
2021-03-12,MW993067.1,USA: Maryland,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0
2021-03-12,MW993130.1,USA: Maryland,0.0,2.0,5.0,2.0,14.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-03-12,MW993682.1,USA: Maryland,1.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-03-13,MW993710.1,USA: Maryland,0.0,2.0,4.0,3.0,13.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-03-13,MW993773.1,USA: Maryland,0.0,3.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-03-13,MW993823.1,USA: Maryland,0.0,3.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,4.0,3.0,2.0
2021-03-15,MW993758.1,USA: Maryland,1.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-03-16,MZ010550.1,USA: Maryland,0.0,3.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0
2021-03-20,MW992922.1,USA: Maryland,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-20,MW992942.1,USA: Maryland,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-03-21,MW992943.1,USA: Maryland,0.0,2.0,3.0,4.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-21,MW992944.1,USA: Maryland,0.0,3.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-21,MW992974.1,USA: Maryland,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-21,MW992975.1,USA: Maryland,0.0,2.0,4.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-03-22,MW992946.1,USA: Maryland,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-03-22,MW993401.1,USA: Maryland,1.0,0.0,2.0,1.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
2021-03-23,MZ011931.1,USA: Maryland,0.0,0.0,1.0,0.0,13.0,0.0,0.0,4.0,0.0,3.0,1.0,2.0
2021-03-23,MW993398.1,USA: Maryland,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
2021-03-23,MW993529.1,USA: Maryland,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-24,MZ012026.1,USA: Maryland,0.0,3.0,3.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,3.0
2021-03-24,MW993377.1,USA: Maryland,0.0,0.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0
2021-03-24,MW993390.1,USA: Maryland,0.0,1.0,3.0,1.0,8.0,0.0,0.0,2.0,0.0,4.0,1.0,5.0
2021-03-24,MW993500.1,USA: Maryland,0.0,4.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-03-25,MZ023140.1,USA: Maryland,0.0,1.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0
2021-03-25,MZ011887.1,USA: Maryland,0.0,3.0,3.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,3.0
2021-03-25,MZ011906.1,USA: Maryland,0.0,0.0,2.0,0.0,21.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
2021-03-26,MZ022850.1,USA: Maryland,0.0,3.0,3.0,3.0,17.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-03-26,MZ012552.1,USA: Maryland,0.0,0.0,5.0,1.0,14.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0
2021-03-26,MW990953.1,USA: Maryland,0.0,1.0,6.0,0.0,13.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0
2021-03-26,MW990961.1,USA: Maryland,0.0,3.0,4.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-03-27,MZ022931.1,USA: Maryland,0.0,3.0,3.0,3.0,11.0,0.0,1.0,2.0,1.0,5.0,3.0,4.0
2021-03-27,MZ022962.1,USA: Maryland,1.0,0.0,6.0,0.0,12.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-03-27,MZ022964.1,USA: Maryland,0.0,0.0,5.0,0.0,12.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0
2021-03-27,MZ022965.1,USA: Maryland,0.0,3.0,2.0,3.0,18.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-27,MZ023021.1,USA: Maryland,1.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-03-27,MZ023117.1,USA: Maryland,0.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-27,MZ023152.1,USA: Maryland,0.0,3.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,3.0,3.0,3.0
2021-03-27,MZ023471.1,USA: Maryland,0.0,4.0,3.0,3.0,12.0,0.0,1.0,4.0,1.0,3.0,3.0,2.0
2021-03-27,MZ023473.1,USA: Maryland,0.0,1.0,3.0,1.0,10.0,0.0,0.0,2.0,1.0,1.0,2.0,5.0
