Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-28,MZ006910.1,USA: Michigan,0.0,3.0,3.0,3.0,18.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-03-29,MZ006857.1,USA: Michigan,1.0,2.0,2.0,3.0,14.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0
2021-03-29,MZ006860.1,USA: Michigan,0.0,3.0,3.0,3.0,17.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-03-29,MZ006863.1,USA: Michigan,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-29,MZ006864.1,USA: Michigan,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-29,MZ006868.1,USA: Michigan,0.0,3.0,3.0,3.0,17.0,0.0,1.0,3.0,2.0,3.0,3.0,3.0
2021-03-29,MZ006875.1,USA: Michigan,0.0,3.0,3.0,4.0,18.0,0.0,1.0,3.0,1.0,4.0,3.0,3.0
2021-03-29,MZ006876.1,USA: Michigan,0.0,3.0,3.0,4.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-29,MZ006880.1,USA: Michigan,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-29,MZ006892.1,USA: Michigan,0.0,3.0,3.0,3.0,17.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-03-29,MZ006895.1,USA: Michigan,1.0,2.0,2.0,3.0,13.0,0.0,2.0,3.0,1.0,2.0,3.0,1.0
2021-03-29,MZ006904.1,USA: Michigan,0.0,3.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-29,MZ006907.1,USA: Michigan,1.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-03-29,MZ006914.1,USA: Michigan,1.0,2.0,6.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-03-29,MZ006921.1,USA: Michigan,1.0,0.0,3.0,1.0,14.0,0.0,0.0,3.0,2.0,3.0,1.0,3.0
2021-03-29,MZ006924.1,USA: Michigan,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-29,MZ006925.1,USA: Michigan,0.0,3.0,3.0,3.0,17.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-03-29,MZ006926.1,USA: Michigan,1.0,2.0,3.0,3.0,17.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0
2021-03-29,MZ006928.1,USA: Michigan,1.0,2.0,2.0,3.0,16.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0
2021-03-29,MZ006931.1,USA: Michigan,1.0,2.0,2.0,3.0,13.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0
2021-03-29,MZ006932.1,USA: Michigan,0.0,2.0,6.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,5.0
2021-03-30,MZ006771.1,USA: Michigan,0.0,0.0,3.0,1.0,12.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0
2021-03-30,MZ006772.1,USA: Michigan,0.0,3.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-03-30,MZ006773.1,USA: Michigan,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-30,MZ006781.1,USA: Michigan,0.0,1.0,2.0,0.0,11.0,0.0,0.0,5.0,1.0,0.0,1.0,9.0
