Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-04,MZ028821.1,USA: RI,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0
2021-01-07,MZ028824.1,USA: RI,0.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2021-01-08,MZ028827.1,USA: RI,0.0,0.0,3.0,1.0,12.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0
2021-01-08,MZ028829.1,USA: RI,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-01-08,MZ028830.1,USA: RI,1.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-01-08,MZ028831.1,USA: RI,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-01-12,MZ028832.1,USA: RI,0.0,0.0,3.0,2.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-01-13,MZ028835.1,USA: RI,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-01-14,MZ028836.1,USA: RI,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-01-14,MZ028825.1,USA: RI,1.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-01-14,MW730939.1,USA: RI,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-01-15,MZ028822.1,USA: RI,1.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-01-19,MW708573.1,USA: RI,0.0,0.0,4.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0
2021-01-19,MW708574.1,USA: RI,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-01-22,MW708571.1,USA: RI,0.0,0.0,5.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-01-22,MW708583.1,USA: RI,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
