Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-25,MW816586.1,USA: TX,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
2021-01-25,MW816587.1,USA: TX,0.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
2021-01-25,MW816588.1,USA: TX,0.0,1.0,2.0,0.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0
2021-01-25,MW816590.1,USA: TX,0.0,1.0,3.0,0.0,13.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0
2021-01-28,MW816591.1,USA: TX,0.0,1.0,3.0,0.0,13.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0
2021-01-28,MW816592.1,USA: TX,0.0,1.0,3.0,0.0,13.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0
2021-01-28,MW816593.1,USA: TX,1.0,1.0,3.0,1.0,11.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0
2021-01-28,MW816594.1,USA: TX,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-01-30,MW816596.1,USA: TX,1.0,0.0,2.0,0.0,13.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0
2021-02-01,MW816597.1,USA: TX,0.0,0.0,4.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
2021-02-01,MW816598.1,USA: TX,0.0,1.0,3.0,2.0,12.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0
2021-02-02,MW816599.1,USA: TX,0.0,1.0,3.0,0.0,13.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0
2021-02-02,MW816601.1,USA: TX,0.0,1.0,3.0,0.0,13.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0
2021-02-02,MW816602.1,USA: TX,0.0,1.0,3.0,0.0,13.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0
2021-02-02,MW816604.1,USA: TX,0.0,0.0,2.0,1.0,14.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
2021-02-03,MW816606.1,USA: TX,1.0,0.0,3.0,1.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
2021-02-03,MW816608.1,USA: TX,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
2021-02-03,MW816610.1,USA: TX,0.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0
2021-02-05,MW816612.1,USA: TX,0.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0
