Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-07,MW549890.1,USA: CA,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2021-01-07,MW549917.1,USA: CA,0.0,2.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0
2021-01-08,MW577100.1,USA: California,0.0,0.0,4.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-01-08,MW577101.1,USA: California,0.0,1.0,2.0,0.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0
2021-01-08,MW577104.1,USA: California,0.0,2.0,3.0,1.0,12.0,0.0,0.0,3.0,1.0,1.0,0.0,8.0
2021-01-08,MW577107.1,USA: California,0.0,2.0,2.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0
2021-01-08,MW549896.1,USA: CA,1.0,0.0,2.0,1.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0
2021-01-08,MW549900.1,USA: CA,0.0,2.0,2.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0
2021-01-08,MW549905.1,USA: CA,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-01-08,MW549907.1,USA: CA,0.0,0.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-01-08,MW549908.1,USA: CA,0.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-01-08,MW549909.1,USA: CA,0.0,2.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-01-08,MW549916.1,USA: CA,0.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-01-08,MW549918.1,USA: CA,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-01-08,MW549920.1,USA: CA,0.0,1.0,4.0,1.0,15.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0
2021-01-08,MW549924.1,USA: CA,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2021-01-09,MW586736.1,USA: CA,1.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-01-09,MW586785.1,USA: CA,0.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-01-09,MW586786.1,USA: CA,0.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2021-01-09,MW560904.1,USA: California,0.0,1.0,2.0,0.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
2021-01-09,MW549883.1,USA: CA,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2021-01-09,MW549886.1,USA: CA,0.0,1.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0
2021-01-09,MW549887.1,USA: CA,0.0,0.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-01-09,MW549915.1,USA: CA,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-01-09,MW549921.1,USA: CA,1.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-01-10,MW586702.1,USA: CA,0.0,1.0,2.0,0.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2021-01-10,MW586737.1,USA: CA,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0
2021-01-10,MW586738.1,USA: CA,0.0,0.0,2.0,0.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-10,MW586739.1,USA: CA,0.0,1.0,2.0,0.0,14.0,0.0,0.0,2.0,1.0,2.0,0.0,6.0
2021-01-10,MW586740.1,USA: CA,0.0,2.0,1.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
2021-01-10,MW586787.1,USA: CA,1.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
2021-01-10,MW586788.1,USA: CA,0.0,1.0,3.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0
2021-01-10,MW586789.1,USA: CA,0.0,0.0,3.0,2.0,13.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0
2021-01-10,MW560905.1,USA: California,0.0,1.0,2.0,0.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
2021-01-10,MW560906.1,USA: California,0.0,1.0,2.0,0.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0
2021-01-10,MW560907.1,USA: California,0.0,1.0,3.0,0.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0
