Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-09,MW268728.1,USA: New Mexico,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MW191228.1,USA: NM,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-07,MW493669.1,USA: New Mexico,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-30,MT786834.1,USA: NM,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-30,MT786833.1,USA: NM,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,MT786832.1,USA: NM,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
2020-04-30,MT786835.1,USA: NM,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-04-30,MT806795.1,USA: NM,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-30,MT806796.1,USA: NM,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-04-30,MT786830.1,USA: NM,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-04-30,MT786831.1,USA: NM,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-05-01,MT786836.1,USA: NM,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-06-01,MW006559.1,USA: NM,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-01,MW006556.1,USA: NM,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-01,MW006557.1,USA: NM,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-09,MW070033.1,USA: New Mexico,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-09,MW070035.1,USA: New Mexico,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2020-06-09,MW070036.1,USA: New Mexico,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-09,MW070037.1,USA: New Mexico,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-09,MW070038.1,USA: New Mexico,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-15,MW006561.1,USA: NM,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-15,MW006567.1,USA: NM,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-15,MW006565.1,USA: NM,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2020-06-15,MW006560.1,USA: NM,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-15,MW493670.1,USA: New Mexico,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
