Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-01,MW738305.1,"USA: CA, Alameda County",0.0,1.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-01-01,MW738307.1,"USA: CA, Alameda County",1.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
2021-01-01,MW738309.1,"USA: CA, Alameda County",0.0,0.0,3.0,0.0,14.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
2021-01-02,MW738325.1,"USA: CA, Alameda County",0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,MW738326.1,"USA: CA, Alameda County",0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2021-01-02,MW738327.1,"USA: CA, Alameda County",0.0,1.0,2.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0
2021-01-02,MW738328.1,"USA: CA, Alameda County",0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2021-01-02,MW738330.1,"USA: CA, Alameda County",1.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0
2021-01-03,MW738303.1,"USA: CA, Alameda County",0.0,0.0,4.0,0.0,7.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0
2021-01-03,MW738322.1,"USA: CA, Alameda County",0.0,0.0,2.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2021-01-03,MW738323.1,"USA: CA, Alameda County",0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-01-03,MW738415.1,USA: CA,0.0,0.0,2.0,0.0,14.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0
2021-01-03,MW738421.1,USA: CA,0.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2021-01-04,MW738200.1,USA: CA,0.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2021-01-04,MW738333.1,"USA: CA, Alameda County",2.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
2021-01-04,MW738347.1,USA: CA,0.0,1.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
2021-01-04,MW738355.1,USA: CA,0.0,2.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-01-04,MW738372.1,USA: CA,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-01-04,MW738409.1,USA: CA,0.0,0.0,2.0,2.0,12.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
2021-01-04,MW738412.1,USA: CA,0.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0
2021-01-04,MW738414.1,USA: CA,0.0,0.0,4.0,1.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-01-05,MW738203.1,USA: CA,0.0,0.0,3.0,1.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0
2021-01-05,MW738206.1,USA: CA,0.0,0.0,4.0,1.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-05,MW738298.1,"USA: CA, Alameda County",0.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0
2021-01-05,MW738394.1,USA: CA,0.0,0.0,2.0,0.0,15.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-01-06,MW738294.1,"USA: CA, Alameda County",0.0,0.0,3.0,1.0,14.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0
2021-01-06,MW738295.1,"USA: CA, Alameda County",0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-06,MW738297.1,"USA: CA, Alameda County",0.0,0.0,3.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-01-11,MW738115.1,"USA: CA, Alameda County",0.0,1.0,2.0,0.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0
2021-01-11,MW738508.1,"USA: CA, Orange County",0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0
2021-01-11,MW738513.1,"USA: CA, Orange County",0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0
2021-01-11,MW738514.1,"USA: CA, Orange County",0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0
2021-01-11,MW738516.1,"USA: CA, Orange County",0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0
2021-01-11,MW738526.1,"USA: CA, Orange County",0.0,0.0,3.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0
