Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-07,MT344950.1,USA: IN,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-08,MT344951.1,USA: IN,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-12,MT627422.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,MW190967.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-14,MW190658.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,MW190968.1,USA: IN,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW191369.1,USA: IN,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-15,MW191370.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW190766.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW190767.1,USA: IN,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW190768.1,USA: IN,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW064900.1,USA: IN,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW065015.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW065016.1,USA: IN,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW065018.1,USA: IN,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW065019.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW065232.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW065235.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,MW065233.1,USA: IN,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-16,MW065234.1,USA: IN,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
2020-03-17,MW190377.1,USA: IN,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-17,MW190378.1,USA: IN,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-17,MW190471.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-17,MW190769.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,MW065017.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,MT786817.1,USA: IN,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-04-28,MT786818.1,USA: IN,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-04-29,MT806787.1,USA: IN,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-04-29,MT786819.1,USA: IN,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2020-08-20,MZ147823.1,USA: IN,0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-11-06,MW406538.1,USA: IN,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
2020-11-06,MW406539.1,USA: IN,0.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0
2020-11-06,MW406536.1,USA: IN,0.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
2020-11-06,MW406540.1,USA: IN,0.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
2020-11-07,MW406537.1,USA: IN,0.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
2020-12-28,MW731020.1,USA: IN,0.0,0.0,3.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
2020-12-30,MW938053.1,USA: IN,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
2020-12-30,MW731022.1,USA: IN,0.0,0.0,3.0,1.0,13.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0
2020-12-30,MW731023.1,USA: IN,0.0,1.0,2.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2020-12-31,MW731019.1,USA: IN,0.0,0.0,5.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-12-31,MW731021.1,USA: IN,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-01-23,MW974941.1,USA: Indiana,1.0,1.0,5.0,0.0,11.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
2021-02-03,MW721330.1,USA: Indiana,0.0,2.0,2.0,3.0,15.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0
2021-02-09,MW704859.1,USA: Indiana,0.0,0.0,3.0,0.0,14.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0
2021-02-09,MW704865.1,USA: Indiana,0.0,0.0,3.0,2.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2021-02-09,MW705915.1,USA: Indiana,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0
2021-02-10,MW721424.1,USA: Indiana,0.0,1.0,3.0,3.0,12.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0
2021-02-10,MW773831.1,USA: Indiana,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-02-12,MW767241.1,USA: Indiana,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
2021-02-12,MW767264.1,USA: Indiana,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
2021-02-12,MW767268.1,USA: Indiana,0.0,0.0,4.0,1.0,13.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0
2021-02-12,MW767335.1,USA: Indiana,0.0,0.0,2.0,1.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-12,MW767358.1,USA: Indiana,1.0,0.0,2.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
2021-02-12,MW707272.1,USA: Indiana,0.0,1.0,6.0,0.0,12.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0
2021-02-12,MW707275.1,USA: Indiana,1.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
2021-02-13,MW706724.1,USA: Indiana,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0
2021-02-13,MW767338.1,USA: Indiana,0.0,0.0,3.0,2.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2021-02-13,MW781918.1,USA: Indiana,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-13,MW777305.1,USA: Indiana,0.0,0.0,3.0,0.0,14.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0
2021-02-13,MW777298.1,USA: Indiana,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-02-13,MW777297.1,USA: Indiana,0.0,0.0,3.0,2.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
