Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-10-14,MW883190.1,USA: New Mexico,0.0,1.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2020-10-14,MW883191.1,USA: New Mexico,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2020-10-14,MW883192.1,USA: New Mexico,0.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-10-14,MW883195.1,USA: New Mexico,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-10-14,MW883197.1,USA: New Mexico,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-10-15,MW883199.1,USA: New Mexico,0.0,1.0,1.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-10-15,MW883200.1,USA: New Mexico,0.0,1.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
2020-10-15,MW883201.1,USA: New Mexico,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2020-10-15,MW883202.1,USA: New Mexico,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0
2020-10-15,MW883203.1,USA: New Mexico,0.0,0.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2020-10-15,MW883204.1,USA: New Mexico,0.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
2020-10-15,MW883205.1,USA: New Mexico,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2020-10-15,MW883206.1,USA: New Mexico,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-10-15,MW883207.1,USA: New Mexico,0.0,0.0,2.0,1.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
2020-10-15,MW883209.1,USA: New Mexico,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-15,MW883210.1,USA: New Mexico,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-15,MW883211.1,USA: New Mexico,0.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-10-15,MW883212.1,USA: New Mexico,0.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0
2020-10-15,MW883213.1,USA: New Mexico,0.0,0.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2020-10-15,MW883214.1,USA: New Mexico,0.0,1.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-10-15,MW883215.1,USA: New Mexico,0.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0
2020-10-15,MW883216.1,USA: New Mexico,0.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
2020-10-15,MW883217.1,USA: New Mexico,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-15,MW883218.1,USA: New Mexico,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-10-15,MW883219.1,USA: New Mexico,0.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0
2020-10-15,MW883220.1,USA: New Mexico,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-10-15,MW883221.1,USA: New Mexico,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-10-15,MW883223.1,USA: New Mexico,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-10-15,MW883224.1,USA: New Mexico,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-15,MW883225.1,USA: New Mexico,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-15,MW883226.1,USA: New Mexico,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-10-15,MW883227.1,USA: New Mexico,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2020-10-15,MW883228.1,USA: New Mexico,0.0,0.0,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-10-15,MW883229.1,USA: New Mexico,0.0,1.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-10-15,MW883230.1,USA: New Mexico,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-15,MW883232.1,USA: New Mexico,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-15,MW883233.1,USA: New Mexico,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-10-15,MW883235.1,USA: New Mexico,0.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-01-05,MW850316.1,USA: NM,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-01-09,MW850277.1,USA: NM,1.0,0.0,6.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
2021-01-09,MW850297.1,USA: NM,0.0,1.0,2.0,0.0,16.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0
2021-01-09,MW850317.1,USA: NM,0.0,1.0,2.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
2021-02-21,MW911387.1,USA: New Mexico,1.0,0.0,3.0,1.0,11.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0
2021-02-22,MW892476.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-22,MW892503.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-22,MW892505.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-22,MW892513.1,USA: New Mexico,0.0,4.0,2.0,3.0,18.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892471.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892473.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892475.1,USA: New Mexico,0.0,4.0,2.0,3.0,18.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0
2021-02-23,MW892479.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892481.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892482.1,USA: New Mexico,0.0,4.0,2.0,3.0,19.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892483.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892484.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892489.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892498.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892506.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW892511.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-23,MW892512.1,USA: New Mexico,0.0,4.0,2.0,3.0,18.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-23,MW803538.1,USA: New Mexico,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0
2021-02-24,MW892500.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-24,MW892509.1,USA: New Mexico,0.0,4.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-02-26,MW911386.1,USA: New Mexico,0.0,0.0,5.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-02-28,MW850925.1,USA: New Mexico,0.0,1.0,2.0,0.0,10.0,0.0,0.0,3.0,1.0,1.0,0.0,8.0
2021-02-28,MW850926.1,USA: New Mexico,0.0,1.0,3.0,0.0,11.0,0.0,0.0,3.0,1.0,1.0,0.0,8.0
2021-02-28,MW850946.1,USA: New Mexico,0.0,1.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0
2021-02-28,MW850993.1,USA: New Mexico,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0
2021-03-01,MW849901.1,USA: NM,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-03-01,MW849903.1,USA: NM,0.0,0.0,3.0,0.0,17.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0
2021-03-01,MW820245.1,USA: New Mexico,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-03-01,MW820246.1,USA: New Mexico,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0
2021-03-02,MW851045.1,USA: New Mexico,0.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0
2021-03-02,MW849898.1,USA: NM,0.0,0.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-03-02,MW849900.1,USA: NM,1.0,1.0,4.0,0.0,13.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0
2021-03-02,MW849904.1,USA: NM,1.0,1.0,2.0,0.0,17.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0
2021-03-02,MW840978.1,USA: New Mexico,0.0,2.0,6.0,4.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-03,MW849896.1,USA: NM,0.0,1.0,1.0,0.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0
2021-03-03,MW849902.1,USA: NM,1.0,0.0,4.0,2.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0
2021-03-03,MW842218.1,USA: New Mexico,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-03,MW842223.1,USA: New Mexico,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-04,MW820231.1,USA: New Mexico,0.0,0.0,3.0,2.0,14.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
2021-03-04,MW820232.1,USA: New Mexico,0.0,1.0,3.0,0.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0
2021-03-04,MW820233.1,USA: New Mexico,1.0,0.0,3.0,1.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0
2021-03-04,MW820236.1,USA: New Mexico,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0
2021-03-04,MW820237.1,USA: New Mexico,0.0,0.0,3.0,1.0,7.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0
2021-03-04,MW820238.1,USA: New Mexico,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0
2021-03-04,MW820239.1,USA: New Mexico,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0
2021-03-04,MW820251.1,USA: New Mexico,0.0,1.0,2.0,0.0,18.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0
2021-03-04,MW820252.1,USA: New Mexico,0.0,1.0,2.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-03-05,MW842125.1,USA: New Mexico,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-05,MW820240.1,USA: New Mexico,0.0,1.0,3.0,0.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0
2021-03-05,MW820241.1,USA: New Mexico,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
2021-03-05,MW820242.1,USA: New Mexico,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
2021-03-05,MW820243.1,USA: New Mexico,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
2021-03-05,MW820244.1,USA: New Mexico,0.0,0.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-03-05,MW820250.1,USA: New Mexico,0.0,0.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
2021-03-05,MW813094.1,USA: New Mexico,0.0,0.0,4.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-03-06,MW820264.1,USA: New Mexico,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-03-06,MW813110.1,USA: New Mexico,0.0,0.0,4.0,0.0,15.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0
2021-03-07,MW813130.1,USA: New Mexico,0.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0
2021-03-08,MW904917.1,USA: New Mexico,0.0,2.0,3.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,4.0,1.0
2021-03-08,MW850042.1,USA: NM,1.0,0.0,3.0,1.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
