Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-12,MW767249.1,USA: North Carolina,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-12,MW767269.1,USA: North Carolina,0.0,1.0,4.0,0.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0
2021-02-12,MW767342.1,USA: North Carolina,0.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-12,MW767353.1,USA: North Carolina,1.0,0.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0
2021-02-12,MW767362.1,USA: North Carolina,0.0,0.0,3.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
2021-02-13,MW781898.1,USA: North Carolina,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-02-13,MW767190.1,USA: North Carolina,0.0,0.0,4.0,0.0,14.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
2021-02-13,MW767200.1,USA: North Carolina,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0
2021-02-13,MW767204.1,USA: North Carolina,0.0,0.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2021-02-13,MW767207.1,USA: North Carolina,0.0,0.0,2.0,0.0,19.0,0.0,0.0,2.0,0.0,2.0,1.0,5.0
2021-02-13,MW767209.1,USA: North Carolina,1.0,0.0,2.0,1.0,5.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0
2021-02-13,MW767212.1,USA: North Carolina,0.0,2.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-02-13,MW767218.1,USA: North Carolina,0.0,0.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2021-02-13,MW767226.1,USA: North Carolina,0.0,0.0,2.0,0.0,19.0,0.0,0.0,2.0,0.0,2.0,1.0,5.0
2021-02-13,MW767227.1,USA: North Carolina,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-02-13,MW767229.1,USA: North Carolina,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0
2021-02-13,MW767232.1,USA: North Carolina,0.0,2.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-02-15,MW777609.1,USA: North Carolina,0.0,0.0,2.0,1.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0
2021-02-15,MW777626.1,USA: North Carolina,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0
2021-02-15,MW777634.1,USA: North Carolina,0.0,0.0,3.0,0.0,15.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0
2021-02-15,MW777636.1,USA: North Carolina,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0
2021-02-15,MW777637.1,USA: North Carolina,0.0,0.0,5.0,1.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
2021-02-15,MW777649.1,USA: North Carolina,0.0,1.0,2.0,1.0,13.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-02-15,MW777655.1,USA: North Carolina,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2021-02-15,MW777662.1,USA: North Carolina,0.0,0.0,3.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0
2021-02-15,MW777663.1,USA: North Carolina,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0
2021-02-15,MW777666.1,USA: North Carolina,0.0,1.0,5.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-02-15,MW777830.1,USA: North Carolina,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-02-15,MW778387.1,USA: North Carolina,0.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-16,MW777686.1,USA: North Carolina,0.0,1.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-16,MW777693.1,USA: North Carolina,0.0,1.0,5.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
2021-02-16,MW777697.1,USA: North Carolina,1.0,1.0,4.0,0.0,14.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0
2021-02-16,MW777698.1,USA: North Carolina,0.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-02-16,MW777706.1,USA: North Carolina,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-02-16,MW777735.1,USA: North Carolina,1.0,0.0,4.0,0.0,13.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0
2021-02-16,MW777759.1,USA: North Carolina,1.0,0.0,2.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0
2021-02-16,MW777762.1,USA: North Carolina,1.0,0.0,2.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0
2021-02-16,MW777778.1,USA: North Carolina,0.0,0.0,3.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0
2021-02-16,MW777782.1,USA: North Carolina,1.0,0.0,4.0,0.0,13.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0
2021-02-16,MW777783.1,USA: North Carolina,0.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0
2021-02-16,MW777784.1,USA: North Carolina,0.0,1.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-02-16,MW777866.1,USA: North Carolina,0.0,0.0,5.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-02-16,MW777869.1,USA: North Carolina,0.0,0.0,2.0,1.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0
2021-02-17,MW777441.1,USA: North Carolina,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-02-17,MW777457.1,USA: North Carolina,1.0,0.0,5.0,1.0,5.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0
2021-02-17,MW777476.1,USA: North Carolina,0.0,1.0,1.0,1.0,16.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0
2021-02-17,MW777496.1,USA: North Carolina,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
2021-02-17,MW777737.1,USA: North Carolina,0.0,1.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
