Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-10-21,MW930482.1,"USA: Alabama, Morgan County",0.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-10-21,MW930485.1,"USA: Alabama, Madison County",0.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-10-21,MW930486.1,"USA: Alabama, Montgomery County",0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-10-21,MW930487.1,"USA: Alabama, Madison County",0.0,1.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2020-10-21,MW930488.1,"USA: Alabama, Marshall County",0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
2020-10-21,MW930489.1,"USA: Alabama, St.Clair County",0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2020-11-10,MW929534.1,"USA: Alabama, Houston County",0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-11-10,MW929535.1,"USA: Alabama, Jackson County",0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0
2020-11-10,MW929536.1,"USA: Alabama, Etowah County",0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
2020-11-10,MW929537.1,"USA: Alabama, Elmore County",0.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-11-11,MW929540.1,"USA: Alabama, Limestone County",0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2020-11-11,MW929542.1,"USA: Alabama, Madison County",0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2020-11-11,MW929543.1,"USA: Alabama, Madison County",0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
